Distance_PFRC2 (cm),Plug_flow_residence_time_PFRC2 (sec),Internal_surface_area_per_unit_distance_PFRC2 (cm),Cross-section_area_PFRC2 (cm2),External_surface_area_per_unit_distance_PFRC2 (cm),Velocity_PFRC2 (cm/sec),Exit_mass_flow_rate_PFRC2 (g/sec),Volumetric_heat_production_rate_PFRC2 (erg/cm3-sec),Surface_temperature_PFRC2 (K),Heat_loss_rate_PFRC2 (erg/cm-sec),Temperature_PFRC2 (K),Pressure_PFRC2 (atm),Mole_fraction_H2_PFRC2 (),Mole_fraction_CH4_PFRC2 (),Mole_fraction_CH3_PFRC2 (),Mole_fraction_C2H6_PFRC2 (),Mole_fraction_C2H5_PFRC2 (),Mole_fraction_C2H4_PFRC2 (),Mole_fraction_C2H2_PFRC2 (),Mole_fraction_C3H8_PFRC2 (),Mole_fraction_C3H6_PFRC2 (),Mole_fraction_C3H5-A_PFRC2 (),Mole_fraction_C3H4-P_PFRC2 (),Mole_fraction_C3H4-A_PFRC2 (),Mole_fraction_NC4H10_PFRC2 (),Mole_fraction_IC4H8_PFRC2 (),Mole_fraction_C4H8-1_PFRC2 (),Mole_fraction_C4H8-2_PFRC2 (),Mole_fraction_C4H71-3_PFRC2 (),Mole_fraction_C4H6_PFRC2 (),Mole_fraction_C4H4_PFRC2 (),Mole_fraction_C6H6_PFRC2 (),Mole_fraction_C5H6_PFRC2 (),Mole_fraction_NC5H10_PFRC2 (),Mole_fraction_B1M3_PFRC2 (),Mole_fraction_LC5H8_PFRC2 (),Mole_fraction_NC6H12_PFRC2 (),Mole_fraction_NC7H14_PFRC2 (),Mole_fraction_C7H8_PFRC2 (),Mole_fraction_NC12H26_PFRC2 (),Mole_fraction_NC16H34_PFRC2 (),Mole_fraction_NC10H20_PFRC2 (),Molecular_weight_PFRC2 (g/mole),Mass_density_PFRC2 (g/cm3),Unburned_hydrocarbons_PFRC2 (ppm),Volatile_organic_compounds_PFRC2 (ppm)
0.01604069,1.870752E-5,6.283185,3.141593,6.283185,856.2322,0.2365664,-8.092858E9,1257.514,1.685292E8,1257.514,1.00001,0.9177387,0.004179881,3.833879E-4,0.001381616,1.372565E-4,0.01857506,1.223785E-4,5.59387E-4,0.008642059,2.062137E-4,9.745893E-6,3.12562E-5,1.935697E-4,5.326472E-6,0.003118929,1.283167E-4,1.29541E-4,0.00305805,1.442332E-5,5.338154E-5,1.83751E-5,0.002410805,6.084216E-5,0.001179039,2.710679E-4,0.002453862,0.003797566,0.007856455,0.004163023,0.01885579,9.074824,8.794509E-5,514763.2,514767.2
0.0162176,1.891413E-5,6.283185,3.141593,6.283185,856.2112,0.2365664,-8.00247E9,1257.211,1.684759E8,1257.211,1.00001,0.9175523,0.004209931,3.807551E-4,0.001390219,1.363565E-4,0.01868231,1.235301E-4,5.624018E-4,0.008689473,2.058077E-4,9.865159E-6,3.14915E-5,1.944964E-4,5.427012E-6,0.003134243,1.294063E-4,1.291785E-4,0.003076435,1.461145E-5,5.37405E-5,1.861376E-5,0.002422391,6.124284E-5,0.001184975,2.722797E-4,0.002464911,0.003796161,0.007839594,0.004150735,0.01881214,9.07286,8.794726E-5,514653.3,514657.8
0.01625254,1.895493E-5,6.283185,3.141593,6.283185,856.207,0.2365664,-7.997689E9,1257.151,1.684654E8,1257.151,1.00001,0.9175157,0.004215835,3.80244E-4,0.001391908,1.361841E-4,0.01870339,1.237567E-4,5.629926E-4,0.008698789,2.057274E-4,9.888674E-6,3.153777E-5,1.946779E-4,5.446924E-6,0.003137253,1.296287E-4,1.291079E-4,0.003080045,1.464851E-5,5.38111E-5,1.866084E-5,0.002424662,6.132144E-5,0.001186139,2.725174E-4,0.002467075,0.003795885,0.007836286,0.004148325,0.01880357,9.072474,8.794768E-5,514631.8,514636.5
0.01632725,1.90422E-5,6.283185,3.141593,6.283185,856.1981,0.2365664,-7.960378E9,1257.025,1.684431E8,1257.025,1.00001,0.9174379,0.004228428,3.791453E-4,0.00139551,1.358092E-4,0.01874825,1.242405E-4,5.642511E-4,0.008718593,2.055568E-4,9.938899E-6,3.163653E-5,1.950645E-4,5.489551E-6,0.003143628,1.300648E-4,1.28956E-4,0.003087741,1.472768E-5,5.396162E-5,1.876142E-5,0.002429501,6.148894E-5,0.001188617,2.730235E-4,0.002471684,0.003795298,0.007829235,0.004143189,0.01878532,9.071653,8.79486E-5,514585.4,514590.3
0.01636002,1.908047E-5,6.283185,3.141593,6.283185,856.1943,0.2365664,-7.934436E9,1256.969,1.684333E8,1256.969,1.00001,0.9174037,0.004233937,3.786651E-4,0.001397086,1.356492E-4,0.0187679,1.244523E-4,5.648009E-4,0.008727272,2.054856E-4,9.960912E-6,3.167977E-5,1.952332E-4,5.508273E-6,0.003146429,1.302689E-4,1.288927E-4,0.003091109,1.476236E-5,5.40275E-5,1.88055E-5,0.002431617,6.156215E-5,0.001189703,2.732448E-4,0.002473701,0.00379504,0.007826147,0.004140941,0.01877732,9.071294,8.794899E-5,514565.3,514570.3
0.01656134,1.93156E-5,6.283185,3.141593,6.283185,856.1706,0.2365664,-7.852551E9,1256.63,1.683737E8,1256.63,1.00001,0.9171954,0.00426759,3.758016E-4,0.001406702,1.347119E-4,0.01888774,1.257488E-4,5.681504E-4,0.00878017,2.050506E-4,1.009593E-5,3.194424E-5,1.962612E-4,5.623651E-6,0.00316341,1.314249E-4,1.285114E-4,0.003111672,1.497483E-5,5.44304E-5,1.907598E-5,0.002444517,6.200859E-5,0.001196324,2.745939E-4,0.002485989,0.003793471,0.007807305,0.004127228,0.01872853,9.0691,8.795142E-5,514441.6,514446.8
0.01663495,1.940159E-5,6.283185,3.141593,6.283185,856.1621,0.2365664,-7.835949E9,1256.507,1.683521E8,1256.507,1.00001,0.9171197,0.004279817,3.74768E-4,0.001410194,1.343683E-4,0.01893129,1.262209E-4,5.693637E-4,0.008799379,2.048917E-4,1.014519E-5,3.204047E-5,1.966334E-4,5.665982E-6,0.003169579,1.318622E-4,1.283729E-4,0.003119136,1.50523E-5,5.457686E-5,1.917474E-5,0.002449191,6.217048E-5,0.001198722,2.750827E-4,0.002490436,0.003792901,0.00780047,0.004122256,0.01871083,9.068303,8.79523E-5,514396.7,514402.2
0.01667386,1.944703E-5,6.283185,3.141593,6.283185,856.1576,0.2365664,-7.817685E9,1256.443,1.683407E8,1256.443,1.00001,0.9170798,0.004286262,3.742236E-4,0.001412034,1.341883E-4,0.01895426,1.2647E-4,5.700024E-4,0.008809507,2.048086E-4,1.017121E-5,3.209121E-5,1.968292E-4,5.688385E-6,0.003172836,1.321016E-4,1.283008E-4,0.00312307,1.509319E-5,5.465409E-5,1.922689E-5,0.002451653,6.225574E-5,0.001199985,2.753401E-4,0.002492778,0.003792601,0.007796868,0.004119637,0.0187015,9.067883,8.795276E-5,514373.3,514378.9
0.01675725,1.954443E-5,6.283185,3.141593,6.283185,856.1479,0.2365664,-7.775042E9,1256.304,1.683163E8,1256.304,1.00001,0.9169946,0.004300035,3.730575E-4,0.001415965,1.337978E-4,0.01900333,1.270028E-4,5.713655E-4,0.008831142,2.046282E-4,1.02269E-5,3.219972E-5,1.97247E-4,5.736459E-6,0.003179797,1.326236E-4,1.281436E-4,0.003131471,1.518072E-5,5.481912E-5,1.933858E-5,0.002456905,6.243779E-5,0.001202679,2.758894E-4,0.00249777,0.00379196,0.00778918,0.004114048,0.01868158,9.066986,8.795375E-5,514323.3,514329.3
0.01728136,2.015662E-5,6.283185,3.141593,6.283185,856.0867,0.2365664,-7.557838E9,1255.448,1.681656E8,1255.448,1.00001,0.9164688,0.004385335,3.660078E-4,0.001440274,1.314282E-4,0.01930615,1.303167E-4,5.797457E-4,0.008964479,2.035123E-4,1.057498E-5,3.287382E-5,1.998127E-4,6.040722E-6,0.003222385,1.356156E-4,1.271687E-4,0.003183396,1.572703E-5,5.584198E-5,2.003736E-5,0.00248922,6.356021E-5,0.001219248,2.792693E-4,0.002528424,0.003788011,0.007741746,0.004079609,0.01855863,9.061454,8.796004E-5,514012.3,514019.4
0.01772681,2.067698E-5,6.283185,3.141593,6.283185,856.0356,0.2365664,-7.393773E9,1254.738,1.680406E8,1254.738,1.00001,0.9160324,0.004456319,3.603047E-4,0.001460457,1.29524E-4,0.01955748,1.33092E-4,5.866475E-4,0.009074951,2.026035E-4,1.08686E-5,3.343732E-5,2.019211E-4,6.301974E-6,0.003257478,1.380802E-4,1.263902E-4,0.003226497,1.618656E-5,5.669475E-5,2.062773E-5,0.002515878,6.448812E-5,0.001232926,2.820568E-4,0.002553648,0.003784739,0.007702442,0.004051125,0.0184567,9.056868,8.796528E-5,513753.7,513761.4
0.01776525,2.072189E-5,6.283185,3.141593,6.283185,856.0312,0.2365664,-7.36436E9,1254.677,1.680299E8,1254.677,1.00001,0.9159953,0.00446238,3.598197E-4,0.001462178,1.293586E-4,0.01957892,1.333298E-4,5.872338E-4,0.009084362,2.025242E-4,1.089384E-5,3.348554E-5,2.021E-4,6.324631E-6,0.003260465,1.382961E-4,1.263225E-4,0.00323017,1.622602E-5,5.67676E-5,2.067853E-5,0.002518143,6.45671E-5,0.001234087,2.822937E-4,0.002555786,0.003784461,0.007699097,0.004048704,0.01844802,9.056478,8.796574E-5,513731.7,513739.6
0.0178141,2.077894E-5,6.283185,3.141593,6.283185,856.0255,0.2365664,-7.344905E9,1254.6,1.680164E8,1254.6,1.00001,0.9159483,0.004470066,3.592021E-4,0.001464361,1.291452E-4,0.01960604,1.336314E-4,5.879766E-4,0.00909626,2.02422E-4,1.092587E-5,3.354669E-5,2.023266E-4,6.353434E-6,0.003264228,1.385509E-4,1.262346E-4,0.003234826,1.627611E-5,5.685996E-5,2.074301E-5,0.002521011,6.466719E-5,0.001235556,2.825937E-4,0.002558493,0.003784109,0.007694862,0.004045638,0.01843703,9.055984,8.796633E-5,513703.7,513711.5
0.0255078,2.977103E-5,6.283185,3.141593,6.283185,855.2125,0.2365664,-5.267224E9,1244.388,1.662189E8,1244.388,1.00001,0.9097024,0.005514566,2.86454E-4,0.001756294,1.041015E-4,0.02321823,1.76192E-4,6.819249E-4,0.01066029,1.891995E-4,1.566011E-5,4.210265E-5,2.305137E-4,1.11606E-5,0.003742678,1.734272E-4,1.152076E-4,0.00385473,2.354648E-5,6.951607E-5,3.03809E-5,0.002885768,7.766118E-5,0.001422374,3.207084E-4,0.002895645,0.003737838,0.007139242,0.003648655,0.0169891,8.990802,8.804994E-5,510005.0,510013.7
0.06999963,8.190131E-5,6.283185,3.141593,6.283185,852.0623,0.2365664,-1.896781E9,1214.819,1.610146E8,1214.819,1.00001,0.8918349,0.008844309,1.462495E-4,0.002632484,5.429797E-5,0.03369194,3.249094E-4,9.050833E-4,0.01494052,1.51904E-4,3.515209E-5,7.226944E-5,2.919513E-4,4.099916E-5,0.004867693,2.80923E-4,8.608029E-5,0.005649922,5.096235E-5,1.112646E-4,7.171865E-5,0.003740006,1.109405E-4,0.001854623,4.094253E-4,0.003605481,0.003608126,0.005627559,0.002625109,0.01299513,8.809616,8.837548E-5,499726.9,499734.9
0.09125479,1.068622E-4,6.283185,3.141593,6.283185,851.0454,0.2365664,-1.427327E9,1207.078,1.596521E8,1207.078,1.00001,0.8871815,0.009812744,1.220101E-4,0.002874494,4.550023E-5,0.03645078,3.700661E-4,9.533046E-4,0.01599942,1.426393E-4,4.1919E-5,8.171575E-5,3.03625E-4,5.445235E-5,0.005096413,3.100342E-4,7.927492E-5,0.00612147,5.965174E-5,1.238813E-4,8.647949E-5,0.003911456,1.183872E-4,0.001939602,4.268648E-4,0.003725501,0.003574426,0.005253832,0.002386143,0.01199936,8.763935,8.848107E-5,497136.0,497144.6
0.09716309,1.138057E-4,6.283185,3.141593,6.283185,850.7941,0.2365664,-1.334771E9,1205.256,1.593315E8,1205.256,1.00001,0.8860873,0.01004759,1.168255E-4,0.002932446,4.362455E-5,0.03710124,3.810692E-4,9.641064E-4,0.01624456,1.404958E-4,4.362545E-5,8.404018E-5,3.061251E-4,5.805214E-5,0.005146064,3.169069E-4,7.771999E-5,0.006232498,6.178556E-5,1.269767E-4,9.022931E-5,0.003948439,1.200492E-4,0.001957778,4.30586E-4,0.003749678,0.003566497,0.005167212,0.002331627,0.01176835,8.753297,8.850721E-5,496532.7,496541.6
0.1199746,1.406319E-4,6.283185,3.141593,6.283185,849.9182,0.2365664,-1.059412E9,1199.162,1.582588E8,1199.162,1.00001,0.8824272,0.01085346,1.010036E-4,0.003129388,3.785956E-5,0.03928163,4.189365E-4,9.988047E-4,0.01705333,1.334521E-4,4.966667E-5,9.210018E-5,3.138269E-4,7.139371E-5,0.005300313,3.399225E-4,7.26663E-5,0.006604121,6.916932E-5,1.377173E-4,1.035899E-4,0.004062678,1.253385E-4,0.002013452,4.419394E-4,0.003819279,0.003539956,0.004880992,0.002153893,0.01100482,8.718009,8.859842E-5,494531.2,494540.6
0.1251076,1.466719E-4,6.283185,3.141593,6.283185,849.7385,0.2365664,-1.011918E9,1197.957,1.580468E8,1197.957,1.00001,0.8817041,0.01101661,9.8108E-5,0.003168899,3.679681E-5,0.03971321,4.266124E-4,0.001005408,0.01721097,1.320752E-4,5.092267E-5,9.374488E-5,3.152297E-4,7.427723E-5,0.005328618,3.444694E-4,7.168426E-5,0.006677569,7.067265E-5,1.399131E-4,1.063847E-4,0.004083484,1.263328E-4,0.002023494,4.43978E-4,0.003830953,0.003534712,0.004825101,0.002119627,0.01085572,8.711094,8.861716E-5,494139.1,494148.9
0.1523664,1.787679E-4,6.283185,3.141593,6.283185,848.8669,0.2365664,-8.137529E8,1192.321,1.570547E8,1192.321,1.000011,0.8783223,0.01179713,8.549588E-5,0.003356477,3.221328E-5,0.04173529,4.633687E-4,0.001035202,0.01793854,1.25761E-4,5.708344E-5,1.016622E-4,3.212741E-4,8.891147E-5,0.005451007,3.656992E-4,6.724175E-5,0.007021033,7.789778E-5,1.505353E-4,1.20177E-4,0.00417284,1.307388E-4,0.002066155,4.525786E-4,0.003876339,0.003510179,0.004566603,0.001963086,0.01016641,8.679008,8.870814E-5,492319.1,492328.5
0.2,2.34926E-4,6.283185,3.141593,6.283185,847.5872,0.2365664,-5.989126E8,1184.615,1.556985E8,1184.615,1.000011,0.8737074,0.01291177,7.064202E-5,0.003620481,2.678131E-5,0.04450352,5.15801E-4,0.001073142,0.01890395,1.173739E-4,6.627942E-5,1.130467E-4,3.28189E-4,1.12062E-4,0.00559118,3.94471E-4,6.143802E-5,0.007489183,8.826152E-5,1.660357E-4,1.410278E-4,0.004273154,1.36069E-4,0.00211265,4.617534E-4,0.00391368,0.00347673,0.004221721,0.00175934,0.0092483,8.635937,8.884207E-5,489875.8,489884.9
0.4,4.714564E-4,6.283185,3.141593,6.283185,843.8224,0.2365664,-2.667107E8,1165.343,1.523064E8,1165.343,1.000011,0.8622876,0.01594722,4.307144E-5,0.004321691,1.667434E-5,0.05139242,6.569752E-4,0.001154995,0.02113673,9.767472E-5,9.337124E-5,1.436896E-4,3.389111E-4,1.862796E-4,0.005794926,4.634144E-4,4.839662E-5,0.0086377,1.163292E-4,2.104569E-4,2.044053E-4,0.004406651,1.453153E-4,0.002165566,4.705276E-4,0.003881173,0.003394599,0.003409536,0.001304667,0.007103569,8.533344,8.923849E-5,484056.2,484064.4
0.6,7.088669E-4,6.283185,3.141593,6.283185,841.127,0.2365664,-1.619368E8,1154.167,1.503394E8,1154.167,1.000011,0.8558741,0.01785015,3.201453E-5,0.004752798,1.260571E-5,0.05527987,7.433885E-4,0.001194696,0.02227628,8.705856E-5,1.115912E-4,1.619133E-4,3.411025E-4,2.387715E-4,0.005812395,4.99739E-4,4.184771E-5,0.00926927,1.335082E-4,2.401567E-4,2.489057E-4,0.00440504,1.476348E-4,0.002153804,4.658745E-4,0.003783905,0.003349398,0.002980931,0.001080451,0.005990138,8.478589,8.952446E-5,480950.6,480959.5
0.6250554,7.386601E-4,6.283185,3.141593,6.283185,840.8266,0.2365664,-1.537925E8,1153.035,1.501402E8,1153.035,1.000011,0.8552396,0.01804715,3.104347E-5,0.004797212,1.22401E-5,0.05566482,7.522144E-4,0.001198429,0.02238384,8.601493E-5,1.135199E-4,1.637307E-4,3.411743E-4,2.443816E-4,0.005810069,5.032049E-4,4.119814E-5,0.009330909,1.352589E-4,2.433186E-4,2.537188E-4,0.004401731,1.477407E-4,0.002150925,4.650095E-4,0.003771177,0.003344986,0.002939692,0.001059505,0.005884002,8.4733,8.955644E-5,480650.8,480660.3
0.6376089,7.535914E-4,6.283185,3.141593,6.283185,840.6783,0.2365664,-1.499773E8,1152.484,1.500433E8,1152.484,1.000011,0.8549323,0.01814322,3.057875E-5,0.004818853,1.207542E-5,0.05585132,7.565076E-4,0.001200226,0.02243559,8.551032E-5,1.144624E-4,1.646118E-4,3.411996E-4,2.471267E-4,0.005808683,5.048746E-4,4.0893E-5,0.009360698,1.3611E-4,2.448658E-4,2.56079E-4,0.004399918,1.477833E-4,0.002149417,4.645638E-4,0.003764811,0.003342854,0.00291979,0.001049437,0.00583285,8.470747,8.957223E-5,480506.1,480516.0
0.6507458,7.692194E-4,6.283185,3.141593,6.283185,840.5247,0.2365664,-1.460571E8,1151.919,1.499438E8,1151.919,1.000011,0.8546176,0.01824195,3.011369E-5,0.00484109,1.190454E-5,0.05604221,7.609133E-4,0.001202058,0.02248833,8.499291E-5,1.154327E-4,1.655137E-4,3.412192E-4,2.499546E-4,0.005807082,5.065773E-4,4.058255E-5,0.009391143,1.369831E-4,2.464601E-4,2.585142E-4,0.004397922,1.478211E-4,0.002147797,4.640894E-4,0.003758159,0.003340675,0.002899472,0.001039186,0.00578068,8.468139,8.95886E-5,480358.3,480368.7
0.8,9.469701E-4,6.283185,3.141593,6.283185,838.8734,0.2365664,-1.121605E8,1146.161,1.489302E8,1146.161,1.000011,0.8514715,0.01925153,2.572807E-5,0.005068524,1.030136E-5,0.05795246,8.056296E-4,0.001219982,0.02300219,7.982932E-5,1.254577E-4,1.745199E-4,3.410652E-4,2.79256E-4,0.005780324,5.232419E-4,3.758489E-5,0.009692951,1.458301E-4,2.630388E-4,2.840174E-4,0.004370087,1.478644E-4,0.002127266,4.583091E-4,0.003684104,0.003319069,0.002699147,9.396458E-4,0.005269142,8.442392,8.976496E-5,478897.8,478907.7
1.0,0.001185676,6.283185,3.141593,6.283185,836.8571,0.2365664,-8.327119E7,1139.826,1.478153E8,1139.826,1.000011,0.848156,0.02036268,2.16322E-5,0.005319037,8.793691E-6,0.05996541,8.539852E-4,0.001238245,0.02351527,7.432455E-5,1.366499E-4,1.839184E-4,3.402241E-4,3.121346E-4,0.005731015,5.400454E-4,3.451518E-5,0.01000475,1.553522E-4,2.818377E-4,3.133114E-4,0.004325101,1.472468E-4,0.002096969,4.501362E-4,0.003591399,0.003296759,0.002493985,8.4067E-4,0.004751254,8.415959,8.998123E-5,477398.4,477408.0
1.2,0.001424936,6.283185,3.141593,6.283185,834.9876,0.2365664,-6.462018E7,1134.518,1.46881E8,1134.518,1.000012,0.8455222,0.02128248,1.871052E-5,0.005527125,7.712886E-6,0.06156281,8.932346E-4,0.001252443,0.02390039,6.986003E-5,1.459983E-4,1.912419E-4,3.390643E-4,3.397485E-4,0.005675791,5.528045E-4,3.213321E-5,0.01024678,1.630355E-4,2.978497E-4,3.385543E-4,0.00427776,1.46253E-4,0.002066373,4.420682E-4,0.003507153,0.003279463,0.002335586,7.664212E-4,0.004356244,8.39552,9.018269E-5,476239.3,476249.9
