Reaction,Normalized Sensitivity
H+CH4<=>H2+CH3, 0.1444775
H+C3H4-P<=>CH3+C2H2, 0.04210063
2CH3(+M)<=>C2H6(+M), -0.02600299
H+C2H6<=>H2+C2H5, -0.02552002
H+C3H4-A<=>H2+C3H3, -0.01863951
H+C2H4(+M)<=>C2H5(+M), -0.01513909
H+C3H4-P<=>H2+C3H3, -0.01375098
H+C2H2(+M)<=>C2H3(+M), -0.01296545
H+C7H8<=>CH3+C6H6, 0.01266188
CH3+C3H4-A<=>IC4H7, -0.01218173
H+IC4H8=>H2+IC4H7, -0.01038754
H+IC4H8<=>CH3+C3H6, 0.01008278
