Reaction,Normalized Sensitivity
H+C3H6<=>CH3+C2H4, 0.2787028
H+CH4<=>H2+CH3, 0.1751319
H+IC12H26=>H2+IC12H25, -0.1260061
H+NC10H20<=>NC10H21, 0.09606715
1.00H+1.00IC8H16=>1.00H2+0.500C3H4-A+0.500IC4H8+0.500IC4H7+0.500NEOC5H11, -0.07883216
H2+IC4H7=>H+IC4H8, 0.07426523
IC12H26=>TC4H9+IC8H17, 0.07030298
IC8H16<=>TC4H9+IC4H7, 0.06173821
H+IC4H8=>H2+IC4H7, -0.06113995
IC4H8<=>H+IC4H7, -0.0605263
H+C3H6<=>H2+C3H5-A, -0.04270996
H+C2H4(+M)<=>C2H5(+M), 0.03570958
