Reaction,Normalized Sensitivity
1.00NC10H20=>0.500C3H5-A+0.500C4H71-3+0.250NC5H11+0.750NC7H15, 0.09379352
H+C3H6<=>CH3+C2H4, -0.08582655
H+NC10H20<=>NC10H21, 0.07511891
1.00NC10H21=>0.750C3H6+0.250NC5H11+0.250NC5H10+0.750NC7H15, 0.05859743
NC7H15<=>C3H6+PC4H9, 0.05545272
H+C4H8-1<=>CH3+C3H6, 0.05470536
H+CH4<=>H2+CH3, 0.04760924
H+C2H6<=>H2+C2H5, 0.04756184
1.00NC10H21=>0.600PC4H9+0.400C4H8-1+0.400NC5H11+0.450NC5H10+0.250NC7H14, -0.04131842
1.00NC12H25=>0.300C2H4+0.500C3H6+0.350C4H8-1+0.500NC7H15+0.500NC10H21, 0.03282729
CH3+C3H5-A(+M)<=>C4H8-1(+M), -0.02820294
H+C2H4(+M)<=>C2H5(+M), -0.02404946
