Reaction,Normalized Sensitivity
H+NC10H20=>H2+NC10H19, -0.1034315
1.00NC10H20=>0.500C3H5-A+0.500C4H71-3+0.250NC5H11+0.750NC7H15, 0.08745903
H+NC10H20<=>NC10H21, 0.07359557
H+C2H4(+M)<=>C2H5(+M), 0.05482141
H+CH4<=>H2+CH3, 0.05035247
1.00NC10H19=>0.600C2H4+0.600C3H6+0.500C3H5-A+0.500C4H71-3+0.500NC7H14, -0.04258898
1.00NC10H19=>0.250C2H4+0.500C4H6+1.00NC5H11+0.500LC5H8, 0.04258687
H+C3H6<=>CH3+C2H4, 0.04132441
1.00NC12H26=>0.500PC4H9+0.500NC5H11+0.900NC7H15+0.100NC12H25, 0.02014672
1.00NC12H26=>0.500C2H5+0.500NC3H7+0.500NC7H15+0.500NC12H25, 0.01939096
NC5H10<=>C2H5+C3H5-A, -0.01860851
NC7H15<=>C2H4+NC5H11, 0.01688467
