Reaction,Normalized Sensitivity
H2+C6H5=>H+C6H6, -0.3250518
H+C6H6=>H2+C6H5, 0.3196511
H2+C10H7=>H+C10H8, -0.2724782
H+C10H8=>C4H4+C6H5, -0.245333
H+C6H5C2H=>H2+C6H4C2H, 0.2316798
C2H2+C6H5<=>H+C6H5C2H, 0.2046392
H+C10H8=>H2+C10H7, 0.1891081
C2H2+C14H9<=>H+C16H10, 0.1745005
H2+C14H9=>H+C14H10, -0.1513996
C2H2+C10H7<=>H+C12H8, 0.1340735
1.00H+1.00C10H8=>0.500C10H7+0.500RTETRALIN, 0.1239485
H+C6H5C2H3=>H2+C6H5C2H2, 0.1151104
