Reaction,Normalized Sensitivity
C2H4+C6H5<=>H+C6H5C2H3, 0.4429365
C6H5C2H5<=>CH3+C7H7, 0.3140832
C7H8(+M)<=>H+C7H7(+M), -0.2798714
H+C6H5C2H3<=>C2H3+C6H6, 0.2217286
H+C7H8<=>CH3+C6H6, 0.1506676
H2+C6H5=>H+C6H6, 0.05103342
H+C6H5C2H3=>H2+C6H5C2H2, -0.04948113
H+C6H5C2H5=>H2+C6H5CHCH3, -0.04607294
C6H5C2H4C6H5<=>2C7H7, -0.03040222
C7H8+C7H7<=>H+C6H5C2H4C6H5, -0.02507865
H+CH4<=>H2+CH3, 0.02395155
H+C2H4<=>H2+C2H3, 0.02114654
