Reaction,Normalized Sensitivity
H+IC4H8<=>CH3+C3H6, -0.4759788
H+CH4<=>H2+CH3, -0.4323687
H+C3H6<=>CH3+C2H4, -0.2866413
CH3+C3H4-A<=>IC4H7, -0.1775959
IC4H9<=>CH3+C3H6, -0.1370614
IC4H8<=>H+IC4H7, -0.123092
2CH3(+M)<=>C2H6(+M), 0.1147403
H+C3H6<=>H2+C3H5-A, 0.1028692
1.00H+1.00IC8H16=>1.00H2+0.500C3H4-A+0.500IC4H8+0.500IC4H7+0.500NEOC5H11, 0.08373405
H+IC4H8=>H2+IC4H7, -0.07949499
H+C2H4(+M)<=>C2H5(+M), 0.06068803
H+IC8H16=>H2+CH3+DIMEPTD, -0.05727795
