Reaction,Normalized Sensitivity
H+C7H8<=>CH3+C6H6, 0.4012621
C6H5C2H5<=>CH3+C7H7, 0.108716
H+C6H5C2H3=>H2+C6H5C2H2, -0.08045532
H+C6H5C2H5=>H2+C6H5CHCH3, -0.06097844
C2H4+C6H5<=>H+C6H5C2H3, 0.04721431
C6H5C2H5<=>H2+C6H5C2H3, -0.04381871
H+C2H2(+M)<=>C2H3(+M), -0.03426144
H+C6H5C2H=>H2+C6H4C2H, 0.03227093
H+C6H5C2H5=>H2+C6H5C2H4, -0.02792666
H+CH4<=>H2+CH3, 0.02304776
H+C6H5C2H3<=>C2H3+C6H6, -0.02197011
C7H8(+M)<=>H+C7H7(+M), 0.01946345
