Reaction,Normalized Sensitivity
H+IC4H8<=>CH3+C3H6, -0.4214779
H+CH4<=>H2+CH3, -0.3615646
H+C3H6<=>CH3+C2H4, -0.26896
IC4H9<=>CH3+C3H6, -0.1886973
CH3+C3H4-A<=>IC4H7, -0.1591647
H+C3H6<=>H2+C3H5-A, 0.1077407
2CH3(+M)<=>C2H6(+M), 0.1015925
H+IC4H8=>H2+IC4H7, -0.09951224
H+IC8H18=>H2+IC8H17, 0.09786897
H+IC4H8<=>TC4H9, 0.07174428
IC4H8<=>H+IC4H7, -0.05995053
H+C2H4(+M)<=>C2H5(+M), 0.05590752
