Time_Soln#11 (sec),Volume_Soln#11 (cm3),Volumetric_heat_production_rate_Soln#11 (erg/cm3-sec),Surface_temperature_Soln#11 (K),Temperature_Soln#11 (K),Mass_Soln#11 (g),Pressure_Soln#11 (atm),Mole_fraction_H2_Soln#11 (),Mole_fraction_H_Soln#11 (),Mole_fraction_CH4_Soln#11 (),Mole_fraction_CH3_Soln#11 (),Mole_fraction_C2H6_Soln#11 (),Mole_fraction_C2H5_Soln#11 (),Mole_fraction_C2H4_Soln#11 (),Mole_fraction_C2H3_Soln#11 (),Mole_fraction_C2H2_Soln#11 (),Mole_fraction_C3H8_Soln#11 (),Mole_fraction_NC3H7_Soln#11 (),Mole_fraction_C3H6_Soln#11 (),Mole_fraction_C3H5-A_Soln#11 (),Mole_fraction_C3H4-P_Soln#11 (),Mole_fraction_C3H4-A_Soln#11 (),Mole_fraction_C3H3_Soln#11 (),Mole_fraction_NC4H10_Soln#11 (),Mole_fraction_IC4H10_Soln#11 (),Mole_fraction_IC4H9_Soln#11 (),Mole_fraction_TC4H9_Soln#11 (),Mole_fraction_IC4H8_Soln#11 (),Mole_fraction_IC4H7_Soln#11 (),Mole_fraction_C4H8-1_Soln#11 (),Mole_fraction_C4H8-2_Soln#11 (),Mole_fraction_C4H71-3_Soln#11 (),Mole_fraction_C4H6_Soln#11 (),Mole_fraction_C4H4_Soln#11 (),Mole_fraction_C4H2_Soln#11 (),Mole_fraction_C6H6_Soln#11 (),Mole_fraction_FULVENE_Soln#11 (),Mole_fraction_C5H6_Soln#11 (),Mole_fraction_C5H5_Soln#11 (),Mole_fraction_MCPTD_Soln#11 (),Mole_fraction_C10H8_Soln#11 (),Mole_fraction_NEOC5H12_Soln#11 (),Mole_fraction_NC5H10_Soln#11 (),Mole_fraction_B1M2_Soln#11 (),Mole_fraction_B1M3_Soln#11 (),Mole_fraction_LC5H8_Soln#11 (),Mole_fraction_NC6H12_Soln#11 (),Mole_fraction_NC7H14_Soln#11 (),Mole_fraction_IC8H16_Soln#11 (),Mole_fraction_DIMEPTD_Soln#11 (),Mole_fraction_C7H8_Soln#11 (),Mole_fraction_C7H7_Soln#11 (),Mole_fraction_C6H5C2H3_Soln#11 (),Mole_fraction_C6H5C2H5_Soln#11 (),Mole_fraction_C10H10_Soln#11 (),Mole_fraction_NC10H20_Soln#11 (),Mole_fraction_IC12H26_Soln#11 (),Molecular_weight_Soln#11 (g/mole),Mass_density_Soln#11 (g/cm3),Unburned_hydrocarbons_Soln#11 (ppm),Volatile_organic_compounds_Soln#11 (ppm)
0.0,15.0,-1.079991E12,1500.0,1500.0,0.001118727,1.0,0.9452588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01921553,0.0,0.00792393,0.0,0.0,0.0,0.0,0.01043317,0.01716852,9.179988,7.458178E-5,519545.7,519545.7
1.769364E-11,14.99997,-1.095901E12,1499.996,1499.996,0.001118727,1.0,0.945258,3.309061E-9,1.92895E-14,3.677139E-9,7.326718E-16,1.951838E-10,1.50019E-10,2.059029E-13,2.22134E-16,3.118461E-16,1.714379E-10,2.130461E-9,2.985832E-8,6.364426E-16,3.187549E-13,8.282663E-18,2.467445E-16,7.901715E-13,4.618849E-9,7.786424E-7,1.892419E-8,1.538249E-7,1.622199E-10,9.439024E-15,2.985336E-8,4.236887E-12,4.312458E-20,3.20507E-20,2.889843E-15,4.910023E-26,4.044987E-24,1.319757E-26,1.381494E-20,1.694385E-27,4.959384E-19,1.092121E-10,7.700457E-21,2.02591E-20,1.35332E-16,4.175681E-11,5.089565E-11,0.01921536,3.47325E-14,0.007923923,7.208383E-11,1.976306E-26,4.574979E-19,3.328728E-32,0.01043311,0.01716788,9.17998,7.458191E-5,519545.2,519545.2
3.666296E-10,14.99945,-1.289313E12,1499.911,1499.911,0.001118727,1.0,0.9452371,1.006638E-6,1.398536E-10,1.224371E-6,5.848203E-12,7.354572E-8,5.575211E-8,9.029406E-11,1.093536E-13,2.436891E-12,6.270733E-8,6.821984E-7,6.18236E-7,2.79654E-13,2.409591E-10,5.505595E-14,1.886026E-12,4.064757E-10,1.545125E-6,1.706749E-5,3.163955E-6,3.185073E-6,5.923513E-8,4.191949E-12,6.161154E-7,1.829986E-9,2.73661E-17,1.373176E-17,1.870332E-11,6.674066E-21,6.224905E-19,3.391375E-20,1.819925E-15,2.331088E-22,7.627493E-14,3.955458E-8,1.188103E-15,2.957933E-15,1.605655E-11,1.491353E-8,1.81937E-8,0.0192136,2.234245E-10,0.007923746,1.56009E-9,3.166753E-21,3.651314E-15,9.663486E-26,0.0104317,0.01715527,9.179776,7.45845E-5,519533.7,519533.7
1.567704E-9,14.99763,-1.414207E12,1499.576,1499.576,0.001118727,1.0,0.9451414,8.612515E-6,6.75347E-9,1.229734E-5,3.396241E-10,9.063435E-7,6.77864E-7,1.757699E-9,2.937642E-12,1.354248E-10,7.207865E-7,6.352649E-6,2.637631E-6,5.30193E-12,7.093656E-9,2.339498E-12,9.876616E-11,9.40042E-9,1.648679E-5,7.303437E-5,2.754277E-5,1.358574E-5,6.81141E-7,8.399334E-11,2.599507E-6,3.511061E-8,1.132214E-15,2.500946E-16,7.930945E-10,1.29655E-18,3.31486E-16,3.073942E-17,3.614087E-13,4.692757E-20,1.559343E-11,4.469601E-7,2.550522E-13,5.88097E-13,2.27545E-9,1.631684E-7,2.012788E-7,0.01921415,9.481362E-9,0.007922934,9.239093E-9,8.023635E-19,2.113508E-13,1.110763E-22,0.01042658,0.01711162,9.178846,7.459359E-5,519481.1,519481.1
4.581034E-9,14.99299,-1.43526E12,1498.705,1498.705,0.001118727,1.0,0.9448849,3.012188E-5,8.69075E-8,4.957517E-5,4.981225E-9,3.984517E-6,3.121424E-6,1.664348E-8,4.797193E-11,1.904069E-9,2.890828E-6,2.55125E-5,7.677513E-6,4.701466E-11,7.316701E-8,2.645854E-11,1.278755E-9,9.366041E-8,7.561668E-5,1.894781E-4,9.857711E-5,3.945356E-5,2.784034E-6,8.208944E-10,7.364848E-6,3.163964E-7,2.498477E-14,2.192917E-15,8.907507E-9,5.909169E-17,5.262772E-14,3.320168E-15,1.263297E-11,1.748164E-18,5.238424E-10,1.802758E-6,9.632604E-12,2.103715E-11,4.295753E-8,6.382923E-7,8.235021E-7,0.01921773,1.065972E-7,0.007920722,5.076617E-8,3.606118E-17,3.077781E-12,2.359186E-20,0.01041348,0.01700326,9.176351,7.461664E-5,519339.9,519339.9
1.352382E-8,14.97939,-1.435228E12,1496.106,1496.106,0.001118727,1.0,0.9441071,9.692074E-5,9.96221E-7,1.907563E-4,6.020013E-8,1.447279E-5,1.34744E-5,1.614569E-7,1.109145E-9,2.214177E-8,8.867448E-6,1.131436E-4,2.244906E-5,4.697537E-10,6.926525E-7,2.731336E-10,1.303431E-8,8.955246E-7,2.734851E-4,4.533177E-4,3.130415E-4,1.143498E-4,9.20038E-6,9.142197E-9,1.998767E-5,2.730892E-6,7.07799E-13,2.635405E-14,8.773843E-8,4.771277E-15,6.152031E-12,2.924954E-13,3.682181E-10,6.702851E-17,1.458843E-8,5.925525E-6,3.243189E-10,6.619806E-10,5.167217E-7,2.03172E-6,3.024069E-6,0.01922447,1.050327E-6,0.007913691,3.712071E-7,1.416661E-15,3.73926E-11,6.092504E-18,0.01037364,0.01669301,9.168757,7.468442E-5,518910.1,518910.1
4.898392E-8,14.93032,-1.348045E12,1486.083,1486.083,0.001118727,1.0,0.9409203,3.617949E-4,1.927412E-5,0.001069218,1.380691E-6,6.315679E-5,8.9045E-5,2.000462E-6,5.331708E-8,4.534018E-7,2.593155E-5,8.086531E-4,7.813717E-5,1.519048E-8,9.239102E-6,5.976234E-9,1.91461E-7,1.099218E-5,7.75704E-4,0.001085941,0.001163355,3.861555E-4,3.548132E-5,2.000113E-7,5.473859E-5,2.984306E-5,9.026292E-11,1.52741E-12,1.226399E-6,1.870176E-12,1.256844E-9,4.69909E-11,1.664766E-8,7.791694E-15,7.309941E-7,2.279579E-5,2.218352E-8,3.79522E-8,7.677518E-6,7.047659E-6,1.672384E-5,0.01920121,1.461342E-5,0.007880177,4.570858E-6,2.191388E-13,1.220543E-9,5.214293E-15,0.01020192,0.0156102,9.137259,7.492984E-5,517127.4,517127.4
1.486454E-7,14.83298,-9.4407E11,1463.004,1463.004,0.001118727,1.0,0.9327414,7.986757E-4,2.401945E-4,0.004182268,3.49321E-5,1.732236E-4,4.673248E-4,1.391676E-5,1.449089E-6,7.910076E-6,4.58364E-5,0.003686587,2.007482E-4,6.117556E-7,6.953078E-5,1.662075E-7,2.289384E-6,6.907683E-5,9.858233E-4,0.001377687,0.003310609,9.886532E-4,1.185718E-4,2.671064E-6,9.786653E-5,1.729438E-4,1.073797E-8,5.672993E-11,9.863862E-6,2.557739E-10,7.657281E-8,2.544977E-9,3.091458E-7,9.431825E-13,1.420756E-5,7.381169E-5,7.407289E-7,9.444903E-7,5.987704E-5,1.782475E-5,8.456877E-5,0.01888538,1.132028E-4,0.007766184,3.334518E-5,5.563157E-11,7.559702E-8,2.474902E-12,0.009655948,0.0134378,9.054392,7.542158E-5,512437.6,512437.6
1.590018E-7,14.82576,-9.047763E11,1461.074,1461.074,0.001118727,1.0,0.9320055,8.179922E-4,2.772023E-4,0.004476083,4.268942E-5,1.805517E-4,5.139702E-4,1.5464E-5,1.756699E-6,9.366661E-6,4.659324E-5,0.00398086,2.101519E-4,7.556334E-7,7.742033E-5,2.02935E-7,2.660381E-6,7.578882E-5,9.714265E-4,0.001361074,0.003506004,0.001041131,1.279551E-4,3.077868E-6,1.002999E-4,1.89633E-4,1.411029E-8,6.870428E-11,1.104302E-5,3.338401E-10,9.529584E-8,3.176175E-9,3.616237E-7,1.282871E-12,1.65168E-5,7.915737E-5,9.023808E-7,1.126348E-6,6.669892E-5,1.873402E-5,9.27378E-5,0.01884235,1.261152E-4,0.007754393,3.695976E-5,7.750558E-11,9.724648E-8,3.58009E-12,0.009598715,0.01326238,9.046849,7.545831E-5,512010.7,512010.7
1.660271E-7,14.82112,-8.788857E11,1459.811,1459.811,0.001118727,1.0,0.9315187,8.290689E-4,3.036197E-4,0.004669404,4.851651E-5,1.851109E-4,5.46007E-4,1.652346E-5,1.985501E-6,1.04286E-5,4.701414E-5,0.004177194,2.16177E-4,8.636525E-7,8.284913E-5,2.303392E-7,2.927468E-6,8.031452E-5,9.603965E-4,0.001348029,0.00363557,0.001075869,1.343909E-4,3.366443E-6,1.018176E-4,2.009734E-4,1.677973E-8,7.750759E-11,1.185996E-5,3.950365E-10,1.093892E-7,3.655749E-9,3.993041E-7,1.562368E-12,1.815158E-5,8.276728E-5,1.022887E-6,1.259209E-6,7.13861E-5,1.9333E-5,9.83063E-5,0.01881268,1.349892E-4,0.007746487,3.942379E-5,9.568967E-11,1.141375E-7,4.529273E-12,0.009560141,0.01314738,9.041856,7.548194E-5,511728.1,511728.1
