Time_Soln#2 (sec),Volume_Soln#2 (cm3),Volumetric_heat_production_rate_Soln#2 (erg/cm3-sec),Surface_temperature_Soln#2 (K),Temperature_Soln#2 (K),Mass_Soln#2 (g),Pressure_Soln#2 (atm),Mole_fraction_H2_Soln#2 (),Mole_fraction_CH4_Soln#2 (),Mole_fraction_CH3_Soln#2 (),Mole_fraction_C2H6_Soln#2 (),Mole_fraction_C2H5_Soln#2 (),Mole_fraction_C2H4_Soln#2 (),Mole_fraction_C2H2_Soln#2 (),Mole_fraction_C3H8_Soln#2 (),Mole_fraction_C3H6_Soln#2 (),Mole_fraction_C3H5-A_Soln#2 (),Mole_fraction_C3H4-P_Soln#2 (),Mole_fraction_C3H4-A_Soln#2 (),Mole_fraction_NC4H10_Soln#2 (),Mole_fraction_IC4H10_Soln#2 (),Mole_fraction_TC4H9_Soln#2 (),Mole_fraction_IC4H8_Soln#2 (),Mole_fraction_IC4H7_Soln#2 (),Mole_fraction_C4H8-1_Soln#2 (),Mole_fraction_C4H8-2_Soln#2 (),Mole_fraction_C4H71-3_Soln#2 (),Mole_fraction_C4H6_Soln#2 (),Mole_fraction_C4H4_Soln#2 (),Mole_fraction_C6H6_Soln#2 (),Mole_fraction_FULVENE_Soln#2 (),Mole_fraction_C5H6_Soln#2 (),Mole_fraction_MCPTD_Soln#2 (),Mole_fraction_NEOC5H12_Soln#2 (),Mole_fraction_NC5H10_Soln#2 (),Mole_fraction_B1M2_Soln#2 (),Mole_fraction_B1M3_Soln#2 (),Mole_fraction_B2M2_Soln#2 (),Mole_fraction_LC5H8_Soln#2 (),Mole_fraction_DIALLYL_Soln#2 (),Mole_fraction_CYC6H8_Soln#2 (),Mole_fraction_CYC6H10_Soln#2 (),Mole_fraction_NC6H12_Soln#2 (),Mole_fraction_NC7H14_Soln#2 (),Mole_fraction_IC8H16_Soln#2 (),Mole_fraction_DIMEPTD_Soln#2 (),Mole_fraction_C7H8_Soln#2 (),Mole_fraction_C7H7_Soln#2 (),Mole_fraction_STILB_Soln#2 (),Mole_fraction_C6H5C2H3_Soln#2 (),Mole_fraction_C6H5C2H5_Soln#2 (),Mole_fraction_XYLENE_Soln#2 (),Mole_fraction_INDENE_Soln#2 (),Mole_fraction_C6H5C2H4C6H5_Soln#2 (),Mole_fraction_NPBENZ_Soln#2 (),Mole_fraction_NC10H20_Soln#2 (),Mole_fraction_IC12H26_Soln#2 (),Molecular_weight_Soln#2 (g/mole),Mass_density_Soln#2 (g/cm3),Unburned_hydrocarbons_Soln#2 (ppm),Volatile_organic_compounds_Soln#2 (ppm)
0.0,15.0,-3.38919E7,1050.0,1050.0,0.001598181,1.0,0.9452588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01921553,0.0,0.00792393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01043317,0.01716852,9.179988,1.065454E-4,519545.7,519545.7
4.699077E-8,14.99995,-3.960404E7,1050.0,1050.0,0.001598181,1.0,0.9452588,1.020546E-11,3.831097E-9,7.637514E-13,5.08273E-10,4.012319E-10,5.352038E-17,2.686586E-13,2.563833E-9,2.533041E-9,1.169425E-16,5.559616E-12,1.471368E-13,1.196419E-11,4.266841E-8,4.50494E-8,1.506812E-8,3.777395E-10,8.14189E-14,2.532518E-9,1.668606E-12,2.323851E-23,1.5869E-12,1.624823E-26,3.536947E-22,2.140174E-19,8.540008E-17,2.182954E-10,2.055701E-18,7.002089E-18,1.91118E-20,1.152925E-12,4.7332E-17,4.081184E-20,4.783901E-22,9.351162E-11,5.556983E-11,0.0192155,1.108842E-11,0.00792393,3.506274E-12,5.13318E-32,1.572809E-24,4.799426E-16,6.898882E-16,3.721888E-26,3.225935E-20,8.819246E-17,0.01043317,0.01716849,9.179987,1.065454E-4,519545.7,519545.7
2.870968E-7,14.99993,-4.402809E7,1049.998,1049.998,0.001598181,1.0,0.9452583,1.207184E-9,6.625258E-8,1.097782E-10,1.062264E-8,1.012483E-8,3.995951E-15,2.714431E-11,4.65003E-8,1.569901E-8,4.486094E-15,3.906823E-10,1.184422E-11,5.137054E-10,2.659329E-7,3.274461E-7,9.2402E-8,5.872552E-9,3.149183E-12,1.567956E-8,3.058156E-10,1.80512E-20,1.098449E-10,3.852609E-23,2.292285E-18,1.075466E-16,6.220365E-14,3.257067E-9,1.45595E-15,4.954384E-15,1.617205E-17,2.864091E-10,1.099653E-14,9.424496E-18,3.472345E-19,1.308019E-9,1.184474E-9,0.01921535,7.802088E-10,0.007923925,2.040694E-10,7.164898E-27,1.583567E-21,6.901159E-14,8.16191E-14,1.048214E-21,1.190189E-17,8.914157E-15,0.01043314,0.01716836,9.179982,1.065455E-4,519545.4,519545.4
1.119613E-6,14.99987,-5.035569E7,1049.992,1049.992,0.001598181,1.0,0.9452563,3.397174E-8,4.676555E-7,3.049947E-9,6.866637E-8,9.003729E-8,1.666917E-13,4.233609E-10,3.83398E-7,6.512343E-8,8.047269E-14,6.064332E-9,1.255775E-10,7.126363E-9,8.895127E-7,1.416344E-6,3.646692E-7,3.139448E-8,4.936764E-11,6.482972E-8,6.302001E-9,7.141238E-18,1.645291E-9,9.624425E-21,7.611688E-16,6.866631E-15,6.042892E-12,1.790046E-8,1.602604E-13,5.629886E-13,1.949024E-15,5.99433E-9,7.158201E-13,5.913231E-16,4.391907E-17,6.070158E-9,1.22453E-8,0.01921478,1.21107E-8,0.007923904,3.068493E-9,2.636339E-23,2.032578E-19,1.933968E-12,2.298591E-12,6.861961E-19,7.374811E-16,1.435264E-13,0.01043299,0.01716788,9.179963,1.065459E-4,519544.3,519544.3
5.18202E-6,14.99957,-6.605768E7,1049.954,1049.954,0.001598181,1.0,0.9452419,1.375354E-6,3.916398E-6,1.028634E-7,4.738702E-7,1.090907E-6,1.419519E-11,7.082536E-9,4.378061E-6,3.899682E-7,5.307375E-12,1.324154E-7,1.570708E-9,9.845157E-8,2.18188E-6,8.342767E-6,1.786531E-6,2.584344E-7,1.285642E-9,3.846394E-7,1.495152E-7,1.234723E-14,3.34866E-8,1.166125E-17,3.970114E-13,6.901933E-13,6.75674E-10,1.595876E-7,3.140741E-11,1.277396E-10,4.486566E-13,1.416128E-7,1.067569E-10,7.527152E-14,1.177742E-14,3.422683E-8,2.193556E-7,0.01921131,2.643956E-7,0.007923689,6.437376E-8,2.798008E-19,6.214493E-17,8.161205E-11,9.350879E-11,5.998208E-16,1.035147E-13,6.180062E-12,0.01043156,0.01716506,9.179822,1.065481E-4,519536.4,519536.4
1.601511E-5,14.99873,-8.385094E7,1049.826,1049.826,0.001598181,1.0,0.945176,1.62832E-5,1.297207E-5,1.340481E-6,1.771331E-6,8.2702E-6,4.108622E-10,1.001663E-7,2.429638E-5,1.78394E-6,2.909669E-10,1.216508E-6,2.240555E-8,4.936652E-7,3.006108E-6,3.596304E-5,6.266528E-6,1.684798E-6,1.888434E-8,1.796047E-6,1.426761E-6,2.474372E-12,2.93296E-7,8.842056E-15,3.42658E-11,2.007591E-11,1.161552E-8,1.054695E-6,1.240196E-9,6.441782E-9,2.138811E-11,1.320458E-6,6.412329E-9,3.640138E-12,7.802667E-13,1.445606E-7,1.906089E-6,0.01919713,2.427261E-6,0.007922391,5.700644E-7,5.104635E-16,2.098841E-14,2.662176E-9,1.125545E-9,7.108741E-14,1.082674E-11,4.83516E-10,0.01042279,0.01715425,9.179213,1.06554E-4,519501.9,519501.9
1.932948E-5,14.99849,-8.730039E7,1049.782,1049.782,0.001598181,1.0,0.9451496,2.366243E-5,1.511748E-5,2.015795E-6,2.118034E-6,1.159766E-5,7.295459E-10,1.608985E-7,3.221264E-5,2.292163E-6,5.728761E-10,1.729646E-6,3.606589E-8,6.365007E-7,3.164453E-6,4.648144E-5,7.797217E-6,2.348044E-6,3.033602E-8,2.345109E-6,2.046297E-6,5.655342E-12,4.1493E-7,2.75768E-14,6.955413E-11,3.476878E-11,1.7737E-8,1.458486E-6,2.216106E-9,1.205273E-8,3.961214E-11,1.879497E-6,1.287111E-8,7.187424E-12,1.585351E-12,1.867853E-7,2.69621E-6,0.01919161,3.450191E-6,0.007921827,8.040159E-7,1.880336E-15,5.963532E-14,5.001899E-9,1.645464E-9,1.542707E-13,2.503066E-11,1.002381E-9,0.0104189,0.01715016,9.178976,1.065558E-4,519488.4,519488.4
1.949847E-5,14.99848,-8.745539E7,1049.78,1049.78,0.001598181,1.0,0.9451482,2.406807E-5,1.521936E-5,2.053658E-6,2.134672E-6,1.177938E-5,7.492154E-10,1.644469E-7,3.263509E-5,2.318412E-6,5.909991E-10,1.757717E-6,3.686429E-8,6.440029E-7,3.17199E-6,4.703935E-5,7.876865E-6,2.384557E-6,3.101422E-8,2.374136E-6,2.080408E-6,5.872796E-12,4.215755E-7,2.905868E-14,7.18449E-11,3.56587E-11,1.808215E-8,1.480501E-6,2.275846E-9,1.240361E-8,4.074828E-11,1.910084E-6,1.329049E-8,7.41908E-12,1.638315E-12,1.89027E-7,2.739371E-6,0.01919131,3.506136E-6,0.007921796,8.167338E-7,1.997129E-15,6.257391E-14,5.1501E-9,1.674205E-9,1.598774E-13,2.602151E-11,1.03634E-9,0.01041869,0.01714994,9.178963,1.065558E-4,519487.7,519487.7
1.992371E-5,14.99845,-8.784301E7,1049.774,1049.774,0.001598181,1.0,0.9451447,2.510082E-5,1.547258E-5,2.150364E-6,2.176077E-6,1.224158E-5,8.002965E-10,1.735717E-7,3.370584E-5,2.384534E-6,6.383789E-10,1.829133E-6,3.891751E-8,6.629712E-7,3.19073E-6,4.845211E-5,8.077932E-6,2.477577E-6,3.27616E-8,2.447575E-6,2.16729E-6,6.447363E-12,4.384796E-7,3.308142E-14,7.784342E-11,3.796206E-11,1.896459E-8,1.53649E-6,2.430725E-9,1.331653E-8,4.37031E-11,1.987903E-6,1.438871E-8,8.026851E-12,1.777413E-12,1.947043E-7,2.849152E-6,0.01919057,3.648462E-6,0.007921719,8.490539E-7,2.318905E-15,7.049178E-14,5.536612E-9,1.747457E-9,1.746616E-13,2.865038E-11,1.125374E-9,0.01041815,0.01714939,9.178931,1.065561E-4,519485.9,519485.9
2.012252E-5,14.99843,-8.801984E7,1049.771,1049.771,0.001598181,1.0,0.945143,2.558951E-5,1.558943E-5,2.196271E-6,2.195208E-6,1.246006E-5,8.249664E-10,1.779338E-7,3.421019E-5,2.415477E-6,6.614169E-10,1.862902E-6,3.989911E-8,6.718833E-7,3.199383E-6,4.911692E-5,8.17225E-6,2.521618E-6,3.359292E-8,2.4821E-6,2.208421E-6,6.729769E-12,4.464712E-7,3.511379E-14,8.076491E-11,3.907064E-11,1.938396E-8,1.562955E-6,2.505391E-9,1.375823E-8,4.51322E-11,2.0247E-6,1.492359E-8,8.323487E-12,1.845368E-12,1.973763E-7,2.90105E-6,0.01919022,3.715758E-6,0.007921682,8.643182E-7,2.483932E-15,7.44619E-14,5.724088E-9,1.782157E-9,1.819141E-13,2.994807E-11,1.168789E-9,0.0104179,0.01714913,9.178916,1.065562E-4,519485.1,519485.1
