Paper,C6–C10,C11–C15,C16–C20,C21–C25,C26–C40
Abbas et al. 2022,22.548,12.286,10.0,6.0,15.0
Ahmad et al. 2015,23.061,32.13,21.706,6.123,16.981
Das et al. 2018,10.267,36.0,42.433,4.708,6.592
Wang et al. 2023,32.503,27.004,23.337,4.289,12.867
Zeb et al. 2025,17.833,22.1,21.567,11.333,19.0
