Time_Soln#29 (sec),Volume_Soln#29 (cm3),Volumetric_heat_production_rate_Soln#29 (erg/cm3-sec),Surface_temperature_Soln#29 (K),Temperature_Soln#29 (K),Mass_Soln#29 (g),Pressure_Soln#29 (atm),Mole_fraction_H2_Soln#29 (),Mole_fraction_H_Soln#29 (),Mole_fraction_CH4_Soln#29 (),Mole_fraction_CH3_Soln#29 (),Mole_fraction_CH2_Soln#29 (),Mole_fraction_C2H6_Soln#29 (),Mole_fraction_C2H5_Soln#29 (),Mole_fraction_C2H4_Soln#29 (),Mole_fraction_C2H3_Soln#29 (),Mole_fraction_C2H2_Soln#29 (),Mole_fraction_C3H8_Soln#29 (),Mole_fraction_IC3H7_Soln#29 (),Mole_fraction_NC3H7_Soln#29 (),Mole_fraction_C3H6_Soln#29 (),Mole_fraction_C3H5-A_Soln#29 (),Mole_fraction_C3H5-T_Soln#29 (),Mole_fraction_C3H4-P_Soln#29 (),Mole_fraction_C3H4-A_Soln#29 (),Mole_fraction_C3H3_Soln#29 (),Mole_fraction_C3H2_Soln#29 (),Mole_fraction_NC4H10_Soln#29 (),Mole_fraction_PC4H9_Soln#29 (),Mole_fraction_C4H8-1_Soln#29 (),Mole_fraction_C4H8-2_Soln#29 (),Mole_fraction_C4H71-3_Soln#29 (),Mole_fraction_C4H6_Soln#29 (),Mole_fraction_C4H5_Soln#29 (),Mole_fraction_C4H4_Soln#29 (),Mole_fraction_C4H2_Soln#29 (),Mole_fraction_C6H6_Soln#29 (),Mole_fraction_C5H6_Soln#29 (),Mole_fraction_C10H8_Soln#29 (),Mole_fraction_NC5H12_Soln#29 (),Mole_fraction_NC5H11_Soln#29 (),Mole_fraction_NC5H10_Soln#29 (),Mole_fraction_LC5H8_Soln#29 (),Mole_fraction_NC6H12_Soln#29 (),Mole_fraction_NC7H15_Soln#29 (),Mole_fraction_NC7H14_Soln#29 (),Mole_fraction_C7H8_Soln#29 (),Mole_fraction_C7H7_Soln#29 (),Mole_fraction_C6H5C2H_Soln#29 (),Mole_fraction_C12H8_Soln#29 (),Mole_fraction_C14H10_Soln#29 (),Mole_fraction_BIN1B_Soln#29 (),Mole_fraction_NC10H21_Soln#29 (),Mole_fraction_NC12H25_Soln#29 (),Mole_fraction_NC12H26_Soln#29 (),Mole_fraction_NC16H34_Soln#29 (),Mole_fraction_NC10H20_Soln#29 (),Molecular_weight_Soln#29 (g/mole),Mass_density_Soln#29 (g/cm3),Unburned_hydrocarbons_Soln#29 (ppm),Volatile_organic_compounds_Soln#29 (ppm)
0.0,15.7,-6.225385E15,2400.0,2400.0,7.521177E-4,1.0,0.9514599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004081009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01103335,0.006639947,0.02678577,9.434426,4.790558E-5,535064.1,535064.1
6.064767E-15,15.69997,-6.225488E15,2399.989,2399.989,7.521177E-4,1.0,0.9514576,1.172565E-10,8.910611E-19,6.287262E-11,1.011036E-22,5.739565E-15,4.062767E-7,1.7846E-10,2.90448E-13,2.636532E-17,3.572155E-15,3.11481E-13,4.062646E-7,2.306326E-10,2.256015E-7,1.544484E-19,7.558686E-17,2.458468E-15,1.422581E-18,3.792211E-29,2.384724E-15,4.062899E-7,1.049015E-10,9.522639E-16,2.255864E-7,1.090497E-11,5.619303E-21,1.908254E-19,2.405704E-20,3.4817E-20,8.67783E-27,3.982053E-31,6.239491E-20,5.951849E-7,1.185747E-10,1.121723E-20,1.94459E-11,1.368565E-6,8.746604E-11,0.004080999,6.462634E-12,7.552405E-38,3.40498E-53,5.574795E-23,1.019306E-43,3.509277E-7,7.237588E-7,0.01103231,0.006638985,0.02678526,9.434403,4.790568E-5,535062.8,535062.8
1.453414E-12,15.69259,-6.239998E15,2397.404,2397.404,7.521177E-4,1.0,0.9508796,5.789752E-6,1.079684E-11,3.419025E-6,1.214659E-15,3.34963E-10,1.017822E-4,9.677833E-6,1.821032E-8,2.834379E-12,2.075389E-10,1.804803E-8,1.010925E-4,1.254492E-5,5.350317E-5,2.067502E-14,1.282981E-11,1.468305E-10,1.672968E-11,9.020603E-20,1.397714E-10,1.024497E-4,5.69942E-6,6.104917E-11,5.266795E-5,6.05076E-7,6.891621E-14,1.729182E-12,1.348978E-15,2.424345E-13,2.280031E-17,9.420798E-22,8.72681E-13,1.359734E-4,6.428403E-6,6.0202E-13,1.053272E-6,3.077776E-4,4.737071E-6,0.004078517,1.547069E-9,6.62451E-28,5.749637E-37,3.146181E-18,2.575527E-34,7.999537E-5,1.615345E-4,0.01078852,0.006415124,0.02666569,9.428672,4.79282E-5,534737.8,534737.8
1.934235E-11,15.64915,-5.504936E15,2366.837,2366.837,7.521177E-4,1.0,0.9413621,6.404543E-4,1.69397E-8,3.752404E-4,2.344491E-12,6.932367E-8,0.001718402,0.001004454,4.830519E-6,2.54793E-9,4.371344E-8,3.470037E-6,0.001611882,0.001340452,6.451564E-4,1.754923E-10,1.254135E-8,3.387445E-8,2.688127E-8,6.229227E-15,2.925185E-8,0.001740418,6.029705E-4,1.919282E-8,5.372388E-4,8.19928E-5,1.823277E-10,2.736459E-9,2.083766E-13,3.9574E-10,4.211976E-13,2.086557E-17,3.329941E-9,0.001001696,6.599404E-4,7.986307E-9,1.08288E-4,0.001980637,4.839536E-4,0.004037656,2.357877E-8,1.593678E-22,2.646184E-29,5.630053E-16,7.21607E-30,5.633267E-4,9.489328E-4,0.008415057,0.004388901,0.02557588,9.334297,4.806126E-5,529385.4,529385.4
5.985362E-11,15.63195,-3.325338E15,2316.472,2316.472,7.521177E-4,1.0,0.9223452,0.002673083,2.41571E-7,0.001538024,6.210325E-11,6.369736E-7,0.005018624,0.003783851,4.116133E-5,4.123715E-8,4.785711E-7,2.859828E-5,0.004416518,0.005217672,0.001739497,9.111071E-9,1.400614E-7,3.143807E-7,4.031611E-7,1.069595E-12,2.642929E-7,0.004868123,0.002328106,2.014186E-7,0.001111301,4.955329E-4,7.945217E-9,4.007715E-8,1.664563E-12,6.033021E-9,1.930369E-11,1.014985E-15,1.001742E-7,9.606767E-4,0.00236667,2.35178E-7,4.050663E-4,0.001710577,0.001763957,0.003955926,1.121236E-7,2.9534E-20,4.367385E-26,6.808485E-15,7.538765E-28,4.66346E-4,6.839403E-4,0.005543408,0.002324082,0.02405201,9.145715,4.811412E-5,518690.2,518690.2
1.356149E-10,15.5976,-1.670095E15,2265.485,2265.485,7.521177E-4,1.0,0.9040374,0.005157849,1.129593E-6,0.002851858,4.730595E-10,2.526226E-6,0.008285996,0.006400497,1.361944E-4,2.504497E-7,2.421055E-6,1.008596E-4,0.00687656,0.008981749,0.00330097,8.161848E-8,5.058196E-7,1.246505E-6,2.038216E-6,2.530907E-11,1.035089E-6,0.00766775,0.004001466,8.253284E-7,0.001523062,0.001433631,9.666353E-8,1.974116E-7,7.3672E-12,3.057835E-8,2.651825E-10,1.211771E-14,7.231388E-7,4.916445E-4,0.003582355,1.516871E-6,6.783136E-4,8.844572E-4,0.002828383,0.003876885,3.865559E-7,1.07252E-18,7.944061E-24,4.885662E-14,2.976389E-26,1.772354E-4,2.683952E-4,0.003292338,0.001047946,0.02198164,8.964116,4.82201E-5,508390.9,508390.9
2.776485E-10,15.52826,-8.511446E14,2217.397,2217.397,7.521177E-4,1.0,0.8888161,0.00783418,3.504108E-6,0.004080723,2.056484E-9,7.121407E-6,0.01096646,0.008339314,3.056463E-4,1.075611E-6,8.709877E-6,2.501908E-4,0.008542911,0.01170146,0.005338616,3.792486E-7,1.204244E-6,3.661046E-6,6.77282E-6,2.756321E-10,2.926129E-6,0.009694684,0.005221164,2.36913E-6,0.001636668,0.003029614,6.512276E-7,6.391959E-7,2.757566E-11,1.044691E-7,2.307706E-9,8.685106E-14,2.869116E-6,2.302152E-4,0.003871004,5.447765E-6,8.573391E-4,4.382396E-4,0.003393701,0.003810255,1.100501E-6,2.278461E-17,6.367661E-22,2.771047E-13,8.391583E-25,5.062477E-5,8.732078E-5,0.001718511,3.861995E-4,0.01924989,8.813014,4.843541E-5,499821.4,499821.4
5.017256E-10,15.44627,-4.840301E14,2176.256,2176.256,7.521177E-4,1.0,0.8769895,0.01040721,8.08946E-6,0.005171381,5.998508E-9,1.532485E-5,0.01295393,0.00977118,5.152767E-4,3.30403E-6,2.308852E-5,4.737148E-4,0.00946259,0.01349573,0.007443875,1.139218E-6,2.194464E-6,8.442465E-6,1.580818E-5,1.602182E-9,6.404234E-6,0.01097293,0.006026067,5.212197E-6,0.001478194,0.004924737,2.626947E-6,1.459125E-6,8.245497E-11,2.643293E-7,1.191329E-8,3.974455E-13,7.48581E-6,1.265641E-4,0.003594196,1.316286E-5,9.492756E-4,2.4843E-4,0.003583748,0.003756886,2.512229E-6,2.759551E-16,2.024187E-20,1.126512E-12,1.322651E-23,1.511752E-5,2.930681E-5,8.482741E-4,1.302826E-4,0.01642883,8.695412,4.86925E-5,493151.7,493151.7
8.840982E-10,15.3534,-2.773091E14,2136.127,2136.127,7.521177E-4,1.0,0.8660918,0.01302586,1.716577E-5,0.006369055,1.56595E-8,3.025683E-5,0.01465828,0.01121306,7.728725E-4,9.056971E-6,5.554631E-5,8.072296E-4,0.009955788,0.01494817,0.009676494,2.958188E-6,3.67679E-6,1.816903E-5,3.169497E-5,7.355857E-9,1.304674E-5,0.01186533,0.006662057,1.060608E-5,0.001186199,0.007054074,8.655179E-6,2.865371E-6,2.367579E-10,6.091745E-7,4.966335E-8,1.619493E-12,1.686498E-5,7.407883E-5,0.003058542,2.73061E-5,9.905484E-4,1.463829E-4,0.003573408,0.003704868,5.355165E-6,2.956241E-15,4.748042E-19,4.18504E-12,1.807416E-22,4.292095E-6,8.81439E-6,3.642666E-4,3.540921E-5,0.013425,8.586703,4.898705E-5,486986.4,486986.4
1.454859E-9,15.26647,-1.660999E14,2100.963,2100.963,7.521177E-4,1.0,0.8567913,0.0152279,3.261737E-5,0.007679851,3.568983E-8,5.327996E-5,0.01595388,0.012752,0.001055457,2.10344E-5,1.152097E-4,0.001218135,0.01006383,0.01608372,0.01165119,6.399882E-6,5.654827E-6,3.469075E-5,5.370076E-5,2.483529E-8,2.390663E-5,0.0123563,0.007127098,1.925847E-5,9.091405E-4,0.008984259,2.212597E-5,4.778512E-6,6.140425E-10,1.219503E-6,1.546411E-7,5.52544E-12,3.228409E-5,4.703884E-5,0.002500331,4.761906E-5,9.900694E-4,9.18922E-5,0.003438245,0.003656243,1.010992E-5,2.330115E-14,6.67084E-18,1.296014E-11,1.761842E-21,1.518421E-6,2.67164E-6,1.479242E-4,8.8212E-6,0.01070702,8.493441,4.926598E-5,481697.1,481697.1
