Time_Soln#8 (sec),Volume_Soln#8 (cm3),Volumetric_heat_production_rate_Soln#8 (erg/cm3-sec),Surface_temperature_Soln#8 (K),Temperature_Soln#8 (K),Mass_Soln#8 (g),Pressure_Soln#8 (atm),Mole_fraction_H2_Soln#8 (),Mole_fraction_H_Soln#8 (),Mole_fraction_CH4_Soln#8 (),Mole_fraction_CH3_Soln#8 (),Mole_fraction_C2H6_Soln#8 (),Mole_fraction_C2H5_Soln#8 (),Mole_fraction_C2H4_Soln#8 (),Mole_fraction_C2H3_Soln#8 (),Mole_fraction_C2H2_Soln#8 (),Mole_fraction_C3H8_Soln#8 (),Mole_fraction_IC3H7_Soln#8 (),Mole_fraction_NC3H7_Soln#8 (),Mole_fraction_C3H6_Soln#8 (),Mole_fraction_C3H5-A_Soln#8 (),Mole_fraction_C3H4-P_Soln#8 (),Mole_fraction_C3H4-A_Soln#8 (),Mole_fraction_NC4H10_Soln#8 (),Mole_fraction_PC4H9_Soln#8 (),Mole_fraction_IC4H10_Soln#8 (),Mole_fraction_IC4H8_Soln#8 (),Mole_fraction_IC4H7_Soln#8 (),Mole_fraction_C4H8-1_Soln#8 (),Mole_fraction_C4H8-2_Soln#8 (),Mole_fraction_C4H71-3_Soln#8 (),Mole_fraction_C4H6_Soln#8 (),Mole_fraction_C4H5_Soln#8 (),Mole_fraction_C4H4_Soln#8 (),Mole_fraction_C6H6_Soln#8 (),Mole_fraction_FULVENE_Soln#8 (),Mole_fraction_C5H6_Soln#8 (),Mole_fraction_C5H5_Soln#8 (),Mole_fraction_MCPTD_Soln#8 (),Mole_fraction_NC5H12_Soln#8 (),Mole_fraction_NC5H10_Soln#8 (),Mole_fraction_B1M2_Soln#8 (),Mole_fraction_B1M3_Soln#8 (),Mole_fraction_LC5H8_Soln#8 (),Mole_fraction_DIALLYL_Soln#8 (),Mole_fraction_CYC6H8_Soln#8 (),Mole_fraction_CYC6H10_Soln#8 (),Mole_fraction_NC6H12_Soln#8 (),Mole_fraction_NC7H14_Soln#8 (),Mole_fraction_C7H8_Soln#8 (),Mole_fraction_C7H7_Soln#8 (),Mole_fraction_C6H5C2H3_Soln#8 (),Mole_fraction_C6H5C2H5_Soln#8 (),Mole_fraction_NPBENZ_Soln#8 (),Mole_fraction_NC12H26_Soln#8 (),Mole_fraction_NC16H34_Soln#8 (),Mole_fraction_NC10H20_Soln#8 (),Molecular_weight_Soln#8 (g/mole),Mass_density_Soln#8 (g/cm3),Unburned_hydrocarbons_Soln#8 (ppm),Volatile_organic_compounds_Soln#8 (ppm)
0.0,15.7,-3.188574E10,1350.0,1350.0,0.001337098,1.0,0.9514599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004081009,0.0,0.0,0.0,0.0,0.01103335,0.006639947,0.02678577,9.434426,8.516548E-5,535064.1,535064.1
2.269253E-10,15.69999,-3.320264E10,1349.999,1349.999,0.001337098,1.0,0.9514597,9.852101E-10,7.417869E-14,1.678945E-9,1.227031E-12,2.925461E-8,4.231082E-9,9.223884E-13,1.273488E-15,5.713126E-13,1.567556E-12,2.876779E-8,6.405806E-9,6.715163E-8,3.530153E-15,8.053775E-14,3.01034E-13,2.961647E-8,1.690514E-23,6.169308E-24,8.450216E-26,2.967312E-9,1.340487E-13,6.713203E-8,1.695378E-11,1.780656E-22,8.457565E-21,5.368997E-15,2.488977E-26,3.812856E-22,1.763027E-28,6.286675E-23,1.095851E-17,2.247097E-9,1.529079E-22,3.01011E-19,5.261874E-15,3.513831E-17,2.543187E-23,1.397058E-22,6.316277E-10,1.401755E-9,0.004081008,2.088139E-11,1.428174E-23,3.943113E-16,1.134914E-16,0.01103328,0.006639886,0.02678563,9.434423,8.516554E-5,535064.0,535064.0
2.983053E-9,15.69985,-4.278937E10,1349.979,1349.979,0.001337098,1.0,0.9514545,1.224736E-7,1.346642E-10,2.205687E-7,3.902766E-10,8.183351E-7,5.439115E-7,1.637044E-10,2.939784E-13,1.664754E-10,4.55692E-10,7.190636E-7,8.10241E-7,8.825711E-7,6.130772E-13,1.391726E-11,9.422829E-11,7.925629E-7,7.89266E-18,1.394669E-18,3.482469E-19,3.687639E-7,2.527089E-11,8.791997E-7,2.995193E-9,1.276995E-17,4.712035E-18,8.786523E-12,5.738665E-22,8.722191E-18,4.955013E-23,1.3976E-18,9.737916E-14,2.744873E-7,6.694379E-18,6.928854E-15,7.227454E-11,7.847822E-14,5.609483E-19,3.117619E-18,7.45067E-8,1.711247E-7,0.004080985,3.005145E-10,5.694677E-20,1.25413E-13,3.306201E-14,0.01103244,0.006639123,0.02678396,9.434371,8.516631E-5,535061.0,535061.0
1.085364E-8,15.69943,-4.831825E10,1349.912,1349.912,0.001337098,1.0,0.9514327,8.601393E-7,4.114556E-9,1.653692E-6,8.667776E-9,4.875688E-6,4.085286E-6,2.305872E-9,6.841818E-12,3.281912E-9,8.903035E-9,3.691644E-6,5.562744E-6,3.212063E-6,8.169514E-12,1.844974E-10,1.820617E-9,3.867955E-6,4.556251E-15,3.083129E-16,5.471964E-16,2.485952E-6,3.647646E-10,3.168038E-6,4.311886E-8,4.400483E-15,2.04479E-16,2.538227E-10,7.274256E-20,1.147418E-15,1.958593E-20,1.397521E-16,1.21579E-11,1.812413E-6,1.121539E-15,7.443549E-13,4.628381E-9,3.778544E-12,5.572409E-17,3.121114E-16,4.738218E-7,1.129957E-6,0.00408089,1.753249E-9,4.610982E-18,2.784866E-12,6.507241E-13,0.01102996,0.006636891,0.02677926,9.434155,8.516859E-5,535048.8,535048.8
3.218957E-8,15.69827,-5.119583E10,1349.718,1349.718,0.001337098,1.0,0.9513662,3.369732E-6,5.572411E-8,7.100264E-6,1.036106E-7,1.866468E-5,1.859144E-5,2.23387E-8,1.385861E-10,3.307806E-8,8.711097E-8,1.11293E-5,1.998185E-5,9.55414E-6,7.222342E-11,1.632629E-9,1.717981E-8,1.039868E-5,6.124879E-13,1.569199E-14,1.177501E-13,8.839972E-6,3.32168E-9,9.180064E-6,4.113376E-7,4.42909E-13,6.735352E-15,3.18061E-9,4.304146E-18,8.886582E-14,2.231299E-18,4.726983E-15,4.637453E-10,6.389158E-6,5.038847E-14,2.871541E-11,7.760753E-8,9.881538E-11,1.902004E-15,1.044094E-14,1.635714E-6,4.044118E-6,0.004080588,1.242068E-8,1.68778E-16,3.327585E-11,6.590285E-12,0.01102306,0.006630727,0.0267662,9.433493,8.517487E-5,535011.2,535011.2
1.397227E-7,15.6923,-5.986336E10,1348.618,1348.618,0.001337098,1.0,0.9509629,2.115783E-5,1.766641E-6,5.254557E-5,2.56066E-6,1.005067E-4,1.519124E-4,4.471452E-7,1.096649E-8,5.613915E-7,1.201417E-6,3.19447E-5,1.006372E-4,4.234195E-5,1.39441E-9,3.212747E-8,2.672212E-7,2.101656E-5,2.949342E-10,2.805728E-12,8.886471E-11,4.3101E-5,6.772579E-8,3.61634E-5,8.201883E-6,2.126383E-10,3.118297E-12,8.67101E-8,1.729709E-15,4.980776E-11,2.792649E-15,4.52847E-13,3.619712E-8,3.140577E-5,6.176288E-12,3.653883E-9,2.354839E-6,8.277322E-9,2.143238E-13,9.484283E-13,7.566778E-6,2.211044E-5,0.004078432,2.703691E-7,2.440621E-14,8.26553E-10,1.712302E-10,0.010985,0.006597251,0.02669161,9.429392,8.520729E-5,534778.6,534778.6
4.674426E-7,15.67485,-7.022136E10,1344.643,1344.643,0.001337098,1.0,0.9493488,7.294983E-5,3.041909E-5,2.634243E-4,2.884336E-5,2.899916E-4,8.635895E-4,4.199095E-6,3.965322E-7,6.09725E-6,5.746818E-6,4.946708E-5,4.393281E-4,1.448846E-4,1.911226E-8,4.07055E-7,3.32474E-6,2.522489E-5,2.78953E-8,3.013209E-10,1.312772E-8,1.725124E-4,1.068327E-6,9.657727E-5,8.558834E-5,2.623354E-8,1.202804E-9,1.145311E-6,3.066782E-13,8.28228E-9,4.020821E-12,2.092978E-11,7.097764E-7,1.326579E-4,2.722609E-10,1.749768E-7,3.165399E-5,3.235134E-7,5.297199E-11,4.528343E-11,2.647624E-5,1.164256E-4,0.00406646,3.389399E-6,5.907316E-12,1.10249E-8,1.090702E-8,0.01083574,0.006470248,0.026374,9.412069,8.530214E-5,533796.1,533796.1
9.85718E-7,15.65391,-6.621815E10,1338.074,1338.074,0.001337098,1.0,0.946337,1.079116E-4,1.608076E-4,6.161473E-4,1.056863E-4,4.051905E-4,0.002389417,1.306639E-5,3.172871E-6,3.092378E-5,1.023092E-5,5.531499E-5,0.001140443,2.673644E-4,1.192494E-7,1.896298E-6,1.594433E-5,2.616709E-5,3.01475E-7,6.282607E-9,1.737071E-7,4.237308E-4,5.533995E-6,1.488407E-4,3.011251E-4,3.007794E-7,3.287875E-8,4.321552E-6,6.761336E-12,1.201855E-7,2.081694E-10,2.18519E-10,3.247012E-6,3.421118E-4,2.344746E-9,1.522625E-6,1.189114E-4,2.627128E-6,2.617202E-9,6.290938E-10,5.634588E-5,3.31999E-4,0.00403964,1.209386E-5,2.309857E-10,7.361039E-8,1.350028E-7,0.0105497,0.006233849,0.02572627,9.378616,8.541623E-5,531898.9,531898.9
1.010388E-6,15.65314,-6.578053E10,1337.777,1337.777,0.001337098,1.0,0.9461914,1.086623E-4,1.694262E-4,6.30815E-4,1.099483E-4,4.071614E-4,0.002466127,1.347412E-5,3.38281E-6,3.258786E-5,1.0358E-5,5.53423E-5,0.001175819,2.714462E-4,1.268595E-7,1.989632E-6,1.671438E-5,2.613219E-5,3.235021E-7,6.927193E-9,1.874148E-7,4.363795E-4,5.818707E-6,1.504185E-4,3.127003E-4,3.226632E-7,3.634938E-8,4.494644E-6,7.482803E-12,1.301635E-7,2.340144E-10,2.354546E-10,3.396226E-6,3.527427E-4,2.506579E-9,1.626267E-6,1.236252E-4,2.79654E-6,2.948045E-9,6.857228E-10,5.771385E-5,3.429879E-4,0.004038294,1.254144E-5,2.583938E-10,7.8887E-8,1.45449E-7,0.01053571,0.006222413,0.02569397,9.376991,8.542043E-5,531806.7,531806.7
1.025591E-6,15.65268,-6.55067E10,1337.594,1337.594,0.001337098,1.0,0.9461017,1.090974E-4,1.748336E-4,6.397174E-4,1.125929E-4,4.082712E-4,0.00251344,1.372271E-5,3.5156E-6,3.363217E-5,1.043306E-5,5.53521E-5,0.00119765,2.738845E-4,1.316882E-7,2.04795E-6,1.719404E-5,2.610851E-5,3.374793E-7,7.346979E-9,1.961527E-7,4.441909E-4,5.996757E-6,1.513593E-4,3.198639E-4,3.365267E-7,3.860941E-8,4.601852E-6,7.955443E-12,1.365505E-7,2.510492E-10,2.462853E-10,3.488993E-6,3.593051E-4,2.609298E-9,1.691888E-6,1.265424E-4,2.903292E-6,3.166527E-9,7.222606E-10,5.855363E-5,3.497691E-4,0.004037465,1.281729E-5,2.764056E-10,8.226704E-8,1.520998E-7,0.01052709,0.006215373,0.02567405,9.37599,8.542296E-5,531750.0,531750.0
