Time_Soln#5 (sec),Volume_Soln#5 (cm3),Volumetric_heat_production_rate_Soln#5 (erg/cm3-sec),Surface_temperature_Soln#5 (K),Temperature_Soln#5 (K),Mass_Soln#5 (g),Pressure_Soln#5 (atm),Mole_fraction_H2_Soln#5 (),Mole_fraction_H_Soln#5 (),Mole_fraction_CH4_Soln#5 (),Mole_fraction_CH3_Soln#5 (),Mole_fraction_C2H6_Soln#5 (),Mole_fraction_C2H5_Soln#5 (),Mole_fraction_C2H4_Soln#5 (),Mole_fraction_C2H3_Soln#5 (),Mole_fraction_C2H2_Soln#5 (),Mole_fraction_C3H8_Soln#5 (),Mole_fraction_NC3H7_Soln#5 (),Mole_fraction_C3H6_Soln#5 (),Mole_fraction_C3H5-A_Soln#5 (),Mole_fraction_C3H4-P_Soln#5 (),Mole_fraction_C3H4-A_Soln#5 (),Mole_fraction_NC4H10_Soln#5 (),Mole_fraction_PC4H9_Soln#5 (),Mole_fraction_IC4H10_Soln#5 (),Mole_fraction_IC4H8_Soln#5 (),Mole_fraction_IC4H7_Soln#5 (),Mole_fraction_C4H8-1_Soln#5 (),Mole_fraction_C4H8-2_Soln#5 (),Mole_fraction_C4H71-3_Soln#5 (),Mole_fraction_C4H6_Soln#5 (),Mole_fraction_C4H4_Soln#5 (),Mole_fraction_C6H6_Soln#5 (),Mole_fraction_FULVENE_Soln#5 (),Mole_fraction_C5H6_Soln#5 (),Mole_fraction_MCPTD_Soln#5 (),Mole_fraction_NC5H12_Soln#5 (),Mole_fraction_NC5H10_Soln#5 (),Mole_fraction_B1M2_Soln#5 (),Mole_fraction_B1M3_Soln#5 (),Mole_fraction_B2M2_Soln#5 (),Mole_fraction_CYC5H8_Soln#5 (),Mole_fraction_LC5H8_Soln#5 (),Mole_fraction_DIALLYL_Soln#5 (),Mole_fraction_CYC6H8_Soln#5 (),Mole_fraction_CYC6H10_Soln#5 (),Mole_fraction_NC6H12_Soln#5 (),Mole_fraction_NC7H14_Soln#5 (),Mole_fraction_C7H8_Soln#5 (),Mole_fraction_C7H7_Soln#5 (),Mole_fraction_C6H5C2H3_Soln#5 (),Mole_fraction_C6H5C2H5_Soln#5 (),Mole_fraction_XYLENE_Soln#5 (),Mole_fraction_NPBENZ_Soln#5 (),Mole_fraction_NC12H26_Soln#5 (),Mole_fraction_NC16H34_Soln#5 (),Mole_fraction_NC10H20_Soln#5 (),Molecular_weight_Soln#5 (g/mole),Mass_density_Soln#5 (g/cm3),Unburned_hydrocarbons_Soln#5 (ppm),Volatile_organic_compounds_Soln#5 (ppm)
0.0,15.7,-1.030182E9,1200.0,1200.0,0.001504235,1.0,0.9514599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004081009,0.0,0.0,0.0,0.0,0.0,0.01103335,0.006639947,0.02678577,9.434426,9.581117E-5,535064.1,535064.1
4.643942E-9,15.69993,-1.20662E9,1199.999,1199.999,0.001504235,1.0,0.9514597,1.893815E-9,2.359367E-12,4.499992E-9,8.937431E-12,2.177715E-8,1.081138E-8,1.315521E-12,2.158301E-15,3.822544E-12,1.985343E-8,1.691784E-8,4.798383E-8,5.323234E-15,1.299858E-13,1.921948E-12,2.186672E-8,3.248324E-21,4.513644E-22,8.008939E-23,7.834641E-9,6.666258E-13,4.795944E-8,2.208825E-11,1.491609E-21,1.7978E-13,9.958623E-26,8.518352E-21,1.343359E-21,1.177422E-16,5.476352E-9,3.315831E-21,1.30554E-17,3.619654E-22,3.236554E-22,5.434983E-13,7.611372E-16,6.077194E-22,3.15481E-21,1.705894E-9,2.939029E-9,0.004081008,7.519835E-12,6.580577E-23,2.87572E-15,8.899953E-17,7.081602E-16,0.01103331,0.006639919,0.02678567,9.434424,9.581122E-5,535064.0,535064.0
2.836373E-8,15.69988,-1.516309E9,1199.994,1199.994,0.001504235,1.0,0.9514581,3.756189E-8,3.756879E-10,1.060061E-7,7.441255E-10,3.122776E-7,2.568217E-7,5.017955E-11,1.298557E-13,2.66013E-10,2.276934E-7,3.531765E-7,2.93253E-7,1.98952E-13,4.854699E-12,1.336132E-10,2.401409E-7,3.345755E-17,1.571175E-18,4.116446E-18,1.596677E-7,2.670005E-11,2.923484E-7,1.105727E-9,2.116645E-19,2.494822E-11,1.451054E-22,8.925907E-18,1.14461E-18,1.279218E-13,1.078735E-7,6.491389E-18,1.235784E-14,1.229754E-18,2.769089E-19,3.024609E-10,1.734694E-13,5.129272E-19,2.707315E-18,3.225985E-8,5.890519E-8,0.004081001,1.025899E-10,3.247582E-20,2.394229E-13,1.433281E-14,4.92595E-14,0.01103314,0.006639766,0.02678517,9.434407,9.58115E-5,535063.1,535063.1
8.170324E-8,15.69978,-1.633994E9,1199.979,1199.979,0.001504235,1.0,0.9514535,1.389519E-7,5.480937E-9,4.9934E-7,9.422868E-9,1.301499E-6,1.276276E-6,4.330334E-10,2.040954E-12,2.686497E-9,7.082377E-7,1.365559E-6,8.48189E-7,1.656451E-12,4.050357E-11,1.223119E-9,6.424227E-7,4.930394E-15,9.386024E-17,1.064893E-15,6.08212E-7,2.257665E-10,8.407773E-7,1.231127E-8,8.520836E-18,3.001081E-10,1.068599E-20,5.932912E-16,3.981806E-17,5.387402E-12,4.04675E-7,3.37281E-16,5.075293E-13,7.151552E-17,9.90338E-18,5.64532E-9,4.166698E-12,1.785997E-17,9.442918E-17,1.17745E-7,2.276422E-7,0.00408098,8.387546E-10,1.222475E-18,3.031657E-12,2.141023E-13,4.977957E-13,0.01103274,0.00663941,0.026784,9.434361,9.581216E-5,535060.5,535060.5
2.647942E-7,15.69939,-1.827879E9,1199.926,1199.926,0.001504235,1.0,0.9514349,5.176206E-7,9.464992E-8,2.60622E-6,1.361074E-7,5.471214E-6,7.076334E-6,4.826161E-9,5.886046E-11,2.514141E-8,1.688023E-6,5.178113E-6,2.79666E-6,1.761867E-11,4.362828E-10,9.494027E-9,1.112015E-6,8.061743E-13,6.656153E-15,2.407538E-13,2.25302E-6,2.308193E-9,2.721522E-6,1.547278E-7,1.382842E-15,3.779078E-9,1.286758E-18,7.370457E-14,1.641133E-15,2.002947E-10,1.505843E-6,1.859081E-14,2.809645E-11,4.659195E-15,4.56517E-16,8.458908E-8,1.4522E-10,7.5952E-16,3.878657E-15,4.185096E-7,9.317146E-7,0.004080886,9.433743E-9,6.117438E-17,4.381435E-11,3.915701E-12,4.870144E-12,0.01103124,0.006638095,0.02677964,9.434174,9.581452E-5,535049.8,535049.8
8.363953E-7,15.69812,-2.190589E9,1199.733,1199.733,0.001504235,1.0,0.9513614,1.770032E-6,1.427614E-6,1.189443E-5,1.549004E-6,1.802301E-5,3.610589E-5,4.632105E-8,1.761643E-9,1.693804E-7,2.670661E-6,2.034959E-5,9.318103E-6,1.847076E-10,4.745648E-9,6.389139E-8,1.36082E-6,7.029993E-11,4.686354E-13,3.194602E-11,8.354681E-6,2.34598E-8,8.63047E-6,1.704143E-6,4.082569E-13,4.229723E-8,1.510492E-16,8.615938E-12,6.381342E-14,3.952507E-9,5.788314E-6,7.837513E-13,1.327305E-9,2.535343E-13,2.342992E-14,1.001669E-6,4.9448E-9,4.149454E-14,1.49772E-13,1.41867E-6,4.46317E-6,0.00408042,1.025621E-7,3.063417E-15,5.054152E-10,6.674452E-11,6.43325E-11,0.01102535,0.006633053,0.02676273,9.433415,9.582224E-5,535006.8,535006.8
1.291572E-6,15.69708,-2.417077E9,1199.557,1199.557,0.001504235,1.0,0.9512897,2.679912E-6,3.827609E-6,2.014916E-5,3.667439E-6,2.65355E-5,6.752039E-5,1.021359E-7,6.22546E-9,3.534806E-7,3.088624E-6,3.585851E-5,1.488466E-5,4.610394E-10,1.205976E-8,1.493123E-7,1.500866E-6,3.228786E-10,2.479287E-12,1.828861E-10,1.42439E-5,5.856409E-8,1.335096E-5,4.115108E-6,3.492242E-12,1.018087E-7,9.17846E-16,4.977428E-11,2.670651E-13,1.097443E-8,1.011549E-5,3.153942E-12,5.468355E-9,1.133558E-12,1.136734E-13,2.437627E-6,1.920588E-8,2.93067E-13,6.28222E-13,2.278938E-6,8.674903E-6,0.004079885,2.455777E-7,1.718293E-14,1.228849E-9,1.941813E-10,2.578985E-10,0.01101944,0.006628081,0.02674589,9.432658,9.58286E-5,534963.9,534963.9
1.359667E-6,15.69692,-2.447732E9,1199.529,1199.529,0.001504235,1.0,0.951278,2.808499E-6,4.294175E-6,2.141035E-5,4.052149E-6,2.770618E-5,7.277696E-5,1.117871E-7,7.215491E-9,3.871876E-7,3.1457E-6,3.842269E-5,1.573719E-5,5.145679E-10,1.348468E-8,1.660457E-7,1.520635E-6,3.845204E-10,3.028127E-12,2.238526E-10,1.519968E-5,6.53578E-8,1.405496E-5,4.561752E-6,4.487548E-12,1.127513E-7,1.136111E-15,6.106925E-11,3.170513E-13,1.235733E-8,1.082997E-5,3.716889E-12,6.453927E-9,1.353169E-12,1.374339E-13,2.702617E-6,2.256647E-8,3.779558E-13,7.464587E-13,2.412115E-6,9.404214E-6,0.004079793,2.718071E-7,2.143766E-14,1.364881E-9,2.203601E-10,3.076378E-10,0.01101847,0.00662727,0.02674313,9.432535,9.582956E-5,534956.9,534956.9
1.413418E-6,15.6968,-2.471374E9,1199.507,1199.507,0.001504235,1.0,0.9512687,2.908655E-6,4.682478E-6,2.240887E-5,4.367571E-6,2.861244E-5,7.702339E-5,1.196096E-7,8.06328E-9,4.15029E-7,3.190044E-6,4.048983E-5,1.641291E-5,5.591917E-10,1.467318E-8,1.800321E-7,1.536029E-6,4.383844E-10,3.522943E-12,2.605736E-10,1.596748E-5,7.101885E-8,1.460994E-5,4.929705E-6,5.419508E-12,1.217479E-7,1.334571E-15,7.122796E-11,3.609894E-13,1.351188E-8,1.140598E-5,4.207007E-12,7.311751E-9,1.546659E-12,1.586568E-13,2.92064E-6,2.548841E-8,4.592264E-13,8.505698E-13,2.518022E-6,9.99738E-6,0.004079719,2.933578E-7,2.539629E-14,1.477555E-9,2.42437E-10,3.518195E-10,0.01101769,0.006626618,0.02674091,9.432435,9.583032E-5,534951.2,534951.2
1.490848E-6,15.69662,-2.504595E9,1199.475,1199.475,0.001504235,1.0,0.951255,3.050867E-6,5.272994E-6,2.385115E-5,4.839826E-6,2.989092E-5,8.32888E-5,1.311788E-7,9.390908E-9,4.571031E-7,3.252883E-6,4.353364E-5,1.739023E-5,6.27225E-10,1.648568E-8,2.014086E-7,1.55788E-6,5.244816E-10,4.341229E-12,3.208439E-10,1.709406E-5,7.964699E-8,1.540817E-5,5.483426E-6,7.020418E-12,1.352569E-7,1.665508E-15,8.79642E-11,4.317433E-13,1.527352E-8,1.225425E-5,4.988068E-12,8.678061E-9,1.858898E-12,1.934041E-13,3.248257E-6,3.013896E-8,6.025411E-13,1.018564E-12,2.671784E-6,1.08786E-5,0.004079609,3.25694E-7,3.217483E-14,1.648222E-9,2.76485E-10,4.237213E-10,0.01101655,0.00662566,0.02673765,9.432289,9.583142E-5,534943.0,534943.0
