Time_Soln#23 (sec),Volume_Soln#23 (cm3),Volumetric_heat_production_rate_Soln#23 (erg/cm3-sec),Surface_temperature_Soln#23 (K),Temperature_Soln#23 (K),Mass_Soln#23 (g),Pressure_Soln#23 (atm),Mole_fraction_H2_Soln#23 (),Mole_fraction_H_Soln#23 (),Mole_fraction_CH4_Soln#23 (),Mole_fraction_CH3_Soln#23 (),Mole_fraction_C2H6_Soln#23 (),Mole_fraction_C2H5_Soln#23 (),Mole_fraction_C2H4_Soln#23 (),Mole_fraction_C2H3_Soln#23 (),Mole_fraction_C2H2_Soln#23 (),Mole_fraction_C3H8_Soln#23 (),Mole_fraction_IC3H7_Soln#23 (),Mole_fraction_NC3H7_Soln#23 (),Mole_fraction_C3H6_Soln#23 (),Mole_fraction_C3H5-A_Soln#23 (),Mole_fraction_C3H5-T_Soln#23 (),Mole_fraction_C3H4-P_Soln#23 (),Mole_fraction_C3H4-A_Soln#23 (),Mole_fraction_C3H3_Soln#23 (),Mole_fraction_NC4H10_Soln#23 (),Mole_fraction_PC4H9_Soln#23 (),Mole_fraction_C4H8-1_Soln#23 (),Mole_fraction_C4H8-2_Soln#23 (),Mole_fraction_C4H71-3_Soln#23 (),Mole_fraction_C4H6_Soln#23 (),Mole_fraction_C4H5_Soln#23 (),Mole_fraction_C4H4_Soln#23 (),Mole_fraction_C4H2_Soln#23 (),Mole_fraction_C6H6_Soln#23 (),Mole_fraction_FULVENE_Soln#23 (),Mole_fraction_C5H6_Soln#23 (),Mole_fraction_C10H8_Soln#23 (),Mole_fraction_NC5H12_Soln#23 (),Mole_fraction_NC5H11_Soln#23 (),Mole_fraction_NC5H10_Soln#23 (),Mole_fraction_LC5H8_Soln#23 (),Mole_fraction_NC6H12_Soln#23 (),Mole_fraction_NC7H15_Soln#23 (),Mole_fraction_NC7H14_Soln#23 (),Mole_fraction_C7H8_Soln#23 (),Mole_fraction_C7H7_Soln#23 (),Mole_fraction_C6H5C2H_Soln#23 (),Mole_fraction_C12H8_Soln#23 (),Mole_fraction_C14H10_Soln#23 (),Mole_fraction_C16H10_Soln#23 (),Mole_fraction_BIN1B_Soln#23 (),Mole_fraction_NC10H21_Soln#23 (),Mole_fraction_NC12H25_Soln#23 (),Mole_fraction_NC12H26_Soln#23 (),Mole_fraction_NC16H34_Soln#23 (),Mole_fraction_NC10H20_Soln#23 (),Molecular_weight_Soln#23 (g/mole),Mass_density_Soln#23 (g/cm3),Unburned_hydrocarbons_Soln#23 (ppm),Volatile_organic_compounds_Soln#23 (ppm)
0.0,15.7,-6.634514E14,2100.0,2100.0,8.59563E-4,1.0,0.9514599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004081009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01103335,0.006639947,0.02678577,9.434426,5.474924E-5,535064.1,535064.1
3.898115E-14,15.69997,-6.636877E14,2099.993,2099.993,8.59563E-4,1.0,0.9514586,1.531454E-10,5.046331E-18,9.649956E-11,1.237541E-14,2.274613E-7,2.68989E-10,3.096506E-13,6.98466E-17,7.104649E-15,3.57312E-13,2.274422E-7,3.5544E-10,1.677911E-7,4.959219E-19,2.017415E-16,5.523216E-15,6.568597E-19,4.56498E-15,2.274826E-7,1.62122E-10,1.932636E-15,1.677786E-7,9.660893E-12,2.502126E-21,1.264793E-19,4.690885E-20,3.707378E-19,4.108825E-29,4.418816E-26,7.52752E-31,1.166146E-19,3.537714E-7,1.663144E-10,7.595087E-20,3.069986E-11,8.278748E-7,1.246891E-10,0.004081003,2.030962E-11,4.028726E-36,1.652444E-51,1.342898E-22,3.185502E-50,7.772194E-43,1.963425E-7,4.048651E-7,0.01103276,0.006639408,0.0267854,9.434412,5.474933E-5,535063.3,535063.3
5.899705E-12,15.69608,-6.960028E14,2098.969,2098.969,8.59563E-4,1.0,0.9512307,2.853254E-6,1.563792E-11,2.081767E-6,3.0144E-10,3.817589E-5,5.803303E-6,7.473662E-9,2.121794E-12,1.717679E-10,8.620913E-9,3.773706E-5,7.701118E-6,2.526287E-5,1.644639E-14,6.636486E-12,1.268929E-10,1.817059E-12,1.120566E-10,3.858615E-5,3.504388E-6,4.723039E-11,2.498537E-5,2.166465E-7,8.140232E-15,1.496912E-13,1.058072E-15,4.791374E-13,9.08239E-21,1.930829E-17,2.68307E-22,4.61829E-13,5.105601E-5,3.596192E-6,1.386604E-12,6.596305E-7,1.156436E-4,2.685863E-6,0.004080022,3.072059E-9,2.405633E-27,1.396301E-36,3.050978E-18,1.119225E-37,3.472369E-34,2.832701E-5,5.616813E-5,0.01094554,0.006559095,0.02673062,9.432153,5.476293E-5,534935.2,534935.2
5.931321E-11,15.6717,-7.958777E14,2088.432,2088.432,8.59563E-4,1.0,0.9479275,1.987364E-4,1.156232E-8,1.41085E-4,4.31354E-8,5.982995E-4,3.787439E-4,9.941237E-7,6.411681E-10,2.438723E-8,1.157313E-6,5.569085E-4,5.164144E-4,2.432789E-4,3.849896E-11,1.89499E-9,1.346363E-8,1.542741E-9,1.62342E-8,6.03397E-4,2.316625E-4,6.762582E-9,2.189234E-4,1.932985E-5,1.742331E-11,1.259932E-10,9.90923E-14,3.6352E-10,7.126563E-17,1.359179E-13,2.34283E-18,1.103885E-9,3.209549E-4,2.368929E-4,6.966094E-9,4.197565E-5,6.035095E-4,1.729045E-4,0.004065819,3.291323E-8,7.147698E-23,1.05061E-29,3.832534E-16,1.194237E-31,4.474596E-30,1.737182E-4,2.767604E-4,0.01020517,0.005895606,0.02632217,9.399399,5.484812E-5,533077.6,533077.6
1.925872E-10,15.63763,-6.360327E14,2063.58,2063.58,8.59563E-4,1.0,0.9386892,0.001005345,2.078722E-7,6.816488E-4,5.396916E-7,0.002227558,0.001746712,1.088497E-5,1.431902E-8,3.466579E-7,1.320817E-5,0.001961336,0.002433764,7.236708E-4,2.921187E-9,2.689233E-8,1.367579E-7,3.456382E-8,2.015899E-7,0.002141739,0.001079524,8.564901E-8,5.35839E-4,1.525041E-4,1.670104E-9,2.810944E-9,8.678813E-13,6.948093E-9,5.001726E-15,9.052966E-12,1.79653E-16,5.585042E-8,3.656209E-4,0.001073237,2.543362E-7,1.88992E-4,6.145267E-4,7.742482E-4,0.004026035,1.429393E-7,1.839829E-20,2.790767E-26,8.590694E-15,2.011961E-28,1.344404E-27,1.81874E-4,2.566446E-4,0.008785129,0.004699055,0.02557322,9.307781,5.49676E-5,527881.6,527881.6
5.025614E-10,15.57794,-3.747398E14,2024.935,2024.935,8.59563E-4,1.0,0.924649,0.002495622,1.416377E-6,0.001579764,3.228659E-6,0.004733152,0.003877994,5.274351E-5,1.568205E-7,2.728791E-6,7.015888E-5,0.00396012,0.00536766,0.001613824,4.830599E-8,1.457427E-7,7.703857E-7,2.923166E-7,1.237281E-6,0.004345976,0.00237376,5.52949E-7,8.644484E-4,6.200647E-4,4.542582E-8,2.347221E-8,4.387704E-12,5.192235E-8,1.381058E-13,2.50852E-10,4.290554E-15,7.765826E-7,2.305849E-4,0.002203229,2.373001E-6,4.086427E-4,3.901565E-4,0.00162527,0.003965095,5.807154E-7,1.681713E-18,1.649449E-23,1.322617E-13,8.508441E-26,2.292517E-25,9.974598E-5,1.442272E-4,0.00682211,0.003201881,0.02423838,9.168472,5.517823E-5,519980.8,519980.8
1.343535E-9,15.46728,-1.737825E14,1970.842,1970.842,8.59563E-4,1.0,0.9064356,0.004927111,7.326618E-6,0.002905435,1.516324E-5,0.007928096,0.006778891,1.749893E-4,1.442213E-6,1.893414E-5,2.732494E-4,0.006105724,0.008877978,0.003231733,4.791945E-7,5.580027E-7,3.822013E-6,1.654041E-6,6.350509E-6,0.00678652,0.003921912,3.054451E-6,0.001019762,0.001855833,7.697146E-7,1.299288E-7,2.227823E-11,3.046743E-7,3.836741E-12,5.78251E-9,7.586372E-14,6.656911E-6,1.139765E-4,0.003199656,1.441269E-5,6.644083E-4,1.974001E-4,0.002511211,0.003883625,2.51375E-6,1.552092E-16,9.27205E-21,1.864094E-12,3.209435E-23,4.01223E-23,3.810566E-5,5.851395E-5,0.004476822,0.0016856,0.02181595,8.987393,5.557299E-5,509711.1,509711.1
3.193308E-9,15.33423,-7.840023E13,1916.455,1916.455,8.59563E-4,1.0,0.8892304,0.00762637,2.698188E-5,0.004676377,4.942107E-5,0.01076013,0.01024202,3.929234E-4,8.436208E-6,8.792506E-5,6.916016E-4,0.007292878,0.01181795,0.005233062,2.556882E-6,1.516598E-6,1.38887E-5,5.31357E-6,2.358421E-5,0.008211193,0.005180761,1.190175E-5,9.117122E-4,0.003690421,6.046237E-6,4.154514E-7,1.160474E-10,1.212284E-6,5.720427E-11,6.523677E-8,7.985869E-13,3.109584E-5,5.656292E-5,0.003587115,5.377436E-5,8.573435E-4,9.752671E-5,0.003069611,0.003799227,8.566975E-6,7.808549E-15,1.783693E-18,1.627107E-11,5.452805E-21,3.036628E-21,1.340155E-5,2.140025E-5,0.00266051,7.613938E-4,0.01873151,8.815205,5.605517E-5,499945.6,499945.6
5.939259E-9,15.23398,-4.21936E13,1876.228,1876.228,8.59563E-4,1.0,0.8765795,0.009436983,6.788382E-5,0.006872914,1.069365E-4,0.01247258,0.0139487,6.716872E-4,2.813986E-5,2.3484E-4,0.001157003,0.00735909,0.01376609,0.006791289,7.189336E-6,3.05155E-6,3.272113E-5,1.03723E-5,5.660148E-5,0.008301368,0.005923135,2.875642E-5,7.688151E-4,0.005306184,2.1151E-5,8.607114E-7,4.62273E-10,2.973347E-6,3.311441E-10,3.04697E-7,4.362266E-12,8.006465E-5,3.433999E-5,0.003578453,1.203333E-4,9.56767E-4,5.691292E-5,0.003296192,0.003726217,1.933725E-5,1.291991E-13,6.356779E-17,7.10998E-11,2.133106E-19,6.077601E-20,6.20748E-6,9.463186E-6,0.001670606,3.740211E-4,0.01604177,8.686961,5.642406E-5,492672.4,492672.4
7.618149E-9,15.19717,-3.245655E13,1860.23,1860.23,8.59563E-4,1.0,0.8713927,0.00999069,9.913457E-5,0.008174348,1.436246E-4,0.01298037,0.01592007,8.360297E-4,4.537252E-5,3.368437E-4,0.001368553,0.007152133,0.01453509,0.007366474,1.047055E-5,4.081986E-6,4.528325E-5,1.315117E-5,7.883858E-5,0.008033453,0.006170538,3.989607E-5,7.120849E-4,0.0059904,3.324568E-5,1.162288E-6,8.263373E-10,4.164655E-6,6.422199E-10,5.407932E-7,8.721056E-12,1.130649E-4,2.826686E-5,0.00353098,1.607679E-4,9.855179E-4,4.560445E-5,0.003346593,0.003691988,2.627189E-5,3.97877E-13,2.528764E-16,1.26423E-10,9.193565E-19,1.990023E-19,4.655337E-6,6.694507E-6,0.001353436,2.712219E-4,0.01487173,8.633758,5.656075E-5,489655.1,489655.1
