Distance_PFRC2 (cm),Plug_flow_residence_time_PFRC2 (sec),Internal_surface_area_per_unit_distance_PFRC2 (cm),Cross-section_area_PFRC2 (cm2),External_surface_area_per_unit_distance_PFRC2 (cm),Velocity_PFRC2 (cm/sec),Exit_mass_flow_rate_PFRC2 (g/sec),Volumetric_heat_production_rate_PFRC2 (erg/cm3-sec),Surface_temperature_PFRC2 (K),Heat_loss_rate_PFRC2 (erg/cm-sec),Temperature_PFRC2 (K),Pressure_PFRC2 (atm),Mole_fraction_H2_PFRC2 (),Mole_fraction_H_PFRC2 (),Mole_fraction_CH4_PFRC2 (),Mole_fraction_CH3_PFRC2 (),Mole_fraction_C2H4_PFRC2 (),Mole_fraction_C2H2_PFRC2 (),Mole_fraction_C3H4-P_PFRC2 (),Mole_fraction_C3H4-A_PFRC2 (),Mole_fraction_C3H3_PFRC2 (),Mole_fraction_C4H4_PFRC2 (),Mole_fraction_C4H2_PFRC2 (),Mole_fraction_C6H6_PFRC2 (),Mole_fraction_C10H8_PFRC2 (),Mole_fraction_C7H8_PFRC2 (),Mole_fraction_C7H7_PFRC2 (),Mole_fraction_BENZYNE_PFRC2 (),Mole_fraction_STILB_PFRC2 (),Mole_fraction_C7H6_PFRC2 (),Mole_fraction_C6H5C2H_PFRC2 (),Mole_fraction_C6H5C2H3_PFRC2 (),Mole_fraction_C6H5C2H5_PFRC2 (),Mole_fraction_INDENYL_PFRC2 (),Mole_fraction_C12H8_PFRC2 (),Mole_fraction_BIPHENYL_PFRC2 (),Mole_fraction_C14H10_PFRC2 (),Mole_fraction_C16H10_PFRC2 (),Mole_fraction_C18H10_PFRC2 (),Mole_fraction_BIN1B_PFRC2 (),Mole_fraction_BIN1A_PFRC2 (),Mole_fraction_NC10H19_PFRC2 (),Molecular_weight_PFRC2 (g/mole),Mass_density_PFRC2 (g/cm3),Unburned_hydrocarbons_PFRC2 (ppm),Volatile_organic_compounds_PFRC2 (ppm)
0.02452714,2.071577E-5,6.283185,3.141593,6.283185,1183.954,0.2720914,-3.03317E9,1705.89,2.474465E8,1705.89,1.000001,0.8837125,1.706148E-4,0.01469115,1.785918E-4,0.01267497,0.006051559,1.654125E-4,8.242998E-5,1.805632E-4,1.716603E-4,5.277429E-4,0.02258463,1.291653E-4,0.01723868,0.002602635,3.864916E-4,2.327997E-4,3.497639E-4,0.006546534,0.030031,4.633014E-5,1.471507E-5,4.163293E-6,7.413508E-5,1.948252E-4,9.55233E-5,1.522989E-6,1.433635E-6,2.595187E-5,-3.526787E-23,10.23998,7.315267E-5,644344.3,644390.0
0.02457318,2.075466E-5,6.283185,3.141593,6.283185,1183.95,0.2720914,-3.206188E9,1705.86,2.474412E8,1705.86,1.000001,0.8836926,1.70049E-4,0.01469742,1.783805E-4,0.01268464,0.006057988,1.65724E-4,8.257338E-5,1.806698E-4,1.718334E-4,5.288184E-4,0.02260286,1.295325E-4,0.01723378,0.002600153,3.864517E-4,2.32922E-4,3.498296E-4,0.006550984,0.03001084,4.602561E-5,1.475562E-5,4.17743E-6,7.426144E-5,1.951289E-4,9.57456E-5,1.538262E-6,1.439641E-6,2.601937E-5,-4.430254E-23,10.23983,7.315291E-5,644341.5,644389.4
0.02458027,2.076065E-5,6.283185,3.141593,6.283185,1183.949,0.2720914,-3.051693E9,1705.855,2.474404E8,1705.855,1.000001,0.8836898,1.699101E-4,0.01469839,1.783529E-4,0.01268598,0.006058976,1.65772E-4,8.259551E-5,1.806863E-4,1.718603E-4,5.28984E-4,0.02260566,1.29589E-4,0.01723304,0.00259977,3.864458E-4,2.329409E-4,3.498399E-4,0.006551668,0.03000776,4.597904E-5,1.476186E-5,4.179609E-6,7.42809E-5,1.951757E-4,9.577986E-5,1.541965E-6,1.440564E-6,2.602976E-5,-4.568424E-23,10.23981,7.315297E-5,644340.1,644387.9
0.02475227,2.090593E-5,6.283185,3.141593,6.283185,1183.932,0.2720914,-3.093639E9,1705.746,2.474211E8,1705.746,1.000001,0.8836179,1.689746E-4,0.01472182,1.775586E-4,0.01271915,0.006082882,1.669367E-4,8.313271E-5,1.810788E-4,1.725034E-4,5.329969E-4,0.02267331,1.309614E-4,0.01721483,0.002590569,3.862983E-4,2.333931E-4,3.50089E-4,0.006568161,0.02993299,4.48696E-5,1.491362E-5,4.23258E-6,7.475078E-5,1.96309E-4,9.661024E-5,1.584921E-6,1.46294E-6,2.628205E-5,-7.904196E-23,10.2393,7.315402E-5,644312.1,644360.7
0.02478478,2.093339E-5,6.283185,3.141593,6.283185,1183.929,0.2720914,-3.016635E9,1705.725,2.474175E8,1705.725,1.000001,0.8836043,1.68769E-4,0.01472623,1.774161E-4,0.01272549,0.006087384,1.671568E-4,8.323445E-5,1.811522E-4,1.726246E-4,5.337545E-4,0.02268602,1.312209E-4,0.01721139,0.002588839,3.862694E-4,2.334778E-4,3.501354E-4,0.006571261,0.02991892,4.466442E-5,1.494232E-5,4.242617E-6,7.483934E-5,1.965229E-4,9.676717E-5,1.594069E-6,1.467175E-6,2.632975E-5,-8.527601E-23,10.2392,7.315422E-5,644307.2,644356.3
0.02488029,2.101406E-5,6.283185,3.141593,6.283185,1183.919,0.2720914,-2.932796E9,1705.665,2.474069E8,1705.665,1.000001,0.883565,1.684924E-4,0.01473917,1.76894E-4,0.01274348,0.00610059,1.678032E-4,8.353366E-5,1.813666E-4,1.729789E-4,5.359789E-4,0.02272326,1.319837E-4,0.01720128,0.002583794,3.861832E-4,2.337253E-4,3.502705E-4,0.006580349,0.02987766,4.406995E-5,1.502675E-5,4.272145E-6,7.509904E-5,1.971509E-4,9.722804E-5,1.61314E-6,1.479634E-6,2.646993E-5,-1.03554E-22,10.23893,7.315482E-5,644289.8,644338.7
0.02728594,2.30462E-5,6.283185,3.141593,6.283185,1183.673,0.2720914,-2.878614E9,1704.182,2.471459E8,1704.182,1.000001,0.8826078,1.627037E-4,0.01504919,1.666916E-4,0.01317755,0.006425256,1.839121E-4,9.107102E-5,1.863177E-4,1.814965E-4,5.913336E-4,0.02362581,1.513699E-4,0.01694505,0.002468458,3.830859E-4,2.395148E-4,3.527752E-4,0.006798648,0.02887525,3.240817E-5,1.717595E-5,5.035789E-6,8.15918E-5,2.128354E-4,1.08782E-4,2.060628E-6,1.815493E-6,3.001883E-5,-3.804018E-22,10.23215,7.317002E-5,643867.3,643913.7
0.02858646,2.414498E-5,6.283185,3.141593,6.283185,1183.536,0.2720914,-2.836578E9,1703.395,2.470075E8,1703.395,1.000001,0.8821165,1.601296E-4,0.01520656,1.624211E-4,0.0133988,0.006595039,1.92472E-4,9.508001E-5,1.886505E-4,1.858127E-4,6.206848E-4,0.02408893,1.619813E-4,0.01680633,0.002414081,3.807164E-4,2.423325E-4,3.535085E-4,0.006908738,0.02836074,2.812747E-5,1.835389E-5,5.46386E-6,8.507647E-5,2.212327E-4,1.149803E-4,2.336444E-6,2.013692E-6,3.194931E-5,-3.384983E-22,10.22861,7.317847E-5,643650.0,643696.7
0.02902017,2.451144E-5,6.283185,3.141593,6.283185,1183.489,0.2720914,-2.893599E9,1703.134,2.469615E8,1703.134,1.000001,0.8819562,1.592938E-4,0.01525778,1.613066E-4,0.01347072,0.006650858,1.95301E-4,9.640444E-5,1.893786E-4,1.872118E-4,6.303778E-4,0.02423994,1.655388E-4,0.01676013,0.002397015,3.798222E-4,2.432289E-4,3.536673E-4,0.006944337,0.028193,2.693133E-5,1.874904E-5,5.60885E-6,8.623585E-5,2.240222E-4,1.170392E-4,2.439788E-6,2.082316E-6,3.259459E-5,-4.286913E-22,10.22745,7.318138E-5,643579.8,643626.2
0.02909899,2.457805E-5,6.283185,3.141593,6.283185,1183.481,0.2720914,-2.826545E9,1703.086,2.469531E8,1703.086,1.000001,0.8819272,1.591244E-4,0.01526704,1.611468E-4,0.01348377,0.006660955,1.958139E-4,9.664448E-5,1.895081E-4,1.874642E-4,6.32134E-4,0.0242672,1.661863E-4,0.01675175,0.002393961,3.796542E-4,2.433896E-4,3.536923E-4,0.006950741,0.02816274,2.672496E-5,1.882096E-5,5.635321E-6,8.64464E-5,2.245287E-4,1.17413E-4,2.462145E-6,2.094882E-6,3.271192E-5,-4.465092E-22,10.22723,7.318192E-5,643567.1,643613.6
