Distance_PFRC2 (cm),Plug_flow_residence_time_PFRC2 (sec),Internal_surface_area_per_unit_distance_PFRC2 (cm),Cross-section_area_PFRC2 (cm2),External_surface_area_per_unit_distance_PFRC2 (cm),Velocity_PFRC2 (cm/sec),Exit_mass_flow_rate_PFRC2 (g/sec),Volumetric_heat_production_rate_PFRC2 (erg/cm3-sec),Surface_temperature_PFRC2 (K),Heat_loss_rate_PFRC2 (erg/cm-sec),Temperature_PFRC2 (K),Pressure_PFRC2 (atm),Mole_fraction_H2_PFRC2 (),Mole_fraction_H_PFRC2 (),Mole_fraction_H2O_PFRC2 (),Mole_fraction_CO_PFRC2 (),Mole_fraction_CH4_PFRC2 (),Mole_fraction_CH3_PFRC2 (),Mole_fraction_CH2O_PFRC2 (),Mole_fraction_C2H4_PFRC2 (),Mole_fraction_C2H2_PFRC2 (),Mole_fraction_C3H4-P_PFRC2 (),Mole_fraction_C4H4_PFRC2 (),Mole_fraction_C4H2_PFRC2 (),Mole_fraction_C6H6_PFRC2 (),Mole_fraction_C10H8_PFRC2 (),Mole_fraction_C7H8_PFRC2 (),Mole_fraction_C7H7_PFRC2 (),Mole_fraction_STILB_PFRC2 (),Mole_fraction_C7H6_PFRC2 (),Mole_fraction_C6H5C2H_PFRC2 (),Mole_fraction_C6H5C2H3_PFRC2 (),Mole_fraction_C6H5C2H5_PFRC2 (),Mole_fraction_INDENE_PFRC2 (),Mole_fraction_INDENYL_PFRC2 (),Mole_fraction_C12H8_PFRC2 (),Mole_fraction_BIPHENYL_PFRC2 (),Mole_fraction_C14H10_PFRC2 (),Mole_fraction_C16H10_PFRC2 (),Mole_fraction_C18H10_PFRC2 (),Mole_fraction_BIN1B_PFRC2 (),Mole_fraction_BIN1A_PFRC2 (),Molecular_weight_PFRC2 (g/mole),Mass_density_PFRC2 (g/cm3),Unburned_hydrocarbons_PFRC2 (ppm),Volatile_organic_compounds_PFRC2 (ppm)
0.1218652,2.821379E-5,3.141593,0.7853982,3.141593,4322.029,0.1974164,-4.206115E8,1620.036,1.161678E8,1620.036,1.000002,0.9247955,8.95925E-5,-1.95603E-7,-5.335144E-10,0.008163194,8.618948E-5,2.23139E-8,0.007071058,0.002422929,2.9569E-5,3.508538E-5,5.870304E-5,0.01135866,1.510841E-5,0.01456112,0.001641894,1.011381E-4,1.142346E-4,0.002959873,0.02560971,3.312376E-4,3.893838E-6,2.024943E-6,2.947973E-7,1.750772E-5,5.888595E-5,2.549648E-5,1.267613E-7,1.716765E-7,7.363846E-6,7.73121,5.815748E-5,446987.7,446987.8
0.1236054,2.861642E-5,3.141593,0.7853982,3.141593,4322.03,0.1974164,-4.245797E8,1619.974,1.161624E8,1619.974,1.000002,0.924709,8.884755E-5,-2.105207E-7,1.232309E-9,0.00819467,8.451745E-5,3.801508E-8,0.007113821,0.00244166,3.002764E-5,3.545481E-5,5.978291E-5,0.01143494,1.550426E-5,0.01456402,0.001627774,1.016747E-4,1.150208E-4,0.002978072,0.02552898,3.178871E-4,3.936624E-6,2.074809E-6,3.034509E-7,1.773742E-5,5.956132E-5,2.601316E-5,1.324213E-7,1.774788E-7,7.533487E-6,7.730915,5.815748E-5,446970.8,446971.0
0.1670299,3.866435E-5,3.141593,0.7853982,3.141593,4321.233,0.1974164,-5.181661E8,1618.286,1.160138E8,1618.286,1.000002,0.9228799,7.563708E-5,-1.39288E-7,3.60215E-8,0.008805231,5.83969E-5,3.671737E-8,0.008039896,0.002865425,4.147942E-5,4.364231E-5,8.792869E-5,0.01310966,2.624463E-5,0.01450603,0.001357029,1.124731E-4,1.298925E-4,0.003370014,0.02374164,1.18753E-4,4.900286E-6,3.377245E-6,5.460282E-7,2.324183E-5,7.562613E-5,3.888907E-5,3.245743E-7,3.556045E-7,1.194548E-5,7.72428,5.81682E-5,446587.1,446587.4
0.2,4.629519E-5,3.141593,0.7853982,3.141593,4319.974,0.1974164,-5.456653E8,1616.885,1.158906E8,1616.885,1.000002,0.9217638,7.027827E-5,-1.336444E-7,5.153599E-8,0.009136398,4.958835E-5,3.305143E-8,0.008619117,0.00314843,5.016795E-5,4.887922E-5,1.10201E-4,0.01417967,3.530355E-5,0.01435926,0.001231572,1.184556E-4,1.368085E-4,0.003611656,0.02259084,6.060099E-5,5.57131E-6,4.412637E-6,7.603468E-7,2.72503E-5,8.718311E-5,4.852892E-5,5.413308E-7,5.342747E-7,1.544986E-5,7.719843,5.818515E-5,446330.6,446330.8
0.225796,5.226731E-5,3.141593,0.7853982,3.141593,4318.802,0.1974164,-5.711864E8,1615.768,1.157922E8,1615.768,1.000003,0.9209857,6.751814E-5,-1.953666E-7,6.081851E-8,0.009356319,4.5705E-5,2.319644E-8,0.009024576,0.003354976,5.691489E-5,5.258655E-5,1.277809E-4,0.01494001,4.283838E-5,0.01421517,0.001163862,1.223193E-4,1.405506E-4,0.003778584,0.02177255,3.823088E-5,6.098085E-6,5.239804E-6,9.441691E-7,3.035032E-5,9.604426E-5,5.596194E-5,7.566341E-7,7.008784E-7,1.825238E-5,7.716598,5.820094E-5,446143.3,446143.5
0.2258423,5.227803E-5,3.141593,0.7853982,3.141593,4318.8,0.1974164,-5.709356E8,1615.766,1.15792E8,1615.766,1.000003,0.9209843,6.751065E-5,-2.03945E-7,6.081899E-8,0.009356693,4.570591E-5,3.145971E-8,0.009025293,0.003355337,5.692693E-5,5.259296E-5,1.278125E-4,0.01494133,4.285223E-5,0.0142149,0.001163758,1.223257E-4,1.405563E-4,0.003778869,0.02177113,3.820164E-5,6.099042E-6,5.241301E-6,9.445113E-7,3.035587E-5,9.606008E-5,5.59752E-5,7.571239E-7,7.011989E-7,1.825746E-5,7.716592,5.820097E-5,446143.1,446143.3
0.2259317,5.229874E-5,3.141593,0.7853982,3.141593,4318.796,0.1974164,-5.578932E8,1615.762,1.157917E8,1615.762,1.000003,0.9209817,6.749635E-5,-2.198023E-7,6.082602E-8,0.009357415,4.570222E-5,3.741637E-8,0.009026656,0.003356034,5.695019E-5,5.260535E-5,1.278734E-4,0.01494387,4.287898E-5,0.01421437,0.001163557,1.223381E-4,1.405673E-4,0.003779419,0.0217684,3.814529E-5,6.100891E-6,5.24419E-6,9.451721E-7,3.03666E-5,9.609064E-5,5.600079E-5,7.580643E-7,7.018178E-7,1.826725E-5,7.716581,5.820103E-5,446142.5,446142.7
0.225947,5.230228E-5,3.141593,0.7853982,3.141593,4318.795,0.1974164,-5.519508E8,1615.761,1.157916E8,1615.761,1.000003,0.9209812,6.749382E-5,-2.225145E-7,6.082819E-8,0.009357538,4.570103E-5,3.884171E-8,0.009026889,0.003356153,5.695417E-5,5.260746E-5,1.278838E-4,0.0149443,4.288356E-5,0.01421428,0.001163523,1.223402E-4,1.405692E-4,0.003779514,0.02176793,3.813566E-5,6.101208E-6,5.244684E-6,9.452851E-7,3.036843E-5,9.609586E-5,5.600517E-5,7.582252E-7,7.019237E-7,1.826892E-5,7.716579,5.820104E-5,446142.4,446142.6
0.2265979,5.245299E-5,3.141593,0.7853982,3.141593,4318.764,0.1974164,-5.522351E8,1615.733,1.157891E8,1615.733,1.000003,0.9209624,6.742723E-5,-2.772776E-7,6.111662E-8,0.009362788,4.563108E-5,4.584905E-8,0.009036703,0.003361225,5.712346E-5,5.269747E-5,1.283272E-4,0.01496277,4.307843E-5,0.01421045,0.001162068,1.224303E-4,1.40649E-4,0.003783514,0.02174807,3.772909E-5,6.114669E-6,5.265726E-6,9.501005E-7,3.044649E-5,9.631824E-5,5.619147E-5,7.646077E-7,7.064362E-7,1.834021E-5,7.716499,5.820146E-5,446138.0,446138.2
0.2271376,5.257797E-5,3.141593,0.7853982,3.141593,4318.738,0.1974164,-5.505195E8,1615.709,1.15787E8,1615.709,1.000003,0.9209468,6.737111E-5,-3.316168E-7,6.146174E-8,0.009367134,4.55802E-5,5.801111E-8,0.009044842,0.003365426,5.726383E-5,5.2772E-5,1.286949E-4,0.01497806,4.32402E-5,0.01420726,0.001160868,1.225047E-4,1.407147E-4,0.003786824,0.02173163,3.739666E-5,6.125841E-6,5.283181E-6,9.541004E-7,3.05112E-5,9.650262E-5,5.634593E-5,7.699917E-7,7.101879E-7,1.839936E-5,7.716432,5.820181E-5,446134.4,446134.7
