Distance_PFRC2 (cm),Plug_flow_residence_time_PFRC2 (sec),Internal_surface_area_per_unit_distance_PFRC2 (cm),Cross-section_area_PFRC2 (cm2),External_surface_area_per_unit_distance_PFRC2 (cm),Velocity_PFRC2 (cm/sec),Exit_mass_flow_rate_PFRC2 (g/sec),Volumetric_heat_production_rate_PFRC2 (erg/cm3-sec),Surface_temperature_PFRC2 (K),Heat_loss_rate_PFRC2 (erg/cm-sec),Temperature_PFRC2 (K),Pressure_PFRC2 (atm),Mass_fraction_H2_PFRC2 (),Mass_fraction_CH4_PFRC2 (),Mass_fraction_CH3_PFRC2 (),Mass_fraction_C2H6_PFRC2 (),Mass_fraction_C2H4_PFRC2 (),Mass_fraction_C2H2_PFRC2 (),Mass_fraction_C3H8_PFRC2 (),Mass_fraction_C3H6_PFRC2 (),Mass_fraction_C4H8-2_PFRC2 (),Mass_fraction_C4H6_PFRC2 (),Mass_fraction_C4H4_PFRC2 (),Mass_fraction_C6H6_PFRC2 (),Mass_fraction_C5H6_PFRC2 (),Mass_fraction_C10H8_PFRC2 (),Mass_fraction_C7H8_PFRC2 (),Mass_fraction_C7H7_PFRC2 (),Mass_fraction_STILB_PFRC2 (),Mass_fraction_C6H5C2H_PFRC2 (),Mass_fraction_C6H5C2H3_PFRC2 (),Mass_fraction_C6H5C2H5_PFRC2 (),Mass_fraction_C6H5CHCH3_PFRC2 (),Mass_fraction_INDENE_PFRC2 (),Mass_fraction_BIPHENYL_PFRC2 (),Mass_fraction_FLUORENE_PFRC2 (),Mass_fraction_C14H10_PFRC2 (),Mass_fraction_C16H10_PFRC2 (),Mass_fraction_C6H5C2H4C6H5_PFRC2 (),Mass_fraction_BIN1A_PFRC2 (),Mass_fraction_NPBENZ_PFRC2 (),Mass_fraction_C10H10_PFRC2 (),Molecular_weight_PFRC2 (g/mole),Mass_density_PFRC2 (g/cm3),Unburned_hydrocarbons_PFRC2 (ppm),Volatile_organic_compounds_PFRC2 (ppm)
17.2,0.02314147,6.283185,3.141593,6.283185,687.9217,0.2720914,312132.3,1006.686,1.24E+08,1006.686,1.00001,0.1738993,0.007332392,1.68E-07,0.001868885,0.03488349,0.002309923,1.15E-05,4.71E-05,2.75E-05,0.001346758,4.56E-05,0.1262428,2.64E-05,2.24E-04,0.162606,1.17E-04,0.008820051,0.01626111,0.3828659,0.07517555,5.50E-04,8.09E-05,6.10E-04,2.14E-04,0.002216607,6.95E-04,8.38E-04,3.07E-04,2.57E-04,2.66E-05,10.40001,1.26E-04,654396.1,654396.1
17.4,0.02343247,6.283185,3.141593,6.283185,686.6642,0.2720914,304875.4,1004.848,1.24E+08,1004.848,1.00001,0.1738962,0.007337508,1.61E-07,0.001876447,0.03490639,0.002310265,1.16E-05,4.72E-05,2.78E-05,0.001348803,4.57E-05,0.1263513,2.65E-05,2.25E-04,0.1625927,1.13E-04,0.008826738,0.0162691,0.3827286,0.07516803,5.49E-04,8.11E-05,6.11E-04,2.15E-04,0.002218821,6.96E-04,8.35E-04,3.08E-04,2.58E-04,2.66E-05,10.40003,1.26E-04,654397,654397
17.6,0.023724,6.283185,3.141593,6.283185,685.4092,0.2720914,297764.5,1003.013,1.24E+08,1003.013,1.00001,0.1738932,0.007342388,1.55E-07,0.001883804,0.03492816,0.002310569,1.16E-05,4.73E-05,2.81E-05,0.001350754,4.57E-05,0.1264549,2.66E-05,2.25E-04,0.1625799,1.10E-04,0.008833142,0.01627667,0.3825971,0.07516142,5.48E-04,8.12E-05,6.12E-04,2.15E-04,0.002220944,6.97E-04,8.33E-04,3.08E-04,2.58E-04,2.67E-05,10.40004,1.26E-04,654397.9,654397.9
17.8,0.02401606,6.283185,3.141593,6.283185,684.1566,0.2720914,290834.3,1001.181,1.23E+08,1001.181,1.00001,0.1738904,0.007347046,1.49E-07,0.00189096,0.03494885,0.002310837,1.16E-05,4.74E-05,2.83E-05,0.001352616,4.58E-05,0.126554,2.67E-05,2.26E-04,0.1625676,1.07E-04,0.008839275,0.01628384,0.382471,0.07515566,5.47E-04,8.14E-05,6.13E-04,2.15E-04,0.002222982,6.98E-04,8.30E-04,3.09E-04,2.58E-04,2.67E-05,10.40006,1.27E-04,654398.9,654398.9
18,0.02430866,6.283185,3.141593,6.283185,682.9066,0.2720914,284031.4,999.3535,1.23E+08,999.3535,1.00001,0.1738876,0.007351489,1.44E-07,0.00189792,0.0349685,0.002311071,1.16E-05,4.75E-05,2.86E-05,0.001354392,4.59E-05,0.1266486,2.68E-05,2.27E-04,0.1625559,1.04E-04,0.008845148,0.01629063,0.3823502,0.07515069,5.46E-04,8.15E-05,6.14E-04,2.15E-04,0.002224937,7.00E-04,8.28E-04,3.09E-04,2.59E-04,2.68E-05,10.40007,1.27E-04,654399.9,654399.9
18.2,0.02460179,6.283185,3.141593,6.283185,681.6589,0.2720914,277388,997.5294,1.23E+08,997.5294,1.00001,0.173885,0.007355729,1.38E-07,0.001904689,0.03498718,0.002311275,1.16E-05,4.76E-05,2.88E-05,0.001356085,4.59E-05,0.1267391,2.70E-05,2.27E-04,0.1625446,1.01E-04,0.008850774,0.01629706,0.3822343,0.07514646,5.45E-04,8.17E-05,6.14E-04,2.15E-04,0.002226814,7.01E-04,8.25E-04,3.10E-04,2.59E-04,2.68E-05,10.40009,1.27E-04,654400.9,654400.9
18.4,0.02489546,6.283185,3.141593,6.283185,680.4138,0.2720914,270905.1,995.709,1.22E+08,995.709,1.000011,0.1738824,0.007359776,1.33E-07,0.001911271,0.03500492,0.002311449,1.16E-05,4.77E-05,2.91E-05,0.0013577,4.60E-05,0.1268256,2.71E-05,2.28E-04,0.1625338,9.83E-05,0.008856163,0.01630315,0.3821233,0.07514293,5.44E-04,8.18E-05,6.15E-04,2.15E-04,0.002228615,7.02E-04,8.23E-04,3.11E-04,2.60E-04,2.69E-05,10.4001,1.27E-04,654401.9,654401.9
18.6,0.02518967,6.283185,3.141593,6.283185,679.1711,0.2720914,264533.7,993.8921,1.22E+08,993.8921,1.000011,0.17388,0.007363637,1.28E-07,0.00191767,0.03502178,0.002311596,1.16E-05,4.77E-05,2.93E-05,0.00135924,4.60E-05,0.1269083,2.72E-05,2.28E-04,0.1625234,9.56E-05,0.008861324,0.01630891,0.3820169,0.07514004,5.43E-04,8.20E-05,6.16E-04,2.16E-04,0.002230343,7.03E-04,8.21E-04,3.11E-04,2.60E-04,2.69E-05,10.40012,1.28E-04,654402.9,654402.9
18.8,0.02548442,6.283185,3.141593,6.283185,677.931,0.2720914,258241.4,992.079,1.22E+08,992.079,1.000011,0.1738777,0.007367322,1.23E-07,0.001923892,0.03503779,0.002311718,1.16E-05,4.78E-05,2.96E-05,0.001360707,4.61E-05,0.1269873,2.73E-05,2.29E-04,0.1625134,9.29E-05,0.008866266,0.01631437,0.3819149,0.07513775,5.42E-04,8.21E-05,6.17E-04,2.16E-04,0.002232003,7.04E-04,8.18E-04,3.12E-04,2.60E-04,2.69E-05,10.40014,1.28E-04,654404,654404
19,0.0257797,6.283185,3.141593,6.283185,676.6933,0.2720914,251990,990.2694,1.21E+08,990.2694,1.000011,0.1738754,0.00737084,1.19E-07,0.001929941,0.035053,0.002311816,1.17E-05,4.79E-05,2.98E-05,0.001362106,4.61E-05,0.1270628,2.74E-05,2.30E-04,0.1625039,9.04E-05,0.008870999,0.01631953,0.3818171,0.07513603,5.41E-04,8.22E-05,6.17E-04,2.16E-04,0.002233596,7.05E-04,8.16E-04,3.12E-04,2.61E-04,2.70E-05,10.40015,1.28E-04,654405,654405
19.2,0.02607553,6.283185,3.141593,6.283185,675.458,0.2720914,245818.1,988.4635,1.21E+08,988.4635,1.000011,0.1738732,0.007374197,1.14E-07,0.001935821,0.03506744,0.002311893,1.17E-05,4.80E-05,3.00E-05,0.001363438,4.62E-05,0.1271349,2.75E-05,2.30E-04,0.1624947,8.79E-05,0.008875532,0.01632442,0.3817234,0.07513483,5.40E-04,8.23E-05,6.18E-04,2.16E-04,0.002235126,7.06E-04,8.14E-04,3.13E-04,2.61E-04,2.70E-05,10.40017,1.28E-04,654406.1,654406.1
19.4,0.02637189,6.283185,3.141593,6.283185,674.2253,0.2720914,239770.8,986.6613,1.21E+08,986.6613,1.000011,0.1738711,0.007377401,1.10E-07,0.001941536,0.03508115,0.00231195,1.17E-05,4.81E-05,3.03E-05,0.001364707,4.62E-05,0.1272039,2.76E-05,2.31E-04,0.162486,8.55E-05,0.008879873,0.01632904,0.3816335,0.07513411,5.39E-04,8.24E-05,6.18E-04,2.16E-04,0.002236595,7.07E-04,8.12E-04,3.13E-04,2.61E-04,2.70E-05,10.40019,1.28E-04,654407.2,654407.2
19.6,0.0266688,6.283185,3.141593,6.283185,672.995,0.2720914,233840.5,984.8626,1.21E+08,984.8626,1.000011,0.1738691,0.00738046,1.06E-07,0.00194709,0.03509417,0.002311988,1.17E-05,4.81E-05,3.05E-05,0.001365915,4.63E-05,0.1272698,2.77E-05,2.31E-04,0.1624776,8.31E-05,0.00888403,0.01633342,0.3815473,0.07513385,5.38E-04,8.25E-05,6.19E-04,2.16E-04,0.002238006,7.08E-04,8.10E-04,3.13E-04,2.61E-04,2.71E-05,10.40021,1.29E-04,654408.2,654408.2
19.8,0.02696625,6.283185,3.141593,6.283185,671.7673,0.2720914,228099.4,983.0676,1.20E+08,983.0676,1.000011,0.1738672,0.00738338,1.02E-07,0.001952488,0.03510653,0.002312009,1.17E-05,4.82E-05,3.07E-05,0.001367066,4.63E-05,0.1273328,2.77E-05,2.31E-04,0.1624695,8.08E-05,0.008888014,0.01633756,0.3814646,0.07513402,5.37E-04,8.26E-05,6.20E-04,2.16E-04,0.002239361,7.09E-04,8.08E-04,3.14E-04,2.62E-04,2.71E-05,10.40022,1.29E-04,654409.3,654409.3
20,0.02726425,6.283185,3.141593,6.283185,670.542,0.2720914,222656,981.2763,1.20E+08,981.2763,1.000011,0.1738653,0.007386168,9.82E-08,0.001957733,0.03511826,0.002312013,1.17E-05,4.83E-05,3.10E-05,0.001368162,4.63E-05,0.127393,2.78E-05,2.32E-04,0.1624618,7.86E-05,0.008891834,0.01634147,0.3813853,0.07513457,5.36E-04,8.27E-05,6.20E-04,2.16E-04,0.002240663,7.10E-04,8.06E-04,3.14E-04,2.62E-04,2.71E-05,10.40024,1.29E-04,654410.4,654410.4
