Time_Soln#1 (sec),Volume_Soln#1 (cm3),Volumetric_heat_production_rate_Soln#1 (erg/cm3-sec),Surface_temperature_Soln#1 (K),Temperature_Soln#1 (K),Mass_Soln#1 (g),Pressure_Soln#1 (atm),Mole_fraction_H2_Soln#1 (),Mole_fraction_CH4_Soln#1 (),Mole_fraction_C2H6_Soln#1 (),Mole_fraction_C2H4_Soln#1 (),Mole_fraction_C2H2_Soln#1 (),Mole_fraction_C6H6_Soln#1 (),Mole_fraction_C7H8_Soln#1 (),Mole_fraction_C7H7_Soln#1 (),Mole_fraction_STILB_Soln#1 (),Mole_fraction_C6H5C2H_Soln#1 (),Mole_fraction_C6H5C2H3_Soln#1 (),Mole_fraction_C6H5C2H5_Soln#1 (),Mole_fraction_C6H5CHCH3_Soln#1 (),Mole_fraction_FLUORENE_Soln#1 (),Mole_fraction_C6H5CH2C6H5_Soln#1 (),Mole_fraction_C14H10_Soln#1 (),Mole_fraction_C16H10_Soln#1 (),Mole_fraction_C6H5C2H4C6H5_Soln#1 (),Mole_fraction_BIN1A_Soln#1 (),Mole_fraction_NPBENZ_Soln#1 (),Molecular_weight_Soln#1 (g/mole),Mass_density_Soln#1 (g/cm3),Unburned_hydrocarbons_Soln#1 (ppm),Volatile_organic_compounds_Soln#1 (ppm)
0.0068,15.70002,21818.7,999.9931,999.9931,0.002029562,1.0,0.9127053,5.575649E-5,5.116211E-6,9.33281E-5,2.826161E-6,1.238058E-4,0.02850016,1.076208E-5,3.432197E-6,7.098847E-6,0.04197146,0.01648076,3.437178E-5,1.395448E-7,2.024624E-7,1.104831E-6,3.427726E-7,3.518306E-6,1.448564E-7,8.489528E-8,10.60759,1.292712E-4,668654.8,668654.8
0.0069,15.70004,22407.03,999.9935,999.9935,0.002029562,1.0,0.9127018,5.68874E-5,5.249971E-6,9.575907E-5,2.898821E-6,1.270347E-4,0.02849956,1.08389E-5,3.522216E-6,7.282719E-6,0.04196848,0.01647994,3.4756E-5,1.432527E-7,2.070577E-7,1.131601E-6,3.516847E-7,3.621212E-6,1.486188E-7,8.77966E-8,10.60759,1.292711E-4,668654.5,668654.5
0.007,15.70005,22990.65,999.9938,999.9938,0.002029562,1.0,0.9126982,5.802519E-5,5.385089E-6,9.821348E-5,2.972171E-6,1.30295E-4,0.02849895,1.091466E-5,3.613138E-6,7.468355E-6,0.04196548,0.01647912,3.513556E-5,1.469992E-7,2.11666E-7,1.158589E-6,3.606834E-7,3.725326E-6,1.524178E-7,9.07476E-8,10.60758,1.29271E-4,668654.2,668654.2
0.0071,15.70006,23569.52,999.9942,999.9942,0.002029562,1.0,0.9126947,5.916979E-5,5.521554E-6,1.00691E-4,3.046202E-6,1.335863E-4,0.02849833,1.098936E-5,3.704951E-6,7.655733E-6,0.04196246,0.01647829,3.551049E-5,1.507839E-7,2.162861E-7,1.185793E-6,3.697678E-7,3.83063E-6,1.56253E-7,9.374808E-8,10.60758,1.292709E-4,668653.9,668653.9
0.0072,15.70007,24143.58,999.9946,999.9946,0.002029562,1.0,0.9126911,6.03211E-5,5.65935E-6,1.031914E-4,3.120905E-6,1.369082E-4,0.0284977,1.106303E-5,3.797646E-6,7.84483E-6,0.04195942,0.01647746,3.588081E-5,1.546063E-7,2.209168E-7,1.21321E-6,3.789367E-7,3.937107E-6,1.601239E-7,9.679783E-8,10.60757,1.292708E-4,668653.7,668653.7
0.0073,15.70009,24712.86,999.9949,999.9949,0.002029562,1.0,0.9126875,6.147905E-5,5.798465E-6,1.057144E-4,3.196271E-6,1.402602E-4,0.02849707,1.113566E-5,3.891214E-6,8.035625E-6,0.04195637,0.01647663,3.624656E-5,1.584661E-7,2.25557E-7,1.240837E-6,3.88189E-7,4.04474E-6,1.640301E-7,9.989663E-8,10.60757,1.292707E-4,668653.4,668653.4
0.0074,15.7001,25277.35,999.9953,999.9953,0.002029562,1.0,0.9126839,6.264354E-5,5.938884E-6,1.082595E-4,3.272292E-6,1.436421E-4,0.02849642,1.120729E-5,3.985644E-6,8.228095E-6,0.04195329,0.01647579,3.660774E-5,1.623628E-7,2.302055E-7,1.268671E-6,3.975239E-7,4.153512E-6,1.679712E-7,1.030443E-7,10.60756,1.292706E-4,668653.1,668653.1
0.0075,15.70011,25837.06,999.9957,999.9957,0.002029562,1.0,0.9126802,6.381449E-5,6.080595E-6,1.108267E-4,3.348959E-6,1.470534E-4,0.02849577,1.127791E-5,4.080926E-6,8.422219E-6,0.04195019,0.01647495,3.69644E-5,1.662961E-7,2.348612E-7,1.296709E-6,4.069401E-7,4.263404E-6,1.719467E-7,1.062405E-7,10.60756,1.292704E-4,668652.8,668652.8
0.0076,15.70013,26391.98,999.9961,999.9961,0.002029562,1.0,0.9126765,6.499182E-5,6.223583E-6,1.134155E-4,3.426264E-6,1.504938E-4,0.02849511,1.134755E-5,4.177051E-6,8.617975E-6,0.04194708,0.01647411,3.731655E-5,1.702654E-7,2.395229E-7,1.32495E-6,4.164367E-7,4.374399E-6,1.759562E-7,1.094851E-7,10.60755,1.292703E-4,668652.5,668652.5
0.0077,15.70014,26942.13,999.9966,999.9966,0.002029562,1.0,0.9126728,6.617545E-5,6.367836E-6,1.160257E-4,3.504197E-6,1.539628E-4,0.02849444,1.141622E-5,4.27401E-6,8.815342E-6,0.04194394,0.01647326,3.766423E-5,1.742704E-7,2.441896E-7,1.353389E-6,4.260126E-7,4.48648E-6,1.799993E-7,1.127778E-7,10.60755,1.292702E-4,668652.2,668652.2
0.0078,15.70015,27487.44,999.997,999.997,0.002029562,1.0,0.9126691,6.736529E-5,6.513341E-6,1.18657E-4,3.582752E-6,1.574602E-4,0.02849377,1.148392E-5,4.371792E-6,9.014298E-6,0.04194079,0.0164724,3.800746E-5,1.783108E-7,2.488602E-7,1.382025E-6,4.356668E-7,4.599629E-6,1.840755E-7,1.161183E-7,10.60754,1.292701E-4,668651.8,668651.8
0.0079,15.70017,28027.86,999.9974,999.9974,0.002029562,1.0,0.9126653,6.856126E-5,6.660085E-6,1.213091E-4,3.661919E-6,1.609854E-4,0.02849309,1.155067E-5,4.470388E-6,9.214822E-6,0.04193762,0.01647155,3.834629E-5,1.82386E-7,2.535336E-7,1.410854E-6,4.453982E-7,4.713827E-6,1.881844E-7,1.195064E-7,10.60754,1.2927E-4,668651.5,668651.5
0.008,15.70018,28563.45,999.9979,999.9979,0.002029562,1.0,0.9126615,6.976328E-5,6.808054E-6,1.239817E-4,3.741689E-6,1.645383E-4,0.02849239,1.161648E-5,4.569788E-6,9.416893E-6,0.04193443,0.01647069,3.868073E-5,1.864958E-7,2.582089E-7,1.439874E-6,4.55206E-7,4.829057E-6,1.923257E-7,1.229419E-7,10.60753,1.292699E-4,668651.2,668651.2
0.0081,15.7002,29094.22,999.9983,999.9983,0.002029562,1.0,0.9126577,7.097128E-5,6.957236E-6,1.266745E-4,3.822056E-6,1.681183E-4,0.0284917,1.168136E-5,4.669984E-6,9.62049E-6,0.04193123,0.01646982,3.901081E-5,1.906396E-7,2.62885E-7,1.469083E-6,4.65089E-7,4.945301E-6,1.964988E-7,1.264243E-7,10.60753,1.292697E-4,668650.9,668650.9
0.0082,15.70021,29620.17,999.9988,999.9988,0.002029562,1.0,0.9126538,7.218516E-5,7.107618E-6,1.293873E-4,3.903011E-6,1.717252E-4,0.02849099,1.174533E-5,4.770966E-6,9.825593E-6,0.04192801,0.01646896,3.933658E-5,1.948172E-7,2.67561E-7,1.498477E-6,4.750462E-7,5.062542E-6,2.007034E-7,1.299536E-7,10.60752,1.292696E-4,668650.5,668650.5
0.0083,15.70023,30141.32,999.9993,999.9993,0.002029562,1.0,0.91265,7.340486E-5,7.259187E-6,1.321199E-4,3.984545E-6,1.753585E-4,0.02849028,1.18084E-5,4.872725E-6,1.003218E-5,0.04192477,0.01646809,3.965806E-5,1.99028E-7,2.722358E-7,1.528055E-6,4.850768E-7,5.180762E-6,2.049391E-7,1.335293E-7,10.60752,1.292695E-4,668650.2,668650.2
0.0084,15.70024,30657.67,999.9997,999.9997,0.002029562,1.0,0.9126461,7.463029E-5,7.411932E-6,1.348718E-4,4.066651E-6,1.790179E-4,0.02848956,1.187058E-5,4.975252E-6,1.024023E-5,0.04192151,0.01646721,3.997528E-5,2.032718E-7,2.769087E-7,1.557813E-6,4.951797E-7,5.299942E-6,2.092055E-7,1.371512E-7,10.60751,1.292694E-4,668649.9,668649.9
0.0085,15.70026,31169.19,1000.0,1000.0,0.002029562,1.0,0.9126422,7.586138E-5,7.565839E-6,1.376429E-4,4.149321E-6,1.827032E-4,0.02848883,1.193188E-5,5.078537E-6,1.044973E-5,0.04191824,0.01646634,4.028828E-5,2.075481E-7,2.815786E-7,1.587749E-6,5.053539E-7,5.420065E-6,2.135022E-7,1.40819E-7,10.60751,1.292692E-4,668649.5,668649.5
0.0086,15.70028,31675.87,1000.001,1000.001,0.002029562,1.0,0.9126382,7.709805E-5,7.720896E-6,1.404328E-4,4.232547E-6,1.864138E-4,0.02848809,1.199231E-5,5.182573E-6,1.066065E-5,0.04191495,0.01646546,4.059709E-5,2.118566E-7,2.862447E-7,1.617861E-6,5.155985E-7,5.541113E-6,2.178288E-7,1.445324E-7,10.6075,1.292691E-4,668649.2,668649.2
0.0087,15.70029,32177.74,1000.001,1000.001,0.002029562,1.0,0.9126342,7.834023E-5,7.877092E-6,1.432414E-4,4.316321E-6,1.901495E-4,0.02848735,1.205188E-5,5.287349E-6,1.087298E-5,0.04191165,0.01646458,4.090176E-5,2.161969E-7,2.909061E-7,1.648146E-6,5.259125E-7,5.663068E-6,2.221848E-7,1.482911E-7,10.6075,1.29269E-4,668648.8,668648.8
0.0088,15.70031,32674.82,1000.002,1000.002,0.002029562,1.0,0.9126303,7.958783E-5,8.034414E-6,1.460683E-4,4.400635E-6,1.939099E-4,0.02848661,1.211061E-5,5.392857E-6,1.10867E-5,0.04190833,0.01646369,4.12023E-5,2.205685E-7,2.95562E-7,1.678602E-6,5.36295E-7,5.785912E-6,2.2657E-7,1.520947E-7,10.60749,1.292688E-4,668648.5,668648.5
0.0089,15.70033,33167.11,1000.002,1000.002,0.002029562,1.0,0.9126263,8.084079E-5,8.19285E-6,1.489134E-4,4.485482E-6,1.976947E-4,0.02848585,1.216851E-5,5.499088E-6,1.130177E-5,0.04190499,0.0164628,4.149876E-5,2.249711E-7,3.002115E-7,1.709227E-6,5.46745E-7,5.909629E-6,2.309838E-7,1.55943E-7,10.60749,1.292687E-4,668648.1,668648.1
0.009,15.70034,33654.62,1000.003,1000.003,0.002029562,1.0,0.9126222,8.209903E-5,8.352389E-6,1.517762E-4,4.570855E-6,2.015035E-4,0.02848509,1.222558E-5,5.606034E-6,1.15182E-5,0.04190164,0.01646191,4.179118E-5,2.294044E-7,3.048539E-7,1.740017E-6,5.572617E-7,6.0342E-6,2.35426E-7,1.598357E-7,10.60748,1.292686E-4,668647.7,668647.7
0.0091,15.70036,34137.36,1000.003,1000.003,0.002029562,1.0,0.9126182,8.336248E-5,8.513018E-6,1.546567E-4,4.656746E-6,2.053361E-4,0.02848432,1.228184E-5,5.713687E-6,1.173596E-5,0.04189828,0.01646101,4.207958E-5,2.33868E-7,3.094884E-7,1.770972E-6,5.678441E-7,6.159609E-6,2.398962E-7,1.637724E-7,10.60747,1.292684E-4,668647.4,668647.4
0.0092,15.70038,34615.35,1000.004,1000.004,0.002029562,1.0,0.9126141,8.463106E-5,8.674726E-6,1.575544E-4,4.743146E-6,2.09192E-4,0.02848355,1.23373E-5,5.822037E-6,1.195502E-5,0.0418949,0.01646011,4.236401E-5,2.383614E-7,3.141142E-7,1.802087E-6,5.784912E-7,6.285836E-6,2.44394E-7,1.677528E-7,10.60747,1.292683E-4,668647.0,668647.0
0.0093,15.70039,35088.6,1000.004,1000.004,0.002029562,1.0,0.91261,8.59047E-5,8.837502E-6,1.604693E-4,4.83005E-6,2.13071E-4,0.02848277,1.239197E-5,5.931076E-6,1.217537E-5,0.04189151,0.01645921,4.26445E-5,2.428844E-7,3.187305E-7,1.833362E-6,5.892023E-7,6.412865E-6,2.489189E-7,1.717765E-7,10.60746,1.292681E-4,668646.6,668646.6
0.0094,15.70041,35557.11,1000.005,1000.005,0.002029562,1.0,0.9126059,8.718334E-5,9.001334E-6,1.634009E-4,4.91745E-6,2.169727E-4,0.02848198,1.244586E-5,6.040796E-6,1.2397E-5,0.0418881,0.01645831,4.292109E-5,2.474365E-7,3.233367E-7,1.864793E-6,5.999763E-7,6.540679E-6,2.534707E-7,1.758434E-7,10.60746,1.29268E-4,668646.2,668646.2
0.0095,15.70043,36020.91,1000.006,1000.006,0.002029562,1.0,0.9126017,8.84669E-5,9.166211E-6,1.663492E-4,5.005338E-6,2.208968E-4,0.02848119,1.249898E-5,6.151189E-6,1.261988E-5,0.04188468,0.0164574,4.319381E-5,2.520174E-7,3.27932E-7,1.896379E-6,6.108125E-7,6.66926E-6,2.58049E-7,1.799529E-7,10.60745,1.292678E-4,668645.9,668645.9
0.0096,15.70045,36480.0,1000.006,1000.006,0.002029562,1.0,0.9125976,8.975532E-5,9.332122E-6,1.693138E-4,5.093707E-6,2.24843E-4,0.02848039,1.255134E-5,6.262247E-6,1.2844E-5,0.04188124,0.01645649,4.346271E-5,2.566268E-7,3.325158E-7,1.928118E-6,6.217099E-7,6.798592E-6,2.626535E-7,1.841048E-7,10.60744,1.292677E-4,668645.5,668645.5
0.0097,15.70047,36934.4,1000.007,1000.007,0.002029562,1.0,0.9125934,9.104852E-5,9.499055E-6,1.722945E-4,5.182551E-6,2.28811E-4,0.02847958,1.260295E-5,6.373961E-6,1.306933E-5,0.04187779,0.01645558,4.372781E-5,2.612643E-7,3.370875E-7,1.960007E-6,6.326677E-7,6.928657E-6,2.672837E-7,1.882988E-7,10.60744,1.292675E-4,668645.1,668645.1
0.0098,15.70048,37384.13,1000.007,1000.007,0.002029562,1.0,0.9125892,9.234643E-5,9.667001E-6,1.75291E-4,5.271863E-6,2.328005E-4,0.02847877,1.265382E-5,6.486324E-6,1.329587E-5,0.04187433,0.01645466,4.398917E-5,2.659295E-7,3.416463E-7,1.992043E-6,6.43685E-7,7.059439E-6,2.719393E-7,1.925346E-7,10.60743,1.292674E-4,668644.7,668644.7
0.0099,15.7005,37829.21,1000.008,1000.008,0.002029562,1.0,0.912585,9.3649E-5,9.835947E-6,1.783032E-4,5.361634E-6,2.368111E-4,0.02847796,1.270396E-5,6.599327E-6,1.352359E-5,0.04187085,0.01645375,4.424681E-5,2.706221E-7,3.461917E-7,2.024226E-6,6.54761E-7,7.190921E-6,2.7662E-7,1.968117E-7,10.60742,1.292672E-4,668644.3,668644.3
0.01,15.70052,38269.67,1000.008,1000.008,0.002029562,1.0,0.9125807,9.495615E-5,1.000588E-5,1.813308E-4,5.45186E-6,2.408425E-4,0.02847713,1.275338E-5,6.712963E-6,1.375247E-5,0.04186736,0.01645283,4.450077E-5,2.753417E-7,3.507232E-7,2.056552E-6,6.658948E-7,7.323086E-6,2.813255E-7,2.011298E-7,10.60742,1.292671E-4,668643.9,668643.9
