Time_Soln#3 (sec),Volume_Soln#3 (cm3),Volumetric_heat_production_rate_Soln#3 (erg/cm3-sec),Surface_temperature_Soln#3 (K),Temperature_Soln#3 (K),Mass_Soln#3 (g),Pressure_Soln#3 (atm),Mole_fraction_H2_Soln#3 (),Mole_fraction_CH4_Soln#3 (),Mole_fraction_C2H6_Soln#3 (),Mole_fraction_C2H4_Soln#3 (),Mole_fraction_C2H2_Soln#3 (),Mole_fraction_C4H6_Soln#3 (),Mole_fraction_C6H6_Soln#3 (),Mole_fraction_C10H8_Soln#3 (),Mole_fraction_C7H8_Soln#3 (),Mole_fraction_C7H7_Soln#3 (),Mole_fraction_STILB_Soln#3 (),Mole_fraction_C6H5C2H_Soln#3 (),Mole_fraction_C6H5C2H3_Soln#3 (),Mole_fraction_C6H5C2H5_Soln#3 (),Mole_fraction_C6H5CHCH3_Soln#3 (),Mole_fraction_BIPHENYL_Soln#3 (),Mole_fraction_C14H10_Soln#3 (),Mole_fraction_C16H10_Soln#3 (),Mole_fraction_C6H5C2H4C6H5_Soln#3 (),Mole_fraction_BIN1A_Soln#3 (),Molecular_weight_Soln#3 (g/mole),Mass_density_Soln#3 (g/cm3),Unburned_hydrocarbons_Soln#3 (ppm),Volatile_organic_compounds_Soln#3 (ppm)
0.0,15.7,-4222013.0,1100.0,1100.0,0.001845056,1.0,0.9128527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02851745,0.0,0.0,0.0,0.0421063,0.01652353,0.0,0.0,0.0,0.0,0.0,0.0,10.60769,1.175195E-4,668660.8,668660.8
2.201928E-6,15.69971,-3720395.0,1099.999,1099.999,0.001845056,1.0,0.9128525,4.19339E-8,6.871686E-11,6.182142E-9,6.536533E-10,2.945218E-14,9.845407E-9,1.925714E-18,0.02851744,2.525508E-7,1.452613E-10,5.384499E-10,0.04210628,0.01652326,2.411349E-8,2.146099E-16,3.355593E-11,6.267917E-12,5.704723E-12,2.661481E-12,10.60768,1.175196E-4,668660.6,668660.6
2.168909E-5,15.6996,-2305773.0,1099.99,1099.99,0.001845056,1.0,0.9128496,1.896418E-6,1.811299E-8,5.550647E-7,3.435583E-8,2.939933E-12,7.579223E-7,1.666166E-14,0.02851701,2.686495E-6,1.630315E-8,6.528862E-8,0.04210447,0.01652067,1.402217E-6,2.302899E-13,3.374756E-9,7.414061E-10,9.103259E-10,3.146851E-10,10.60767,1.175204E-4,668659.8,668659.8
9.963773E-5,15.69925,-2205130.0,1099.96,1099.96,0.001845056,1.0,0.9128344,1.185206E-5,2.007542E-7,5.814521E-6,3.322856E-7,8.664363E-11,7.628124E-6,1.669719E-12,0.02851449,1.23869E-5,1.729405E-7,6.434905E-7,0.04209271,0.01650946,8.752929E-6,1.103976E-11,4.459636E-8,7.313311E-9,4.872319E-8,3.098682E-9,10.60762,1.175231E-4,668656.9,668656.9
7.598288E-4,15.69781,-1169989.0,1099.771,1099.771,0.001845056,1.0,0.9125568,1.27766E-4,5.744947E-6,1.759381E-4,9.444516E-6,5.647019E-8,2.295281E-4,1.498821E-9,0.02847179,6.166896E-5,5.347411E-6,1.847552E-5,0.04188634,0.01637961,5.680738E-5,7.322868E-9,1.63198E-6,2.1516E-7,9.456132E-6,9.054529E-8,10.60677,1.175338E-4,668603.1,668603.1
0.001,15.69788,-934892.3,1099.729,1099.729,0.001845056,1.0,0.9124152,1.786943E-4,8.931255E-6,2.730398E-4,1.461534E-5,1.350981E-7,3.564612E-4,3.614955E-9,0.02845024,6.824696E-5,8.423095E-6,2.859539E-5,0.04178631,0.01632296,6.487392E-5,1.739756E-8,2.533964E-6,3.361559E-7,1.623193E-5,1.416375E-7,10.60632,1.175333E-4,668574.5,668574.5
0.002,15.69934,-594370.9,1099.608,1099.608,0.001845056,1.0,0.9117607,4.038972E-4,2.455117E-5,7.305918E-4,3.89777E-5,9.546445E-7,9.575195E-4,2.635751E-8,0.02835582,7.697744E-5,2.41871E-5,7.629188E-5,0.04134013,0.01607437,7.394182E-5,1.225129E-7,6.788191E-6,9.30129E-7,4.577033E-5,3.97179E-7,10.60416,1.175224E-4,668438.8,668438.8
0.003,15.70132,-496508.6,1099.516,1099.516,0.001845056,1.0,0.9110891,6.311401E-4,4.161773E-5,0.001197109,6.384569E-5,2.541201E-6,0.001575271,7.258687E-8,0.02827031,7.887711E-5,4.21079E-5,1.250441E-4,0.04089128,0.01582583,7.350729E-5,3.290031E-7,1.121048E-5,1.575071E-6,6.884829E-5,6.838227E-7,10.60195,1.175076E-4,668299.1,668299.1
0.004,15.70343,-428311.2,1099.439,1099.439,0.001845056,1.0,0.9104235,8.556371E-4,5.947645E-5,0.001653399,8.820228E-5,4.811369E-6,0.002184247,1.422222E-7,0.02819493,7.972137E-5,6.099183E-5,1.728644E-4,0.04045015,0.01558236,7.229791E-5,6.301879E-7,1.562682E-5,2.244037E-6,8.540007E-5,9.902562E-7,10.59977,1.174918E-4,668162.0,668162.0
0.005,15.70561,-369218.5,1099.371,1099.371,0.001845056,1.0,0.9097666,0.001077148,7.803973E-5,0.002098422,1.119912E-4,7.696033E-6,0.00278276,2.352694E-7,0.02812713,8.012464E-5,8.035073E-5,2.196341E-4,0.04001728,0.01534413,7.105558E-5,1.02067E-6,2.001065E-5,2.932951E-6,9.70915E-5,1.314447E-6,10.59765,1.174754E-4,668028.1,668028.1
0.006,15.70786,-315956.0,1099.314,1099.314,0.001845056,1.0,0.9091191,0.001295778,9.726938E-5,0.002532542,1.352306E-4,1.113486E-5,0.003371012,3.51735E-7,0.02806481,8.02419E-5,9.987192E-5,2.653798E-4,0.03959245,0.01511095,6.983674E-5,1.495719E-6,2.435149E-5,3.639826E-6,1.052551E-4,1.655287E-6,10.59558,1.174586E-4,667897.4,667897.4
0.007,15.71015,-267215.8,1099.264,1099.264,0.001845056,1.0,0.9084812,0.001511642,1.171326E-4,0.002956198,1.579426E-4,1.507343E-5,0.003949337,4.915669E-7,0.02800647,8.015872E-5,1.193409E-4,3.101371E-4,0.03917541,0.01488263,6.864449E-5,2.050946E-6,2.864323E-5,4.362986E-6,1.108552E-4,2.011844E-6,10.59356,1.174415E-4,667770.0,667770.0
0.007624498,15.7116,-241546.5,1099.238,1099.238,0.001845056,1.0,0.9080877,0.001645094,1.298447E-4,0.00321565,1.718681E-4,1.776439E-5,0.00430561,5.906983E-7,0.02797155,8.003206E-5,1.314047E-4,3.376017E-4,0.03891882,0.01474243,6.791327E-5,2.436515E-6,3.129681E-5,4.822173E-6,1.133708E-4,2.242111E-6,10.59232,1.174306E-4,667692.1,667692.1
0.007887733,15.71222,-226984.8,1099.227,1099.227,0.001845056,1.0,0.9079229,0.00170104,1.352718E-4,0.00332386,1.776799E-4,1.894864E-5,0.004454678,6.351999E-7,0.02795712,7.996512E-5,1.364593E-4,3.490687E-4,0.03881153,0.01468387,6.760856E-5,2.607711E-6,3.2409E-5,5.01737E-6,1.142464E-4,2.340869E-6,10.5918,1.17426E-4,667659.7,667659.7
0.008,15.71248,-222077.4,1099.223,1099.223,0.001845056,1.0,0.9078529,0.001724847,1.375985E-4,0.003369807,1.801483E-4,1.946234E-5,0.004518059,6.546641E-7,0.02795101,7.99344E-5,1.386089E-4,3.539399E-4,0.03876593,0.01465899,6.747895E-5,2.682249E-6,3.288219E-5,5.100904E-6,1.145902E-4,2.383287E-6,10.59159,1.174241E-4,667645.9,667645.9
0.009,15.71485,-179963.3,1099.189,1099.189,0.001845056,1.0,0.9072343,0.001935488,1.586371E-4,0.003773763,2.018676E-4,2.425617E-5,0.00507749,8.408575E-7,0.02789767,7.961091E-5,1.575744E-4,3.96821E-4,0.03836376,0.01443987,6.633918E-5,3.385703E-6,3.70664E-5,5.852162E-6,1.169679E-4,2.768852E-6,10.58967,1.174064E-4,667524.9,667524.9
