Time_Soln#10 (sec),Volume_Soln#10 (cm3),Volumetric_heat_production_rate_Soln#10 (erg/cm3-sec),Surface_temperature_Soln#10 (K),Temperature_Soln#10 (K),Mass_Soln#10 (g),Pressure_Soln#10 (atm),Mole_fraction_H2_Soln#10 (),Mole_fraction_CH4_Soln#10 (),Mole_fraction_CH3_Soln#10 (),Mole_fraction_C2H4_Soln#10 (),Mole_fraction_C2H2_Soln#10 (),Mole_fraction_C4H4_Soln#10 (),Mole_fraction_C4H2_Soln#10 (),Mole_fraction_C6H6_Soln#10 (),Mole_fraction_C10H8_Soln#10 (),Mole_fraction_C7H8_Soln#10 (),Mole_fraction_C7H7_Soln#10 (),Mole_fraction_STILB_Soln#10 (),Mole_fraction_C6H5C2H_Soln#10 (),Mole_fraction_C6H5C2H3_Soln#10 (),Mole_fraction_C6H5C2H5_Soln#10 (),Mole_fraction_BIPHENYL_Soln#10 (),Mole_fraction_C14H10_Soln#10 (),Mole_fraction_C16H10_Soln#10 (),Mole_fraction_BIN1B_Soln#10 (),Mole_fraction_BIN1A_Soln#10 (),Molecular_weight_Soln#10 (g/mole),Mass_density_Soln#10 (g/cm3),Unburned_hydrocarbons_Soln#10 (ppm),Volatile_organic_compounds_Soln#10 (ppm)
0.0,15.7,-5.073927E9,1450.0,1450.0,0.001399698,1.0,0.9128527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02851745,0.0,0.0,0.0,0.0421063,0.01652353,0.0,0.0,0.0,0.0,0.0,10.60769,8.915272E-5,668660.8,668660.8
1.576936E-8,15.69987,-5.061505E9,1449.983,1449.983,0.001399698,1.0,0.9128502,1.455066E-8,2.684955E-6,1.322701E-9,6.022514E-9,5.536344E-13,2.129589E-14,7.12145E-9,1.018987E-18,0.02851727,2.787462E-6,2.3088E-12,1.382529E-10,0.04210645,0.01652049,1.221119E-17,4.925906E-12,1.079276E-13,6.450887E-23,4.581989E-14,10.60765,8.915347E-5,668658.7,668658.7
2.526925E-7,15.69792,-4.882544E9,1449.738,1449.738,0.001399698,1.0,0.9128104,3.528596E-6,3.969803E-5,5.017218E-7,1.409144E-7,1.450992E-10,3.314687E-11,6.30436E-7,8.639827E-15,0.02851406,4.483367E-5,3.420028E-9,1.427232E-7,0.0421067,0.01647467,4.436634E-13,2.122624E-9,1.066222E-10,2.081008E-17,4.511965E-11,10.60717,8.916453E-5,668628.5,668628.5
1.726112E-6,15.68723,-4.224927E9,1448.349,1448.349,0.001399698,1.0,0.9124946,1.222263E-4,1.749065E-4,4.704986E-5,7.313485E-6,8.220505E-9,7.415439E-9,6.27847E-5,4.951461E-11,0.02846031,3.228075E-4,6.879465E-7,1.293089E-5,0.0420316,0.01617613,2.447581E-9,2.337952E-7,9.765533E-9,4.78305E-13,4.046479E-9,10.60423,8.922528E-5,668443.1,668443.1
6.540666E-6,15.66906,-2.078713E9,1445.243,1445.243,0.001399698,1.0,0.9110903,8.76811E-4,2.478193E-4,5.78736E-4,1.032806E-4,1.242605E-7,1.047296E-7,8.048679E-4,9.267694E-9,0.02819972,0.001145794,9.902113E-6,1.503382E-4,0.04144474,0.01512475,1.579373E-7,3.285665E-6,1.341663E-7,1.516299E-10,5.40497E-8,10.59376,8.932875E-5,667782.8,667782.8
1.749793E-5,15.66562,-5.45836E8,1442.731,1442.731,0.001399698,1.0,0.9082549,0.002548779,2.109445E-4,0.001744391,3.25524E-4,6.483237E-7,3.318194E-7,0.002469777,1.087545E-7,0.02839282,0.001914253,3.580323E-5,4.496551E-4,0.04027411,0.01309148,9.952981E-7,1.228875E-5,7.482363E-7,2.49082E-9,3.089797E-7,10.57767,8.934837E-5,666768.8,666768.8
3.78226E-5,15.68229,-2.651248E7,1441.841,1441.841,0.001399698,1.0,0.9041367,0.00503649,1.680978E-4,0.003338382,6.403755E-4,1.936672E-6,7.007924E-7,0.004815393,5.958481E-7,0.02951988,0.002162833,8.903554E-5,8.651853E-4,0.03859279,0.01023091,3.286338E-6,2.909757E-5,3.134843E-6,1.623683E-8,1.362072E-6,10.55991,8.925339E-5,665649.3,665649.4
3.959645E-5,15.68404,-1.068124E7,1441.835,1441.835,0.001399698,1.0,0.9038202,0.005227309,1.651877E-4,0.003458558,6.647433E-4,2.058406E-6,7.33061E-7,0.004995551,6.582571E-7,0.02962333,0.002163236,9.36979E-5,8.968383E-4,0.03846097,0.01001877,3.51762E-6,3.053695E-5,3.405164E-6,1.812289E-8,1.486367E-6,10.55868,8.924343E-5,665571.8,665571.9
4.071012E-5,15.68515,-1789571.0,1441.833,1441.833,0.001399698,1.0,0.9036245,0.00534529,1.634024E-4,0.003532811,6.798479E-4,2.135345E-6,7.53407E-7,0.005107104,6.990774E-7,0.02968794,0.002162676,9.660749E-5,9.164189E-4,0.03837914,0.009888131,3.664825E-6,3.143731E-5,3.578964E-6,1.936882E-8,1.566777E-6,10.55793,8.923714E-5,665524.3,665524.4
4.072157E-5,15.68516,-1645092.0,1441.833,1441.833,0.001399698,1.0,0.9036225,0.005346495,1.633842E-4,0.003533569,6.800024E-4,2.136137E-6,7.536165E-7,0.005108244,6.995034E-7,0.0296886,0.002162667,9.663731E-5,9.16619E-4,0.03837831,0.009886799,3.666345E-6,3.144655E-5,3.580766E-6,1.938188E-8,1.567612E-6,10.55792,8.923708E-5,665523.8,665523.9
