Time_Soln#23 (sec),Volume_Soln#23 (cm3),Volumetric_heat_production_rate_Soln#23 (erg/cm3-sec),Surface_temperature_Soln#23 (K),Temperature_Soln#23 (K),Mass_Soln#23 (g),Pressure_Soln#23 (atm),Mole_fraction_H2_Soln#23 (),Mole_fraction_H_Soln#23 (),Mole_fraction_CH4_Soln#23 (),Mole_fraction_CH3_Soln#23 (),Mole_fraction_C2H4_Soln#23 (),Mole_fraction_C2H2_Soln#23 (),Mole_fraction_C3H4-P_Soln#23 (),Mole_fraction_C3H3_Soln#23 (),Mole_fraction_C4H4_Soln#23 (),Mole_fraction_C4H2_Soln#23 (),Mole_fraction_C6H6_Soln#23 (),Mole_fraction_C10H8_Soln#23 (),Mole_fraction_C7H8_Soln#23 (),Mole_fraction_C7H7_Soln#23 (),Mole_fraction_BENZYNE_Soln#23 (),Mole_fraction_C6H5C2H_Soln#23 (),Mole_fraction_C6H5C2H3_Soln#23 (),Mole_fraction_C6H5C2H5_Soln#23 (),Mole_fraction_C14H10_Soln#23 (),Mole_fraction_BIN1B_Soln#23 (),Molecular_weight_Soln#23 (g/mole),Mass_density_Soln#23 (g/cm3),Unburned_hydrocarbons_Soln#23 (ppm),Volatile_organic_compounds_Soln#23 (ppm)
0.0,15.7,-1.330625E12,2100.0,2100.0,9.664579E-4,1.0,0.9128527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02851745,0.0,0.0,0.0,0.0421063,0.01652353,0.0,0.0,10.60769,6.155783E-5,668660.8,668660.8
1.762204E-10,15.69974,-1.331008E12,2099.935,2099.935,9.664579E-4,1.0,0.9128428,1.264681E-6,3.003907E-9,9.810406E-6,4.998652E-9,1.006695E-7,6.997441E-12,1.957587E-10,1.836665E-10,8.953372E-12,9.969328E-8,3.393183E-17,0.02851632,1.043637E-5,6.436737E-10,6.123918E-9,0.04210832,0.01651024,1.529613E-12,3.7105E-23,10.60753,6.155886E-5,668651.2,668651.2
3.236124E-9,15.69521,-1.325945E12,2098.804,2098.804,9.664579E-4,1.0,0.9126686,2.604444E-5,1.001296E-6,1.776568E-4,1.904759E-7,2.162532E-6,2.469479E-9,6.542213E-8,6.102859E-8,5.224139E-9,1.902703E-6,1.92501E-13,0.02849652,1.895717E-4,2.147615E-7,1.741665E-6,0.04214321,0.01628174,5.274017E-10,3.250171E-18,10.60488,6.157663E-5,668484.1,668484.1
1.461809E-8,15.67873,-1.275686E12,2094.686,2094.686,9.664579E-4,1.0,0.9120172,1.380956E-4,1.962497E-5,7.623808E-4,3.106418E-6,1.268451E-5,5.899248E-8,1.285582E-6,1.183042E-6,2.26131E-7,1.036292E-5,1.577823E-11,0.02841991,8.233613E-4,4.222556E-6,2.161437E-5,0.04226119,0.01546932,1.159715E-8,9.943422E-16,10.5952,6.164134E-5,667873.7,667873.7
6.992784E-8,15.6071,-1.049415E12,2076.96,2076.96,9.664579E-4,1.0,0.9090384,7.775315E-4,3.739939E-4,0.002889351,7.87166E-5,9.481283E-5,1.955384E-6,2.500347E-5,2.164901E-5,1.152358E-5,1.129161E-4,3.435133E-9,0.02796841,0.003322839,8.099552E-5,1.792349E-4,0.0425793,0.01221553,3.379416E-7,5.613724E-13,10.55375,6.192423E-5,665260.8,665260.8
1.537805E-7,15.5196,-8.241276E11,2055.402,2055.402,9.664579E-4,1.0,0.9050509,0.001690124,0.001415908,0.004667764,3.82862E-4,3.46018E-4,1.048158E-5,1.041504E-4,7.865974E-5,7.595133E-5,5.252462E-4,8.545745E-8,0.02704194,0.005891983,3.041105E-4,5.365911E-4,0.04240274,0.008796912,1.960268E-6,2.244433E-11,10.5031,6.227339E-5,662068.0,662068.0
1.736133E-7,15.50189,-7.818654E11,2051.004,2051.004,9.664579E-4,1.0,0.9041824,0.001871234,0.001711111,0.00493176,4.821021E-4,4.297384E-4,1.333009E-5,1.295415E-4,9.429547E-5,9.970936E-5,6.707137E-4,1.397513E-7,0.02679071,0.006353307,3.6588E-4,6.38468E-4,0.04227106,0.00817286,2.555524E-6,4.041264E-11,10.49259,6.23445E-5,661405.8,661405.8
1.882157E-7,15.4895,-7.525472E11,2047.911,2047.911,9.664579E-4,1.0,0.9035591,0.001994564,0.001935683,0.005099216,5.604108E-4,4.969305E-4,1.559149E-5,1.497497E-4,1.060651E-4,1.190464E-4,7.887947E-4,1.934357E-7,0.02660041,0.006664875,4.123256E-4,7.167464E-4,0.04215661,0.007748532,3.042644E-6,5.980934E-11,10.48515,6.239438E-5,660936.8,660936.8
2.015341E-7,15.47866,-7.269899E11,2045.192,2045.192,9.664579E-4,1.0,0.903002,0.00209957,0.002144839,0.005234456,6.352836E-4,5.621103E-4,1.776507E-5,1.692532E-4,1.169346E-4,1.379515E-4,9.042138E-4,2.542859E-7,0.02642365,0.006929938,4.551255E-4,7.902537E-4,0.04204054,0.007385244,3.52148E-6,8.333322E-11,10.47857,6.24381E-5,660521.8,660521.8
2.124694E-7,15.47006,-7.067815E11,2043.03,2043.03,9.664579E-4,1.0,0.9025525,0.002180484,0.002319147,0.005334245,6.989794E-4,6.182697E-4,1.962342E-5,1.859992E-4,1.259276E-4,1.543206E-4,0.001004225,3.137524E-7,0.02627666,0.007134807,4.904394E-4,8.519406E-4,0.04193757,0.007102699,3.938232E-6,1.076259E-10,10.4733,6.247279E-5,660189.9,660189.9
