Time_Soln#6 (sec),Volume_Soln#6 (cm3),Volumetric_heat_production_rate_Soln#6 (erg/cm3-sec),Surface_temperature_Soln#6 (K),Temperature_Soln#6 (K),Mass_Soln#6 (g),Pressure_Soln#6 (atm),Mole_fraction_H2_Soln#6 (),Mole_fraction_CH4_Soln#6 (),Mole_fraction_C2H6_Soln#6 (),Mole_fraction_C2H4_Soln#6 (),Mole_fraction_C2H2_Soln#6 (),Mole_fraction_C4H6_Soln#6 (),Mole_fraction_C6H6_Soln#6 (),Mole_fraction_C10H8_Soln#6 (),Mole_fraction_C7H8_Soln#6 (),Mole_fraction_C7H7_Soln#6 (),Mole_fraction_STILB_Soln#6 (),Mole_fraction_C6H5C2H_Soln#6 (),Mole_fraction_C6H5C2H3_Soln#6 (),Mole_fraction_C6H5C2H5_Soln#6 (),Mole_fraction_C6H5CHCH3_Soln#6 (),Mole_fraction_BIPHENYL_Soln#6 (),Mole_fraction_C14H10_Soln#6 (),Mole_fraction_C16H10_Soln#6 (),Mole_fraction_C6H5C2H4C6H5_Soln#6 (),Mole_fraction_BIN1A_Soln#6 (),Molecular_weight_Soln#6 (g/mole),Mass_density_Soln#6 (g/cm3),Unburned_hydrocarbons_Soln#6 (ppm),Volatile_organic_compounds_Soln#6 (ppm)
0.0,15.7,-1.632822E8,1250.0,1250.0,0.001623649,1.0,0.9128527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02851745,0.0,0.0,0.0,0.0421063,0.01652353,0.0,0.0,0.0,0.0,0.0,0.0,10.60769,1.034172E-4,668660.8,668660.8
2.011795E-7,15.69994,-1.609032E8,1249.994,1249.994,0.001623649,1.0,0.9128518,3.229077E-8,1.019907E-11,2.558687E-9,1.825603E-9,1.34036E-13,4.567025E-9,8.06903E-19,0.02851741,9.90743E-7,1.399963E-11,2.51631E-10,0.04210634,0.01652243,1.146419E-8,2.971796E-17,1.134923E-11,6.873035E-13,4.66891E-12,2.918231E-13,10.60768,1.034175E-4,668660.1,668660.1
1.915026E-6,15.69948,-1.359756E8,1249.947,1249.947,0.001623649,1.0,0.9128431,2.459679E-6,7.515583E-9,4.784816E-7,5.378591E-8,2.121349E-11,6.800502E-7,7.416073E-15,0.02851665,9.698634E-6,9.145117E-9,9.025526E-8,0.0421048,0.01651289,1.454944E-6,5.788563E-13,2.609073E-9,2.273895E-10,7.598057E-10,9.645464E-11,10.60759,1.034206E-4,668654.7,668654.7
1.027952E-5,15.69773,-1.10712E8,1249.766,1249.766,0.001623649,1.0,0.9127827,3.78893E-5,3.387641E-7,1.622043E-5,1.677929E-6,1.017579E-9,2.191438E-5,9.371698E-12,0.02850452,5.738917E-5,3.663567E-7,2.748171E-6,0.04207095,0.0164616,2.217149E-5,1.839039E-10,9.136046E-8,6.919049E-9,6.822377E-8,2.918649E-9,10.60724,1.034321E-4,668632.3,668632.3
4.456566E-5,15.69268,-8.69219E7,1249.103,1249.103,0.001623649,1.0,0.9123889,2.377736E-4,3.949806E-6,2.084071E-4,2.190793E-5,7.034876E-8,2.765026E-4,1.547361E-9,0.02841499,2.471056E-4,4.819502E-6,3.331996E-5,0.04184395,0.01621208,7.106451E-5,1.422322E-8,1.324971E-6,8.840122E-8,4.711703E-6,3.677008E-8,10.60502,1.034654E-4,668492.8,668492.8
1.0E-4,15.69057,-3.752961E7,1248.501,1248.501,0.001623649,1.0,0.9116524,5.766367E-4,1.149566E-5,6.237782E-4,6.592969E-5,5.693937E-7,8.279056E-4,1.453397E-8,0.02835209,3.930702E-4,1.541606E-5,9.87715E-5,0.04144388,0.01579028,7.92665E-5,1.060185E-7,4.537612E-6,3.016387E-7,3.019121E-5,1.265175E-7,10.60134,1.034793E-4,668260.5,668260.5
2.0E-4,15.69314,-1.715062E7,1248.053,1248.053,0.001623649,1.0,0.910366,0.001164589,2.500715E-5,0.001358889,1.44189E-4,2.586813E-6,0.001811317,7.575214E-8,0.02839744,4.497043E-4,3.920172E-5,2.147191E-4,0.04074787,0.01506895,7.590333E-5,4.695741E-7,1.105316E-5,8.389438E-7,8.247353E-5,3.658383E-7,10.59579,1.034624E-4,667911.0,667911.0
2.989843E-4,15.6971,-1.274567E7,1247.783,1247.783,0.001623649,1.0,0.9091481,0.001718959,3.792209E-5,0.002043675,2.174881E-4,5.727101E-6,0.002736171,1.859763E-7,0.02849745,4.600616E-4,6.643295E-5,3.229893E-4,0.04009165,0.01440111,7.238268E-5,1.044916E-6,1.755409E-5,1.52736E-6,1.161389E-4,6.899394E-7,10.59083,1.034363E-4,667598.0,667598.0
3.0E-4,15.69714,-1.271455E7,1247.78,1247.78,0.001623649,1.0,0.9091358,0.00172452,3.80525E-5,0.002050498,2.182205E-4,5.764345E-6,0.002745429,1.873678E-7,0.02849859,4.601085E-4,6.672285E-5,3.240694E-4,0.04008507,0.01439447,7.234854E-5,1.05182E-6,1.762041E-5,1.535126E-6,1.163992E-4,6.936757E-7,10.59078,1.03436E-4,667594.9,667594.9
3.367071E-4,15.6987,-1.167728E7,1247.697,1247.697,0.001623649,1.0,0.908697,0.001923848,4.273851E-5,0.002294469,2.444354E-4,7.171963E-6,0.003077024,2.412366E-7,0.02854101,4.613284E-4,7.728064E-5,3.62703E-4,0.03984914,0.01415729,7.11399E-5,1.314063E-6,2.000978E-5,1.824557E-6,1.248604E-4,8.33989E-7,10.58902,1.034257E-4,667484.2,667484.2
