Time_Soln#5 (sec),Volume_Soln#5 (cm3),Volumetric_heat_production_rate_Soln#5 (erg/cm3-sec),Surface_temperature_Soln#5 (K),Temperature_Soln#5 (K),Mass_Soln#5 (g),Pressure_Soln#5 (atm),Mole_fraction_H2_Soln#5 (),Mole_fraction_CH4_Soln#5 (),Mole_fraction_C2H6_Soln#5 (),Mole_fraction_C2H4_Soln#5 (),Mole_fraction_C2H2_Soln#5 (),Mole_fraction_C4H6_Soln#5 (),Mole_fraction_C4H4_Soln#5 (),Mole_fraction_C6H6_Soln#5 (),Mole_fraction_C10H8_Soln#5 (),Mole_fraction_C7H8_Soln#5 (),Mole_fraction_C7H7_Soln#5 (),Mole_fraction_STILB_Soln#5 (),Mole_fraction_C6H5C2H_Soln#5 (),Mole_fraction_C6H5C2H3_Soln#5 (),Mole_fraction_C6H5C2H5_Soln#5 (),Mole_fraction_BIPHENYL_Soln#5 (),Mole_fraction_C14H10_Soln#5 (),Mole_fraction_C16H10_Soln#5 (),Mole_fraction_C6H5C2H4C6H5_Soln#5 (),Mole_fraction_BIN1A_Soln#5 (),Molecular_weight_Soln#5 (g/mole),Mass_density_Soln#5 (g/cm3),Unburned_hydrocarbons_Soln#5 (ppm),Volatile_organic_compounds_Soln#5 (ppm)
0.0,15.7,-5.487972E7,1200.0,1200.0,0.001691301,1.0,0.9128527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02851745,0.0,0.0,0.0,0.0421063,0.01652353,0.0,0.0,0.0,0.0,0.0,10.60769,1.077262E-4,668660.8,668660.8
3.792659E-7,15.69996,-5.346816E7,1199.996,1199.996,0.001691301,1.0,0.9128522,2.987698E-8,1.277401E-11,2.745968E-9,1.133042E-9,7.055257E-14,7.013805E-15,4.352985E-9,6.489169E-19,0.02851742,6.035822E-7,2.295907E-11,2.499801E-10,0.04210631,0.01652286,3.821946E-17,1.201796E-11,1.035231E-12,4.098469E-12,4.39565E-13,10.60768,1.077265E-4,668660.4,668660.4
3.551289E-6,15.69968,-4.168719E7,1199.969,1199.969,0.001691301,1.0,0.9128467,2.03824E-6,7.98761E-9,4.406229E-7,4.144891E-8,9.516701E-12,9.710783E-13,6.366509E-7,7.494624E-15,0.02851688,5.884663E-6,1.011847E-8,7.232779E-8,0.04210481,0.01651709,4.103193E-13,2.501591E-9,2.803307E-10,6.274839E-10,1.189515E-10,10.60763,1.077284E-4,668657.4,668657.4
1.993128E-5,15.6986,-3.467504E7,1199.865,1199.865,0.001691301,1.0,0.9128062,2.758683E-5,2.843141E-7,1.239996E-5,1.08813E-6,4.972216E-10,3.832082E-11,1.654123E-5,6.113442E-12,0.02850863,3.62733E-5,3.069589E-7,1.826003E-6,0.04207877,0.0164841,8.237381E-11,7.38326E-8,7.073423E-9,6.140152E-8,2.989354E-9,10.60744,1.077358E-4,668644.9,668644.9
8.637895E-5,15.6953,-2.880594E7,1199.464,1199.464,0.001691301,1.0,0.912541,1.592201E-4,3.155716E-6,1.479079E-4,1.28073E-5,3.744708E-8,1.223533E-9,1.9434E-4,8.485853E-10,0.02845086,1.514913E-4,3.711582E-6,2.070395E-5,0.04191241,0.01632374,6.450649E-9,1.025693E-6,8.299387E-8,4.09685E-6,3.469791E-8,10.60613,1.077585E-4,668562.4,668562.4
3.042995E-4,15.69478,-8397101.0,1198.872,1198.872,0.001691301,1.0,0.9114092,6.371218E-4,1.775567E-5,8.434928E-4,7.302017E-5,1.105071E-6,2.652329E-8,0.001110994,2.946335E-8,0.02836255,2.617739E-4,2.407713E-5,1.166325E-4,0.04124197,0.01573978,1.766351E-7,6.903971E-6,5.552584E-7,5.442313E-5,2.373836E-7,10.60124,1.07762E-4,668254.1,668254.1
6.51509E-4,15.69981,-5564009.0,1198.457,1198.457,0.001691301,1.0,0.9096225,0.001374131,4.227819E-5,0.001941897,1.685338E-4,5.671755E-6,1.380063E-7,0.002576348,1.729563E-7,0.02836638,2.747399E-4,6.674556E-5,2.684222E-4,0.04020049,0.01485685,9.145043E-7,1.712497E-5,1.602534E-6,1.133159E-4,7.246985E-7,10.59417,1.077275E-4,667809.0,667809.0
6.746904E-4,15.70018,-5466894.0,1198.434,1198.434,0.001691301,1.0,0.9095064,0.001421865,4.391794E-5,0.002012234,1.746688E-4,6.080442E-6,1.484707E-7,0.002670932,1.868827E-7,0.0283688,2.749769E-4,6.979349E-5,2.781606E-4,0.0401332,0.01480044,9.818048E-7,1.780185E-5,1.682076E-6,1.157989E-4,7.631678E-7,10.59372,1.07725E-4,667780.6,667780.6
6.813435E-4,15.70028,-5435736.0,1198.427,1198.427,0.001691301,1.0,0.9094732,0.001435534,4.438863E-5,0.002032355,1.764242E-4,6.199871E-6,1.51543E-7,0.002698005,1.909806E-7,0.02836953,2.750382E-4,7.067064E-5,2.809468E-4,0.04011394,0.01478431,1.001508E-6,1.799591E-5,1.705106E-6,1.164859E-4,7.743365E-7,10.59359,1.077243E-4,667772.5,667772.5
6.816729E-4,15.70029,-5437438.0,1198.427,1198.427,0.001691301,1.0,0.9094715,0.00143621,4.441193E-5,0.00203335,1.765111E-4,6.205808E-6,1.516958E-7,0.002699344,1.911846E-7,0.02836956,2.750411E-4,7.071408E-5,2.810846E-4,0.04011298,0.01478351,1.002488E-6,1.800551E-5,1.706248E-6,1.165196E-4,7.748908E-7,10.59359,1.077242E-4,667772.1,667772.1
6.833835E-4,15.70032,-5453385.0,1198.425,1198.425,0.001691301,1.0,0.909463,0.001439722,4.453295E-5,0.002038519,1.76962E-4,6.236679E-6,1.524911E-7,0.0027063,1.922461E-7,0.02836975,2.750563E-4,7.093979E-5,2.818002E-4,0.04010804,0.01477937,1.007584E-6,1.80554E-5,1.712185E-6,1.166944E-4,7.777723E-7,10.59356,1.07724E-4,667770.0,667770.0
6.836491E-4,15.70032,-5438793.0,1198.425,1198.425,0.001691301,1.0,0.9094617,0.001440267,4.455174E-5,0.002039322,1.77032E-4,6.241479E-6,1.526148E-7,0.00270738,1.924112E-7,0.02836978,2.750586E-4,7.097484E-5,2.819113E-4,0.04010727,0.01477872,1.008376E-6,1.806314E-5,1.713107E-6,1.167214E-4,7.7822E-7,10.59355,1.07724E-4,667769.7,667769.7
6.837489E-4,15.70032,-5471433.0,1198.425,1198.425,0.001691301,1.0,0.9094612,0.001440471,4.45588E-5,0.002039623,1.770583E-4,6.243281E-6,1.526612E-7,0.002707785,1.924733E-7,0.02836979,2.750594E-4,7.0988E-5,2.81953E-4,0.04010698,0.01477848,1.008674E-6,1.806605E-5,1.713453E-6,1.167316E-4,7.783882E-7,10.59355,1.07724E-4,667769.6,667769.6
6.839297E-4,15.70032,-5434581.0,1198.425,1198.425,0.001691301,1.0,0.9094603,0.001440843,4.457159E-5,0.00204017,1.77106E-4,6.24655E-6,1.527455E-7,0.00270852,1.925857E-7,0.02836981,2.75061E-4,7.101187E-5,2.820287E-4,0.04010646,0.01477804,1.009214E-6,1.807132E-5,1.714081E-6,1.1675E-4,7.786931E-7,10.59354,1.07724E-4,667769.4,667769.4
6.895386E-4,15.70041,-5399132.0,1198.419,1198.419,0.001691301,1.0,0.9094323,0.001452349,4.496839E-5,0.002057099,1.785832E-4,6.348303E-6,1.553703E-7,0.002731308,1.960917E-7,0.02837044,2.751092E-4,7.175246E-5,2.843731E-4,0.04009024,0.01476447,1.026019E-6,1.823482E-5,1.733597E-6,1.173166E-4,7.881731E-7,10.59344,1.077234E-4,667762.5,667762.5
7.706338E-4,15.70171,-5071611.0,1198.343,1198.343,0.001691301,1.0,0.9090302,0.001617592,5.07067E-5,0.002299577,1.997566E-4,7.892058E-6,1.957476E-7,0.003058273,2.503636E-7,0.02838053,2.755995E-4,8.252416E-5,3.17966E-4,0.0398575,0.01457016,1.282405E-6,2.059131E-5,2.022623E-6,1.24689E-4,9.29666E-7,10.59188,1.077145E-4,667664.7,667664.7
7.784371E-4,15.70184,-5057042.0,1198.336,1198.336,0.001691301,1.0,0.9089918,0.001633384,5.1259E-5,0.002322688,2.01776E-4,8.047541E-6,1.998705E-7,0.003089491,2.559381E-7,0.02838159,2.756276E-4,8.356566E-5,3.211689E-4,0.03983527,0.01455165,1.30837E-6,2.08173E-5,2.051093E-6,1.253232E-4,9.437095E-7,10.59174,1.077136E-4,667655.4,667655.4
7.810445E-4,15.70188,-5076045.0,1198.333,1198.333,0.001691301,1.0,0.908979,0.001638656,5.144355E-5,0.002330402,2.024501E-4,8.099759E-6,2.012574E-7,0.003099913,2.578146E-7,0.02838195,2.756361E-4,8.391381E-5,3.222379E-4,0.03982785,0.01454548,1.317096E-6,2.089278E-5,2.060631E-6,1.255323E-4,9.484185E-7,10.59169,1.077133E-4,667652.3,667652.3
7.811276E-4,15.70188,-5061418.0,1198.333,1198.333,0.001691301,1.0,0.9089786,0.001638824,5.144944E-5,0.002330648,2.024715E-4,8.101427E-6,2.013017E-7,0.003100245,2.578746E-7,0.02838196,2.756364E-4,8.392492E-5,3.22272E-4,0.03982762,0.01454528,1.317375E-6,2.089519E-5,2.060935E-6,1.25539E-4,9.485688E-7,10.59169,1.077133E-4,667652.2,667652.2
7.816383E-4,15.70189,-5033897.0,1198.333,1198.333,0.001691301,1.0,0.908976,0.001639857,5.148558E-5,0.002332158,2.026035E-4,8.111669E-6,2.015739E-7,0.003102285,2.582429E-7,0.02838203,2.75638E-4,8.399311E-5,3.224812E-4,0.03982616,0.01454407,1.319087E-6,2.090997E-5,2.062805E-6,1.255798E-4,9.49492E-7,10.59168,1.077133E-4,667651.6,667651.6
7.820214E-4,15.70189,-5046925.0,1198.332,1198.332,0.001691301,1.0,0.9089742,0.001640631,5.15127E-5,0.002333291,2.027025E-4,8.119357E-6,2.017782E-7,0.003103816,2.585195E-7,0.02838208,2.756392E-4,8.404427E-5,3.226382E-4,0.03982507,0.01454316,1.320372E-6,2.092106E-5,2.064208E-6,1.256103E-4,9.501848E-7,10.59167,1.077132E-4,667651.1,667651.1
7.820782E-4,15.70189,-5035915.0,1198.332,1198.332,0.001691301,1.0,0.9089739,0.001640746,5.151672E-5,0.002333459,2.027172E-4,8.120497E-6,2.018085E-7,0.003104043,2.585605E-7,0.02838209,2.756394E-4,8.405185E-5,3.226615E-4,0.03982491,0.01454303,1.320562E-6,2.09227E-5,2.064416E-6,1.256149E-4,9.502876E-7,10.59167,1.077132E-4,667651.0,667651.1
7.821503E-4,15.7019,-5042208.0,1198.332,1198.332,0.001691301,1.0,0.9089735,0.001640892,5.152183E-5,0.002333672,2.027358E-4,8.121945E-6,2.01847E-7,0.003104331,2.586126E-7,0.0283821,2.756396E-4,8.406149E-5,3.226911E-4,0.03982471,0.01454286,1.320804E-6,2.092479E-5,2.06468E-6,1.256206E-4,9.504181E-7,10.59167,1.077132E-4,667651.0,667651.0
7.879736E-4,15.70199,-5002595.0,1198.327,1198.327,0.001691301,1.0,0.9089449,0.001652657,5.193401E-5,0.002350878,2.042396E-4,8.239225E-6,2.049676E-7,0.003127584,2.62838E-7,0.0283829,2.756572E-4,8.483941E-5,3.250759E-4,0.03980815,0.01452908,1.340417E-6,2.109329E-5,2.086045E-6,1.260809E-4,9.609764E-7,10.59156,1.077126E-4,667644.0,667644.0
0.001,15.70546,-4276711.0,1198.15,1198.15,0.001691301,1.0,0.9079197,0.002074082,6.6948E-5,0.002963223,2.578562E-4,1.292852E-5,3.342032E-7,0.003958726,4.401684E-7,0.02841639,2.753417E-4,1.132529E-4,4.100304E-4,0.03921587,0.01403934,2.135916E-6,2.717309E-5,2.904421E-6,1.388888E-4,1.372495E-6,10.58765,1.076887E-4,667397.5,667397.6
0.001412993,15.71239,-3172219.0,1197.874,1197.874,0.001691301,1.0,0.906016,0.002858729,9.62084E-5,0.004083062,3.564261E-4,2.402044E-5,6.709276E-7,0.005497087,9.166125E-7,0.02849278,2.713289E-4,1.674354E-4,5.657554E-4,0.0381176,0.0131475,4.095613E-6,3.867907E-5,4.693322E-6,1.493023E-4,2.312425E-6,10.58054,1.076413E-4,666949.8,666949.8
0.001492679,15.71373,-2991174.0,1197.829,1197.829,0.001691301,1.0,0.9056623,0.003004995,1.018517E-4,0.004288939,3.746251E-4,2.640065E-5,7.483665E-7,0.005782555,1.028272E-6,0.02850785,2.702658E-4,1.775338E-4,5.944309E-4,0.03791352,0.01298415,4.529091E-6,4.08458E-5,5.063316E-6,1.49988E-4,2.512794E-6,10.57924,1.076321E-4,666868.0,666868.0
0.001571786,15.71507,-2820079.0,1197.788,1197.788,0.001691301,1.0,0.9053154,0.003148661,1.07452E-4,0.004490295,3.924486E-4,2.882675E-5,8.290575E-7,0.006062556,1.14528E-6,0.02852269,2.691557E-4,1.874207E-4,6.224892E-4,0.03771328,0.01282458,4.975305E-6,4.297984E-5,5.437389E-6,1.503961E-4,2.717255E-6,10.57798,1.076229E-4,666788.1,666788.2
0.001586164,15.71531,-2789303.0,1197.78,1197.78,0.001691301,1.0,0.9052528,0.00317461,1.084696E-4,0.004526574,3.956624E-4,2.927416E-5,8.441308E-7,0.006113089,1.167208E-6,0.02852537,2.689487E-4,1.892023E-4,6.275457E-4,0.03767714,0.01279585,5.058073E-6,4.33659E-5,5.506079E-6,1.504443E-4,2.755002E-6,10.57775,1.076212E-4,666773.8,666773.8
0.001600815,15.71556,-2759810.0,1197.773,1197.773,0.001691301,1.0,0.9051891,0.003200999,1.095064E-4,0.004563439,3.98929E-4,2.973204E-5,8.596185E-7,0.006164466,1.189762E-6,0.02852809,2.687362E-4,1.910128E-4,6.326843E-4,0.03764039,0.01276667,5.142929E-6,4.375869E-5,5.576285E-6,1.504858E-4,2.793648E-6,10.57752,1.076195E-4,666759.2,666759.2
0.001651247,15.71641,-2655921.0,1197.748,1197.748,0.001691301,1.0,0.904971,0.003291444,1.130747E-4,0.004689568,4.101118E-4,3.132301E-5,9.139156E-7,0.006340454,1.269005E-6,0.02853742,2.679955E-4,1.972061E-4,6.502689E-4,0.03751447,0.01266687,5.438977E-6,4.510636E-5,5.819583E-6,1.505727E-4,2.928071E-6,10.57673,1.076137E-4,666709.3,666709.4
0.001694226,15.71714,-2570348.0,1197.728,1197.728,0.001691301,1.0,0.9047865,0.003368047,1.161145E-4,0.004796131,4.195674E-4,3.269627E-5,9.613777E-7,0.006489388,1.338488E-6,0.0285453,2.673529E-4,2.024364E-4,6.651292E-4,0.0374079,0.01258261,5.695989E-6,4.624945E-5,6.028848E-6,1.50584E-4,3.0443E-6,10.57606,1.076087E-4,666667.2,666667.3
0.001832112,15.71946,-2307544.0,1197.667,1197.667,0.001691301,1.0,0.9042023,0.003610909,1.258594E-4,0.005132386,4.494508E-4,3.720214E-5,1.120927E-6,0.006960843,1.573437E-6,0.02857007,2.652339E-4,2.189137E-4,7.120404E-4,0.03707039,0.01231714,6.548752E-6,4.988347E-5,6.711452E-6,1.502886E-4,3.427264E-6,10.57396,1.075928E-4,666534.8,666534.9
0.001928097,15.72108,-2134220.0,1197.629,1197.629,0.001691301,1.0,0.9038027,0.003777412,1.326353E-4,0.005361524,4.69856E-4,4.042098E-5,1.238443E-6,0.007283431,1.747746E-6,0.02858679,2.637201E-4,2.301063E-4,7.440245E-4,0.03683933,0.0121366,7.166697E-6,5.238344E-5,7.196041E-6,1.498364E-4,3.70262E-6,10.57253,1.075818E-4,666444.9,666444.9
0.002,15.72228,-2010213.0,1197.602,1197.602,0.001691301,1.0,0.903507,0.003900812,1.377062E-4,0.005530624,4.849365E-4,4.287136E-5,1.329829E-6,0.00752218,1.883969E-6,0.02859901,2.625719E-4,2.383419E-4,7.676364E-4,0.03666827,0.01200355,7.641874E-6,5.424057E-5,7.563642E-6,1.493927E-4,3.913361E-6,10.57148,1.075735E-4,666378.7,666378.7
0.002010877,15.72247,-2016165.0,1197.598,1197.598,0.001691301,1.0,0.9034625,0.003919382,1.384729E-4,0.005556018,4.872027E-4,4.324478E-5,1.343901E-6,0.007558083,1.904996E-6,0.02860083,2.623972E-4,2.395765E-4,7.711826E-4,0.03664254,0.01198359,7.714647E-6,5.452035E-5,7.619578E-6,1.493187E-4,3.945568E-6,10.57132,1.075723E-4,666368.8,666368.8
0.002011307,15.72247,-2006669.0,1197.598,1197.598,0.001691301,1.0,0.9034608,0.003920115,1.385032E-4,0.00555702,4.872921E-4,4.325955E-5,1.344459E-6,0.0075595,1.905829E-6,0.0286009,2.623903E-4,2.396252E-4,7.713225E-4,0.03664153,0.0119828,7.717527E-6,5.453139E-5,7.621789E-6,1.493157E-4,3.946842E-6,10.57132,1.075722E-4,666368.4,666368.4
0.002011438,15.72248,-2014369.0,1197.598,1197.598,0.001691301,1.0,0.9034602,0.003920338,1.385124E-4,0.005557325,4.873193E-4,4.326405E-5,1.344628E-6,0.007559931,1.906083E-6,0.02860093,2.623882E-4,2.396401E-4,7.713651E-4,0.03664122,0.01198256,7.718404E-6,5.453475E-5,7.622462E-6,1.493148E-4,3.94723E-6,10.57132,1.075722E-4,666368.2,666368.3
0.002011925,15.72249,-2019664.0,1197.597,1197.597,0.001691301,1.0,0.9034582,0.00392117,1.385468E-4,0.005558463,4.874208E-4,4.328081E-5,1.345261E-6,0.007561539,1.907028E-6,0.02860101,2.623803E-4,2.396953E-4,7.715239E-4,0.03664007,0.01198167,7.721672E-6,5.454729E-5,7.624972E-6,1.493115E-4,3.948676E-6,10.57131,1.075721E-4,666367.8,666367.9
0.002011996,15.72249,-1998010.0,1197.597,1197.597,0.001691301,1.0,0.903458,0.00392129,1.385517E-4,0.005558627,4.874355E-4,4.328322E-5,1.345352E-6,0.007561771,1.907164E-6,0.02860102,2.623792E-4,2.397033E-4,7.715468E-4,0.0366399,0.01198154,7.722144E-6,5.45491E-5,7.625334E-6,1.49311E-4,3.948884E-6,10.57131,1.075721E-4,666367.7,666367.8
0.00201304,15.7225,-1993761.0,1197.597,1197.597,0.001691301,1.0,0.9034537,0.003923071,1.386253E-4,0.005561062,4.876528E-4,4.331913E-5,1.346707E-6,0.007565215,1.909191E-6,0.02860119,2.623623E-4,2.398217E-4,7.718869E-4,0.03663743,0.01197962,7.729147E-6,5.457595E-5,7.630711E-6,1.493038E-4,3.951983E-6,10.57129,1.07572E-4,666366.8,666366.9
0.002013392,15.72251,-2063075.0,1197.597,1197.597,0.001691301,1.0,0.9034523,0.003923671,1.386501E-4,0.005561882,4.87726E-4,4.333121E-5,1.347164E-6,0.007566374,1.909873E-6,0.02860125,2.623567E-4,2.398615E-4,7.720014E-4,0.0366366,0.01197898,7.731504E-6,5.458498E-5,7.632521E-6,1.493013E-4,3.953025E-6,10.57129,1.07572E-4,666366.5,666366.5
