Time_Soln#8 (sec),Volume_Soln#8 (cm3),Volumetric_heat_production_rate_Soln#8 (erg/cm3-sec),Surface_temperature_Soln#8 (K),Temperature_Soln#8 (K),Mass_Soln#8 (g),Pressure_Soln#8 (atm),Mole_fraction_H2_Soln#8 (),Mole_fraction_CH4_Soln#8 (),Mole_fraction_C2H6_Soln#8 (),Mole_fraction_C2H4_Soln#8 (),Mole_fraction_C2H2_Soln#8 (),Mole_fraction_C4H6_Soln#8 (),Mole_fraction_C4H4_Soln#8 (),Mole_fraction_C6H6_Soln#8 (),Mole_fraction_C10H8_Soln#8 (),Mole_fraction_C7H8_Soln#8 (),Mole_fraction_C7H7_Soln#8 (),Mole_fraction_STILB_Soln#8 (),Mole_fraction_C6H5C2H_Soln#8 (),Mole_fraction_C6H5C2H3_Soln#8 (),Mole_fraction_C6H5C2H5_Soln#8 (),Mole_fraction_INDENE_Soln#8 (),Mole_fraction_BIPHENYL_Soln#8 (),Mole_fraction_C14H10_Soln#8 (),Mole_fraction_BIN1B_Soln#8 (),Mole_fraction_BIN1A_Soln#8 (),Molecular_weight_Soln#8 (g/mole),Mass_density_Soln#8 (g/cm3),Unburned_hydrocarbons_Soln#8 (ppm),Volatile_organic_compounds_Soln#8 (ppm)
0.0,15.7,-1.069974E9,1350.0,1350.0,0.001503379,1.0,0.9128527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02851745,0.0,0.0,0.0,0.0421063,0.01652353,0.0,0.0,0.0,0.0,0.0,10.60769,9.575662E-5,668660.8,668660.8
6.229731E-8,15.69989,-1.063766E9,1349.987,1349.987,0.001503379,1.0,0.9128507,3.203257E-8,7.170245E-12,2.366041E-9,4.187897E-9,4.312933E-13,1.982028E-13,6.426498E-9,1.410882E-18,0.02851734,2.168226E-6,7.022265E-12,2.525026E-10,0.0421064,0.01652115,3.268221E-18,2.574026E-17,1.058161E-11,3.195082E-22,1.484882E-13,10.60766,9.575733E-5,668659.2,668659.2
8.507651E-7,15.6985,-9.649149E8,1349.829,1349.829,0.001503379,1.0,0.9128233,5.289964E-6,1.538234E-8,9.614537E-7,1.43599E-7,1.505273E-10,4.202629E-11,1.272553E-6,2.369714E-14,0.02851509,3.012481E-5,1.27428E-8,2.290049E-7,0.04210408,0.01649056,1.920587E-13,2.129746E-12,4.753219E-9,1.454944E-16,1.216629E-10,10.60736,9.57658E-5,668640.3,668640.3
3.085448E-6,15.6951,-8.433931E8,1349.437,1349.437,0.001503379,1.0,0.9127233,5.182771E-5,3.98034E-7,1.878669E-5,2.435716E-6,2.936416E-9,6.93853E-10,2.557321E-5,9.597495E-12,0.02849761,1.161654E-4,3.398864E-7,4.174798E-6,0.04206725,0.0163983,3.524564E-11,3.993688E-10,9.867833E-8,9.564126E-14,2.203975E-9,10.60657,9.57865E-5,668590.4,668590.4
1.330114E-5,15.68515,-5.682062E8,1347.989,1347.989,0.001503379,1.0,0.9120334,4.159501E-4,6.051465E-6,3.089594E-4,4.395867E-5,1.477732E-7,1.620126E-8,4.196669E-4,2.913526E-9,0.02834095,5.138858E-4,6.077559E-6,6.379667E-5,0.04172764,0.01591358,5.430198E-9,4.081174E-8,1.763519E-6,4.663926E-11,3.576515E-8,10.60192,9.584728E-5,668297.1,668297.1
4.13943E-5,15.68103,-1.510626E8,1346.31,1346.31,0.001503379,1.0,0.9101268,0.001422633,2.284707E-5,0.001224055,1.792405E-4,1.806799E-6,1.342854E-7,0.001671736,5.322695E-8,0.02834748,9.724997E-4,2.790006E-5,2.496111E-4,0.04084473,0.01466057,9.996308E-8,4.399501E-7,8.689491E-6,1.377921E-9,2.212537E-7,10.59149,9.587248E-5,667639.9,667639.9
7.120263E-5,15.6862,-5.839677E7,1345.753,1345.753,0.001503379,1.0,0.9083485,0.002380167,3.761814E-5,0.002055867,3.037468E-4,4.828817E-6,3.267248E-7,0.002825298,1.758685E-7,0.02865984,0.001078257,5.539378E-5,4.193821E-4,0.04002944,0.01350354,3.142702E-7,1.156661E-6,1.647329E-5,5.468195E-9,5.706143E-7,10.58362,9.584085E-5,667143.7,667143.7
7.237841E-5,15.68646,-5.66429E7,1345.74,1345.74,0.001503379,1.0,0.9082815,0.002416247,3.8158E-5,0.002086827,3.08413E-4,4.968232E-6,3.354184E-7,0.002868521,1.822508E-7,0.02867406,0.001079983,5.655106E-5,4.25718E-4,0.03999871,0.01346053,3.247558E-7,1.190089E-6,1.678072E-5,5.693523E-9,5.87524E-7,10.58334,9.583926E-5,667126.0,667126.0
7.273537E-5,15.68654,-5.611405E7,1345.736,1345.736,0.001503379,1.0,0.9082612,0.002427178,3.832134E-5,0.002096202,3.098265E-4,5.010824E-6,3.380732E-7,0.002881613,1.84212E-7,0.02867839,0.001080485,5.690315E-5,4.276369E-4,0.0399894,0.01344751,3.279671E-7,1.200308E-6,1.687403E-5,5.762934E-9,5.927024E-7,10.58325,9.583877E-5,667120.7,667120.7
7.278681E-5,15.68656,-5.621518E7,1345.736,1345.736,0.001503379,1.0,0.9082583,0.002428752,3.834486E-5,0.002097552,3.1003E-4,5.016972E-6,3.384563E-7,0.002883499,1.844956E-7,0.02867902,0.001080557,5.695392E-5,4.279132E-4,0.03998806,0.01344563,3.28431E-7,1.201784E-6,1.688748E-5,5.772976E-9,5.934504E-7,10.58324,9.58387E-5,667119.9,667119.9
