Time_Soln#7 (sec),Volume_Soln#7 (cm3),Volumetric_heat_production_rate_Soln#7 (erg/cm3-sec),Surface_temperature_Soln#7 (K),Temperature_Soln#7 (K),Mass_Soln#7 (g),Pressure_Soln#7 (atm),Mole_fraction_H2_Soln#7 (),Mole_fraction_CH4_Soln#7 (),Mole_fraction_C2H6_Soln#7 (),Mole_fraction_C2H4_Soln#7 (),Mole_fraction_C2H2_Soln#7 (),Mole_fraction_C4H6_Soln#7 (),Mole_fraction_C6H6_Soln#7 (),Mole_fraction_C10H8_Soln#7 (),Mole_fraction_C7H8_Soln#7 (),Mole_fraction_C7H7_Soln#7 (),Mole_fraction_STILB_Soln#7 (),Mole_fraction_C6H5C2H_Soln#7 (),Mole_fraction_C6H5C2H3_Soln#7 (),Mole_fraction_C6H5C2H5_Soln#7 (),Mole_fraction_C6H5CHCH3_Soln#7 (),Mole_fraction_BIPHENYL_Soln#7 (),Mole_fraction_C14H10_Soln#7 (),Mole_fraction_C16H10_Soln#7 (),Mole_fraction_C6H5C2H4C6H5_Soln#7 (),Mole_fraction_BIN1A_Soln#7 (),Molecular_weight_Soln#7 (g/mole),Mass_density_Soln#7 (g/cm3),Unburned_hydrocarbons_Soln#7 (ppm),Volatile_organic_compounds_Soln#7 (ppm)
0.0,15.7,-4.37534E8,1300.0,1300.0,0.001561201,1.0,0.9128527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02851745,0.0,0.0,0.0,0.0421063,0.01652353,0.0,0.0,0.0,0.0,0.0,0.0,10.60769,9.943957E-5,668660.8,668660.8
1.041258E-7,15.69992,-4.339677E8,1299.991,1299.991,0.001561201,1.0,0.9128514,2.936759E-8,7.211345E-12,2.117675E-9,2.657347E-9,2.128408E-13,4.769837E-9,8.723968E-19,0.02851738,1.427961E-6,8.006116E-12,2.122998E-10,0.04210636,0.01652195,1.013047E-8,2.219165E-17,9.665616E-12,4.055127E-13,4.458405E-12,1.721712E-13,10.60767,9.944008E-5,668659.8,668659.8
1.173637E-6,15.69914,-3.844249E8,1299.908,1299.908,0.001561201,1.0,0.9128366,3.261677E-6,8.930643E-9,5.923145E-7,7.858188E-8,5.097778E-11,8.130021E-7,9.969469E-15,0.0285162,1.642922E-5,9.254035E-9,1.2627E-7,0.04210468,0.01650551,1.769791E-6,8.962803E-13,3.066393E-9,2.190675E-10,1.061333E-9,9.287209E-11,10.60751,9.944502E-5,668649.9,668649.9
6.214954E-6,15.69619,-3.181153E8,1299.582,1299.582,0.001561201,1.0,0.9127391,5.545893E-5,4.830856E-7,2.357045E-5,2.785093E-6,2.442123E-9,3.206408E-5,1.754185E-11,0.02849694,9.555533E-5,4.837838E-7,4.548904E-6,0.04205805,0.01642066,2.8729E-5,4.61249E-10,1.281525E-7,7.901945E-9,9.602275E-8,3.322803E-9,10.60685,9.946373E-5,668608.1,668608.1
2.727646E-5,15.68857,-2.106155E8,1298.474,1298.474,0.001561201,1.0,0.9121065,3.804819E-4,5.884899E-6,3.21354E-4,3.997647E-5,1.551763E-7,4.312571E-4,3.423939E-9,0.02836019,4.090392E-4,6.898402E-6,5.834515E-5,0.04172374,0.01600592,8.073E-5,3.635355E-8,1.956087E-6,1.105988E-7,6.630494E-6,4.571337E-8,10.60296,9.951204E-5,668362.5,668362.5
8.10505E-5,15.68717,-5.487572E7,1297.348,1297.348,0.001561201,1.0,0.9104587,0.001196937,2.081899E-5,0.001181788,1.491448E-4,1.814185E-6,0.001591889,5.261276E-8,0.0283728,6.782615E-4,2.966985E-5,2.126627E-4,0.04090338,0.01499155,7.567592E-5,3.81006E-7,8.862815E-6,5.844231E-7,5.961292E-5,2.490981E-7,10.59471,9.952092E-5,667842.8,667842.8
1.0E-4,15.6886,-4.106176E7,1297.176,1297.176,0.001561201,1.0,0.9099148,0.00146839,2.568454E-5,0.00146345,1.850915E-4,2.738155E-6,0.001974872,8.438237E-8,0.02843557,7.026182E-4,3.900756E-5,2.632989E-4,0.04063298,0.01465994,7.364492E-5,5.712679E-7,1.142906E-5,8.135107E-7,7.787398E-5,3.518115E-7,10.59234,9.951181E-5,667693.2,667693.2
1.862087E-4,15.69731,-1.917763E7,1296.721,1296.721,0.001561201,1.0,0.9075859,0.002628306,4.612334E-5,0.002648048,3.375735E-4,8.594471E-6,0.003602302,3.295848E-7,0.028804,7.308348E-4,8.644803E-5,4.769486E-4,0.03947573,0.01327244,6.644941E-5,1.805766E-6,2.306088E-5,2.19513E-6,1.285625E-4,1.004533E-6,10.58275,9.945663E-5,667088.7,667088.7
1.941587E-4,15.69817,-1.817819E7,1296.693,1296.693,0.001561201,1.0,0.9073816,0.002729815,4.788965E-5,0.002750468,3.508631E-4,9.246267E-6,0.003744309,3.607204E-7,0.02884035,7.308565E-4,9.099192E-5,4.954718E-4,0.03937409,0.01315329,6.587822E-5,1.946388E-6,2.41182E-5,2.346466E-6,1.311037E-4,1.07863E-6,10.58193,9.945116E-5,667037.4,667037.4
2.0E-4,15.69881,-1.748353E7,1296.673,1296.673,0.001561201,1.0,0.9072326,0.002803872,4.917633E-5,0.002825078,3.60555E-4,9.734955E-6,0.003847888,3.845033E-7,0.02886711,7.307406E-4,9.433152E-5,5.089702E-4,0.03929989,0.01306658,6.546551E-5,2.052221E-6,2.489299E-5,2.459836E-6,1.32809E-4,1.134414E-6,10.58134,9.944714E-5,667000.1,667000.1
