Time_Soln#1 (sec),Volume_Soln#1 (cm3),Volumetric_heat_production_rate_Soln#1 (erg/cm3-sec),Surface_temperature_Soln#1 (K),Temperature_Soln#1 (K),Mass_Soln#1 (g),Pressure_Soln#1 (atm),Mole_fraction_H2_Soln#1 (),Mole_fraction_CH4_Soln#1 (),Mole_fraction_CH3_Soln#1 (),Mole_fraction_C2H6_Soln#1 (),Mole_fraction_C2H4_Soln#1 (),Mole_fraction_C2H3_Soln#1 (),Mole_fraction_C2H2_Soln#1 (),Mole_fraction_C6H6_Soln#1 (),Mole_fraction_C7H8_Soln#1 (),Mole_fraction_C7H7_Soln#1 (),Mole_fraction_STILB_Soln#1 (),Mole_fraction_C6H5C2H_Soln#1 (),Mole_fraction_C6H5C2H3_Soln#1 (),Mole_fraction_C6H5C2H5_Soln#1 (),Mole_fraction_C6H5CHCH3_Soln#1 (),Mole_fraction_C6H5CH2C6H5_Soln#1 (),Mole_fraction_C14H10_Soln#1 (),Mole_fraction_C16H10_Soln#1 (),Mole_fraction_C6H5C2H4C6H5_Soln#1 (),Mole_fraction_C6H5C2H4_Soln#1 (),Molecular_weight_Soln#1 (g/mole),Mass_density_Soln#1 (g/cm3),Unburned_hydrocarbons_Soln#1 (ppm),Volatile_organic_compounds_Soln#1 (ppm)
0.0,15.7,-156924.0,1000.0,1000.0,0.002029562,1.0,0.9128527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02851745,0.0,0.0,0.0,0.0421063,0.01652353,0.0,0.0,0.0,0.0,0.0,0.0,10.60769,1.292714E-4,668660.8,668660.8
1.0E-5,15.69999,-108428.9,999.9998,999.9998,0.002029562,1.0,0.9128527,1.59942E-8,2.700152E-8,7.433771E-11,3.076142E-9,6.388413E-10,1.575325E-10,4.926422E-9,0.02851745,4.386459E-8,1.080704E-10,1.676234E-10,0.04210628,0.01652349,1.068096E-8,7.994011E-12,1.816405E-11,8.131766E-12,2.011161E-12,2.728206E-10,10.60769,1.292715E-4,668660.8,668660.8
2.0E-5,15.69999,-86416.97,999.9996,999.9996,0.002029562,1.0,0.9128526,4.992193E-8,3.754459E-8,4.165242E-10,1.140132E-8,1.204961E-9,4.930014E-10,1.694403E-8,0.02851744,9.005702E-8,3.988867E-10,8.074595E-10,0.04210624,0.01652346,3.557297E-8,2.904072E-11,6.857654E-11,3.889055E-11,8.174629E-12,8.476977E-10,10.60769,1.292715E-4,668660.8,668660.8
3.0E-5,15.69998,-77134.0,999.9995,999.9995,0.002029562,1.0,0.9128526,9.090848E-8,4.173235E-8,9.986329E-10,2.257563E-8,1.486349E-9,9.404966E-10,3.238794E-8,0.02851743,1.37022E-7,7.879183E-10,1.752217E-9,0.04210619,0.01652342,6.676269E-8,5.663741E-11,1.390251E-10,8.421034E-11,1.863419E-11,1.484315E-9,10.60769,1.292715E-4,668660.8,668660.8
4.0E-5,15.69998,-73008.08,999.9994,999.9994,0.002029562,1.0,0.9128525,1.347252E-7,4.345089E-8,1.733943E-9,3.525096E-8,1.631773E-9,1.443975E-9,4.95983E-8,0.02851742,1.840822E-7,1.232529E-9,2.84993E-9,0.04210613,0.01652338,1.007799E-7,8.771612E-11,2.231842E-10,1.368333E-10,3.365906E-11,2.089949E-9,10.60769,1.292715E-4,668660.8,668660.8
5.0E-5,15.69998,-70964.08,999.9993,999.9993,0.002029562,1.0,0.9128524,1.797349E-7,4.419685E-8,2.559785E-9,4.883264E-8,1.719659E-9,1.977683E-9,6.788609E-8,0.02851741,2.309643E-7,1.713097E-9,4.029276E-9,0.04210608,0.01652334,1.362047E-7,1.209765E-10,3.183002E-10,1.933573E-10,5.357191E-11,2.636685E-9,10.60769,1.292715E-4,668660.8,668660.8
6.0E-5,15.69998,-69757.27,999.9992,999.9992,0.002029562,1.0,0.9128524,2.252893E-7,4.456041E-8,3.440847E-9,6.305992E-8,1.784101E-9,2.530675E-9,8.695978E-8,0.0285174,2.775577E-7,2.220235E-9,5.259765E-9,0.04210602,0.0165233,1.724479E-7,1.558516E-10,4.231538E-10,2.523282E-10,7.870998E-11,3.121017E-9,10.60769,1.292715E-4,668660.8,668660.8
7.0E-5,15.69998,-68873.78,999.9991,999.9991,0.002029562,1.0,0.9128523,2.711217E-7,4.47834E-8,4.358942E-9,7.781391E-8,1.839122E-9,3.098317E-9,1.066893E-7,0.0285174,3.238174E-7,2.749137E-9,6.528466E-9,0.04210596,0.01652326,2.092537E-7,1.920763E-10,5.371612E-10,3.131295E-10,1.094105E-10,3.547828E-9,10.60769,1.292716E-4,668660.8,668660.8
8.0E-5,15.69998,-68142.99,999.999,999.999,0.002029562,1.0,0.9128523,3.171445E-7,4.494427E-8,5.305277E-9,9.304351E-8,1.890419E-9,3.678852E-9,1.270219E-7,0.02851739,3.697296E-7,3.297371E-9,7.830462E-9,0.0421059,0.01652322,2.465251E-7,2.29531E-10,6.600421E-10,3.755267E-10,1.460058E-10,3.925012E-9,10.60769,1.292716E-4,668660.8,668660.8
9.0E-5,15.69997,-67541.22,999.9989,999.9989,0.002029562,1.0,0.9128522,3.633291E-7,4.506828E-8,6.276566E-9,1.087268E-7,1.938924E-9,4.271803E-9,1.479345E-7,0.02851738,4.152915E-7,3.863613E-9,9.164453E-9,0.04210584,0.01652318,2.842237E-7,2.681554E-10,7.916401E-10,4.394578E-10,1.888215E-10,4.260517E-9,10.60769,1.292716E-4,668660.8,668660.8
