Time_Soln#12 (sec),Volume_Soln#12 (cm3),Volumetric_heat_production_rate_Soln#12 (erg/cm3-sec),Surface_temperature_Soln#12 (K),Temperature_Soln#12 (K),Mass_Soln#12 (g),Pressure_Soln#12 (atm),Mole_fraction_H2_Soln#12 (),Mole_fraction_CH4_Soln#12 (),Mole_fraction_CH3_Soln#12 (),Mole_fraction_C2H4_Soln#12 (),Mole_fraction_C2H2_Soln#12 (),Mole_fraction_C3H4-P_Soln#12 (),Mole_fraction_C4H4_Soln#12 (),Mole_fraction_C4H2_Soln#12 (),Mole_fraction_C6H6_Soln#12 (),Mole_fraction_C10H8_Soln#12 (),Mole_fraction_C7H8_Soln#12 (),Mole_fraction_C7H7_Soln#12 (),Mole_fraction_STILB_Soln#12 (),Mole_fraction_C6H5C2H_Soln#12 (),Mole_fraction_C6H5C2H3_Soln#12 (),Mole_fraction_C6H5C2H5_Soln#12 (),Mole_fraction_BIPHENYL_Soln#12 (),Mole_fraction_C14H10_Soln#12 (),Mole_fraction_C16H10_Soln#12 (),Mole_fraction_BIN1A_Soln#12 (),Molecular_weight_Soln#12 (g/mole),Mass_density_Soln#12 (g/cm3),Unburned_hydrocarbons_Soln#12 (ppm),Volatile_organic_compounds_Soln#12 (ppm)
0.0,15.7,-1.864933E10,1550.0,1550.0,0.001309395,1.0,0.9128527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02851745,0.0,0.0,0.0,0.0421063,0.01652353,0.0,0.0,0.0,0.0,10.60769,8.340093E-5,668660.8,668660.8
9.121371E-9,15.69973,-1.86017E10,1549.963,1549.963,0.001309395,1.0,0.912847,2.535013E-8,5.966278E-6,3.055482E-9,1.601017E-8,1.644084E-14,4.691273E-12,2.160767E-13,1.824056E-8,5.94636E-18,0.02851692,6.300849E-6,4.044671E-12,5.741511E-10,0.04210668,0.01651671,3.471666E-17,9.268432E-12,2.734708E-13,1.160755E-13,10.60761,8.340235E-5,668656.1,668656.1
1.281464E-7,15.6963,-1.816433E10,1549.483,1549.483,0.001309395,1.0,0.9127701,4.805751E-6,7.904443E-5,7.108307E-7,2.936641E-7,2.681772E-11,9.293361E-10,1.701375E-10,9.043592E-7,2.36104E-14,0.02850932,8.844946E-5,3.21039E-9,2.455474E-7,0.0421092,0.01642784,6.268625E-13,2.677025E-9,1.230832E-10,5.195586E-11,10.60665,8.342062E-5,668595.7,668595.7
8.09969E-7,15.67829,-1.619951E10,1546.909,1546.909,0.001309395,1.0,0.91225,1.553027E-4,3.660497E-4,5.229569E-5,9.418591E-6,4.720803E-9,4.002841E-8,3.330496E-8,6.657605E-5,5.429986E-11,0.02842591,5.676126E-4,5.77698E-7,1.769194E-5,0.04204459,0.01591374,3.083613E-9,2.425829E-7,9.129032E-9,3.73443E-9,10.6012,8.351643E-5,668251.6,668251.6
3.161081E-6,15.6457,-7.131253E9,1541.036,1541.036,0.001309395,1.0,0.9100441,0.001316129,6.100846E-4,7.446331E-4,1.565291E-4,2.014114E-7,5.853233E-7,6.145253E-7,0.001056884,1.509582E-8,0.02803083,0.001991853,1.102467E-5,2.392747E-4,0.04127054,0.01414409,3.028221E-7,4.227825E-6,1.54723E-7,6.059482E-8,10.58294,8.369037E-5,667100.8,667100.8
8.615662E-6,15.64223,-1.45965E9,1536.993,1536.993,0.001309395,1.0,0.9057538,0.004037694,5.004768E-4,0.002319115,5.253423E-4,1.688131E-6,2.938745E-6,2.156593E-6,0.003443184,2.350152E-7,0.02833271,0.003292809,4.344034E-5,7.410221E-4,0.03957545,0.01096301,1.997461E-6,1.683498E-5,1.079248E-6,4.305538E-7,10.55752,8.370893E-5,665498.3,665498.3
1.0E-5,15.64492,-1.014119E9,1536.621,1536.621,0.001309395,1.0,0.9048525,0.004624741,4.726819E-4,0.002635253,6.020773E-4,2.179118E-6,3.62859E-6,2.519925E-6,0.003937372,3.373116E-7,0.02852735,0.003421257,5.176188E-5,8.43109E-4,0.03922211,0.01031598,2.503208E-6,2.001251E-5,1.461229E-6,5.85438E-7,10.55315,8.369454E-5,665223.0,665223.0
1.344582E-5,15.65341,-3.364644E8,1536.14,1536.14,0.001309395,1.0,0.9028289,0.005943015,4.144908E-4,0.003333065,7.751052E-4,3.488589E-6,5.409099E-6,3.423006E-6,0.005045513,6.820668E-7,0.02906406,0.003589712,7.228128E-5,0.00107045,0.03841983,0.008897542,3.839078E-6,2.782124E-5,2.651626E-6,1.075869E-6,10.54412,8.364914E-5,664654.1,664654.1
1.472479E-5,15.65691,-1.799554E8,1536.069,1536.069,0.001309395,1.0,0.9021448,0.006387675,3.959141E-4,0.003566557,8.342265E-4,3.994307E-6,6.082884E-6,3.763803E-6,0.005421633,8.435004E-7,0.02926928,0.00361547,7.972662E-5,0.001147163,0.0381438,0.008429958,4.357067E-6,3.067861E-5,3.171356E-6,1.293886E-6,10.54128,8.363045E-5,664474.6,664474.6
1.750452E-5,15.66476,5.614422E7,1536.037,1536.037,0.001309395,1.0,0.9007622,0.007282953,3.596847E-4,0.004036536,9.552598E-4,5.112163E-6,7.556254E-6,4.524289E-6,0.006186833,1.256997E-6,0.02970972,0.003628027,9.539759E-5,0.001302577,0.03757555,0.007505776,5.513686E-6,3.680175E-5,4.425037E-6,1.829626E-6,10.53578,8.358856E-5,664128.1,664128.1
