Time_Soln#27 (sec),Volume_Soln#27 (cm3),Volumetric_heat_production_rate_Soln#27 (erg/cm3-sec),Surface_temperature_Soln#27 (K),Temperature_Soln#27 (K),Mass_Soln#27 (g),Pressure_Soln#27 (atm),Mole_fraction_H2_Soln#27 (),Mole_fraction_H_Soln#27 (),Mole_fraction_CH4_Soln#27 (),Mole_fraction_CH3_Soln#27 (),Mole_fraction_C2H4_Soln#27 (),Mole_fraction_C2H2_Soln#27 (),Mole_fraction_C3H4-P_Soln#27 (),Mole_fraction_C3H4-A_Soln#27 (),Mole_fraction_C3H3_Soln#27 (),Mole_fraction_C4H4_Soln#27 (),Mole_fraction_C4H2_Soln#27 (),Mole_fraction_C6H6_Soln#27 (),Mole_fraction_C10H8_Soln#27 (),Mole_fraction_C7H8_Soln#27 (),Mole_fraction_C7H7_Soln#27 (),Mole_fraction_BENZYNE_Soln#27 (),Mole_fraction_C6H5C2H_Soln#27 (),Mole_fraction_C6H5C2H3_Soln#27 (),Mole_fraction_C6H5C2H5_Soln#27 (),Mole_fraction_BIN1B_Soln#27 (),Molecular_weight_Soln#27 (g/mole),Mass_density_Soln#27 (g/cm3),Unburned_hydrocarbons_Soln#27 (ppm),Volatile_organic_compounds_Soln#27 (ppm)
0.0,15.7,-3.522127E12,2300.0,2300.0,8.824181E-4,1.0,0.9128527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02851745,0.0,0.0,0.0,0.0421063,0.01652353,0.0,10.60769,5.620498E-5,668660.8,668660.8
5.043617E-11,15.69983,-3.524075E12,2299.947,2299.947,8.824181E-4,1.0,0.9128451,1.82649E-6,8.552351E-10,6.694796E-6,4.998066E-9,1.183587E-7,1.81326E-11,1.020942E-14,2.149126E-10,2.017403E-10,8.179946E-12,1.175243E-7,3.03111E-17,0.02851666,6.995364E-6,3.897549E-10,5.016187E-9,0.04210783,0.01651311,1.578206E-23,10.60756,5.62056E-5,668652.7,668652.7
1.051099E-9,15.6964,-3.532924E12,2298.889,2298.889,8.824181E-4,1.0,0.9126924,4.078444E-5,3.679657E-7,1.381872E-4,1.557638E-7,2.819409E-6,7.866269E-9,1.20117E-11,9.243116E-8,8.649775E-8,7.038098E-9,2.47943E-6,2.755927E-13,0.02850091,1.444078E-4,1.67612E-7,2.046323E-6,0.04213823,0.01630817,2.557966E-18,10.605,5.621788E-5,668491.2,668491.2
4.2162E-9,15.68567,-3.499427E12,2295.555,2295.555,8.824181E-4,1.0,0.912197,1.825127E-4,5.776995E-6,5.378755E-4,1.483335E-6,1.507075E-5,1.272948E-7,5.712145E-10,1.446088E-6,1.343139E-6,2.612539E-7,1.051565E-5,1.884948E-11,0.02844918,5.624623E-4,2.628121E-6,2.748044E-5,0.04222703,0.01568173,5.420873E-16,10.59686,5.625631E-5,667978.2,667978.2
2.139281E-8,15.631,-3.107302E12,2278.551,2278.551,8.824181E-4,1.0,0.9095363,0.001064323,1.309807E-4,0.002338757,3.59382E-5,1.357289E-4,3.416818E-6,6.298596E-8,3.231888E-5,2.875325E-5,1.594662E-5,7.887714E-5,2.762627E-9,0.02811553,0.002462832,5.910184E-5,3.411701E-4,0.04251972,0.01278449,2.017108E-13,10.55515,5.64531E-5,665349.3,665349.3
2.533041E-8,15.61925,-3.01798E12,2274.949,2274.949,8.824181E-4,1.0,0.9089609,0.001259026,1.786275E-4,0.002678491,5.027271E-5,1.717113E-4,4.810072E-6,1.026533E-7,4.398561E-5,3.873199E-5,2.35785E-5,1.01027E-4,4.801083E-9,0.02802717,0.002825951,8.040031E-5,4.226922E-4,0.04254881,0.01222176,3.728731E-13,10.54639,5.649554E-5,664797.1,664797.1
2.828889E-8,15.61061,-2.953928E12,2272.312,2272.312,8.824181E-4,1.0,0.9085381,0.001401216,2.182841E-4,0.002918766,6.25036E-5,2.004418E-4,6.007884E-6,1.411762E-7,5.368157E-5,4.690374E-5,3.031214E-5,1.192198E-4,6.945461E-9,0.02795816,0.003083908,9.805001E-5,4.841107E-4,0.0425627,0.0118201,5.595223E-13,10.54,5.652683E-5,664394.1,664394.1
3.115569E-8,15.60237,-2.894402E12,2269.809,2269.809,8.824181E-4,1.0,0.9081359,0.001535526,2.596462E-4,0.003140154,7.550188E-5,2.296373E-4,7.288025E-6,1.863897E-7,6.378613E-5,5.531273E-5,3.764381E-5,1.380902E-4,9.639331E-9,0.02788926,0.003322497,1.163851E-4,5.436152E-4,0.04257004,0.01144714,8.002057E-13,10.53395,5.655667E-5,664012.8,664012.8
3.371226E-8,15.59514,-2.843384E12,2267.62,2267.62,8.824181E-4,1.0,0.9077833,0.001652388,2.988228E-4,0.003328617,8.801106E-5,2.56784E-4,8.525532E-6,2.33776E-7,7.335256E-5,6.317956E-5,4.484305E-5,1.559303E-4,1.2643E-8,0.0278262,0.003526336,1.336828E-4,5.966146E-4,0.04257173,0.01112735,1.07459E-12,10.52867,5.658289E-5,663680.0,663680.0
3.639203E-8,15.58767,-2.791921E12,2265.367,2265.367,8.824181E-4,1.0,0.9074195,0.001771934,3.420712E-4,0.003517577,1.020179E-4,2.863518E-4,9.916216E-6,2.910823E-7,8.391187E-5,7.176227E-5,5.304833E-5,1.756352E-4,1.649368E-8,0.02775855,0.003731432,1.527011E-4,6.5207E-4,0.04256884,0.01080449,1.433642E-12,10.52325,5.661E-5,663338.3,663338.3
