Time_Soln#2 (sec),Volume_Soln#2 (cm3),Volumetric_heat_production_rate_Soln#2 (erg/cm3-sec),Surface_temperature_Soln#2 (K),Temperature_Soln#2 (K),Mass_Soln#2 (g),Pressure_Soln#2 (atm),Mole_fraction_H2_Soln#2 (),Mole_fraction_CH4_Soln#2 (),Mole_fraction_C2H6_Soln#2 (),Mole_fraction_C2H4_Soln#2 (),Mole_fraction_C2H2_Soln#2 (),Mole_fraction_C4H6_Soln#2 (),Mole_fraction_C6H6_Soln#2 (),Mole_fraction_C7H8_Soln#2 (),Mole_fraction_C7H7_Soln#2 (),Mole_fraction_STILB_Soln#2 (),Mole_fraction_C6H5C2H_Soln#2 (),Mole_fraction_C6H5C2H3_Soln#2 (),Mole_fraction_C6H5C2H5_Soln#2 (),Mole_fraction_C6H5CHCH3_Soln#2 (),Mole_fraction_BIPHENYL_Soln#2 (),Mole_fraction_FLUORENE_Soln#2 (),Mole_fraction_C14H10_Soln#2 (),Mole_fraction_C16H10_Soln#2 (),Mole_fraction_C6H5C2H4C6H5_Soln#2 (),Mole_fraction_NPBENZ_Soln#2 (),Molecular_weight_Soln#2 (g/mole),Mass_density_Soln#2 (g/cm3),Unburned_hydrocarbons_Soln#2 (ppm),Volatile_organic_compounds_Soln#2 (ppm)
0.0,15.7,-916319.4,1050.0,1050.0,0.001932916,1.0,0.9128527,0.0,0.0,0.0,0.0,0.0,0.0,0.02851745,0.0,0.0,0.0,0.0421063,0.01652353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.60769,1.231157E-4,668660.8,668660.8
7.119975E-6,15.69982,-668874.3,1049.999,1049.999,0.001932916,1.0,0.9128525,6.151187E-8,2.561985E-10,1.182892E-8,7.222338E-10,2.083528E-14,1.854139E-8,0.02851744,1.772271E-7,3.703165E-10,9.926769E-10,0.04210624,0.01652335,4.086129E-8,4.315916E-16,1.748882E-11,6.955772E-11,2.220702E-11,9.088352E-12,4.479116E-14,10.60769,1.231158E-4,668660.7,668660.7
5.710773E-5,15.69977,-449386.7,1049.995,1049.995,0.001932916,1.0,0.9128509,1.272829E-6,1.799697E-8,4.036219E-7,1.964595E-8,1.019791E-12,5.420422E-7,0.02851718,1.50469E-6,1.307534E-8,4.032185E-8,0.04210493,0.016522,9.832236E-7,7.810487E-14,5.77859E-10,2.757993E-9,8.930643E-10,8.60092E-10,2.28683E-11,10.60768,1.231162E-4,668660.4,668660.4
3.479456E-4,15.69952,-366690.2,1049.976,1049.976,0.001932916,1.0,0.9128373,9.565713E-6,2.509961E-7,5.660498E-6,2.476503E-7,6.954859E-11,7.433961E-6,0.02851576,8.187757E-6,1.860923E-7,5.334239E-7,0.0420932,0.01651335,7.780379E-6,8.350087E-12,8.140169E-9,5.744933E-8,1.18291E-8,8.519128E-8,1.7668E-9,10.60766,1.231181E-4,668658.9,668658.9
0.001,15.69916,-255782.6,1049.943,1049.943,0.001932916,1.0,0.9127858,3.283517E-5,1.482208E-6,3.462268E-5,1.440319E-6,2.310783E-9,4.537869E-5,0.02851049,1.838738E-5,1.142453E-6,3.163806E-6,0.04204891,0.01648963,2.425573E-5,2.79363E-10,5.019509E-8,3.775715E-7,7.048339E-8,1.218606E-6,2.603457E-8,10.60757,1.23121E-4,668653.5,668653.5
0.002,15.69906,-159584.8,1049.91,1049.91,0.001932916,1.0,0.9126598,7.909545E-5,5.009656E-6,1.181443E-4,4.824073E-6,2.654327E-8,1.549123E-4,0.02849218,2.718054E-5,3.932419E-6,1.067059E-5,0.04194742,0.01644369,4.432966E-5,3.146869E-9,1.733054E-7,1.245045E-6,2.39378E-7,5.709604E-6,1.398563E-7,10.60731,1.231218E-4,668636.8,668636.8
0.003,15.69933,-100650.6,1049.889,1049.889,0.001932916,1.0,0.9124962,1.338435E-4,9.928475E-6,2.330514E-4,9.45904E-6,1.030317E-7,3.059373E-4,0.02846408,3.177711E-5,7.861797E-6,2.097084E-5,0.04182241,0.01639031,5.636468E-5,1.212388E-8,3.45625E-7,2.389016E-6,4.73445E-7,1.238594E-5,3.386669E-7,10.60691,1.231196E-4,668611.7,668611.7
0.004,15.69984,-64159.32,1049.876,1049.876,0.001932916,1.0,0.9123117,1.932544E-4,1.570739E-5,3.650214E-4,1.477667E-5,2.52361E-7,4.798653E-4,0.0284308,3.424387E-5,1.250956E-5,3.279927E-5,0.04168559,0.01633298,6.27538E-5,2.964018E-8,5.466682E-7,3.681737E-6,7.447671E-7,1.990795E-5,5.96169E-7,10.60643,1.231156E-4,668581.6,668581.6
0.005,15.70048,-41200.47,1049.868,1049.868,0.001932916,1.0,0.9121165,2.550168E-4,2.201929E-5,5.053742E-4,2.043143E-5,4.829788E-7,6.653934E-4,0.02839546,3.561186E-5,1.760594E-5,4.538876E-5,0.04154323,0.01627375,6.588846E-5,5.677499E-8,7.633633E-7,5.051699E-6,1.036109E-6,2.744253E-5,8.899726E-7,10.60591,1.231106E-4,668549.0,668549.0
0.006,15.7012,-25912.62,1049.862,1049.862,0.001932916,1.0,0.911916,3.178777E-4,2.86818E-5,6.494111E-4,2.623586E-5,7.961959E-7,8.56376E-4,0.02835974,3.640959E-5,2.29902E-5,5.832355E-5,0.04139852,0.01621371,6.729786E-5,9.380919E-8,9.882034E-7,6.460905E-6,1.337984E-6,3.457851E-5,1.205828E-6,10.60537,1.23105E-4,668515.0,668515.0
