Time_Soln#9 (sec),Volume_Soln#9 (cm3),Volumetric_heat_production_rate_Soln#9 (erg/cm3-sec),Surface_temperature_Soln#9 (K),Temperature_Soln#9 (K),Mass_Soln#9 (g),Pressure_Soln#9 (atm),Mole_fraction_H2_Soln#9 (),Mole_fraction_CH4_Soln#9 (),Mole_fraction_CH3_Soln#9 (),Mole_fraction_C2H6_Soln#9 (),Mole_fraction_C2H4_Soln#9 (),Mole_fraction_C2H2_Soln#9 (),Mole_fraction_C4H6_Soln#9 (),Mole_fraction_C6H6_Soln#9 (),Mole_fraction_C7H8_Soln#9 (),Mole_fraction_C7H7_Soln#9 (),Mole_fraction_STILB_Soln#9 (),Mole_fraction_C6H5C2H_Soln#9 (),Mole_fraction_C6H5C2H3_Soln#9 (),Mole_fraction_C6H5C2H5_Soln#9 (),Mole_fraction_C6H5CHCH3_Soln#9 (),Mole_fraction_BIPHENYL_Soln#9 (),Mole_fraction_C14H10_Soln#9 (),Mole_fraction_C16H10_Soln#9 (),Mole_fraction_C6H5C2H4C6H5_Soln#9 (),Mole_fraction_BIN1A_Soln#9 (),Molecular_weight_Soln#9 (g/mole),Mass_density_Soln#9 (g/cm3),Unburned_hydrocarbons_Soln#9 (ppm),Volatile_organic_compounds_Soln#9 (ppm)
0.0,15.7,-2.4144E9,1400.0,1400.0,0.001449687,1.0,0.9128527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02851745,0.0,0.0,0.0,0.0421063,0.01652353,0.0,0.0,0.0,0.0,0.0,0.0,10.60769,9.233675E-5,668660.8,668660.8
3.565226E-8,15.69986,-2.404306E9,1399.983,1399.983,0.001449687,1.0,0.9128501,2.907252E-8,2.800752E-6,5.69884E-12,2.325361E-9,5.895501E-9,7.308159E-13,7.982986E-9,0.02851728,2.900436E-6,5.481298E-12,2.564066E-10,0.04210644,0.01652035,1.316782E-8,2.52166E-17,9.751807E-12,2.658111E-13,4.903365E-12,1.128459E-13,10.60765,9.23376E-5,668658.7,668658.7
5.208093E-7,15.69794,-2.251624E9,1399.754,1399.754,0.001449687,1.0,0.9128114,5.662971E-6,3.574652E-5,1.511156E-8,9.500242E-7,1.739676E-7,2.630708E-10,1.207378E-6,0.02851414,4.281864E-5,9.764022E-9,2.503428E-7,0.04210487,0.01647677,2.554678E-6,1.885692E-12,4.392027E-9,2.375571E-10,2.043424E-9,1.005151E-10,10.60721,9.234885E-5,668630.8,668630.8
2.103359E-6,15.69243,-1.995141E9,1399.079,1399.079,0.001449687,1.0,0.9126523,7.115261E-5,9.835404E-5,5.747223E-7,2.552271E-5,3.618256E-6,6.703783E-9,3.434988E-5,0.0284874,1.824398E-4,4.099879E-7,6.356015E-6,0.04205867,0.01632694,2.849599E-5,7.772313E-10,1.297442E-7,6.059121E-9,8.736186E-8,2.533748E-9,10.60582,9.238131E-5,668543.3,668543.3
8.618592E-6,15.67876,-1.188817E9,1396.962,1396.962,0.001449687,1.0,0.9117062,5.722403E-4,1.445713E-4,8.672373E-6,3.976663E-4,6.365092E-5,2.442275E-7,5.461764E-4,0.02828569,7.471304E-4,7.247647E-6,9.246723E-5,0.04163224,0.01563581,8.80509E-5,7.377977E-8,2.232503E-6,9.828509E-8,4.758554E-6,4.002708E-8,10.59901,9.246182E-5,668113.8,668113.8
1.0E-5,15.67732,-1.043583E9,1396.65,1396.65,0.001449687,1.0,0.9114952,6.866259E-4,1.439609E-4,1.068819E-5,4.927026E-4,7.953727E-5,3.486675E-7,6.775539E-4,0.02825917,8.387596E-4,9.083732E-6,1.141806E-4,0.04153763,0.01549018,8.823648E-5,1.046851E-7,2.827264E-6,1.257427E-7,6.927663E-6,5.118353E-8,10.59762,9.247034E-5,668026.0,668026.0
2.0E-5,15.67351,-4.633467E8,1395.226,1395.226,0.001449687,1.0,0.9100818,0.001473553,1.320637E-4,2.394033E-5,0.001123946,1.861034E-4,1.481008E-6,0.001555954,0.02826291,0.001257226,2.274411E-5,2.584827E-4,0.04092128,0.01451381,7.695059E-5,4.172581E-7,7.401268E-6,3.900386E-7,3.087399E-5,1.60919E-7,10.58939,9.249281E-5,667507.2,667507.2
3.0E-5,15.67508,-2.353452E8,1394.548,1394.548,0.001449687,1.0,0.9088217,0.002191902,1.228337E-4,3.506556E-5,0.001669775,2.791703E-4,3.057399E-6,0.002323589,0.02844973,0.001442002,3.744911E-5,3.838314E-4,0.04038188,0.01364338,6.949423E-5,8.419827E-7,1.213201E-5,7.86413E-7,5.854759E-5,3.306017E-7,10.58318,9.248353E-5,667115.9,667115.9
4.0E-5,15.6788,-1.263002E8,1394.194,1394.194,0.001449687,1.0,0.9076566,0.002860594,1.157503E-4,4.478033E-5,0.002164833,3.644453E-4,4.951942E-6,0.003026328,0.02870829,0.001526691,5.337939E-5,4.980348E-4,0.03988414,0.01284747,6.45883E-5,1.35745E-6,1.690507E-5,1.313839E-6,8.182899E-5,5.624762E-7,10.57798,9.246163E-5,666788.2,666788.3
5.0E-5,15.68345,-6.765508E7,1394.002,1394.002,0.001449687,1.0,0.9065618,0.003489475,1.097528E-4,5.343175E-5,0.002623859,4.443526E-4,7.092467E-6,0.003683537,0.02899489,0.001563614,7.008605E-5,6.043723E-4,0.03941464,0.01211121,6.077486E-5,1.950282E-6,2.166479E-5,1.957677E-6,9.887121E-5,8.530124E-7,10.57339,9.243421E-5,666499.0,666499.0
5.736101E-5,15.68715,-4.046573E7,1393.923,1393.923,0.001449687,1.0,0.9057938,0.00393023,1.057765E-4,5.923479E-5,0.002943042,5.004292E-4,8.793006E-6,0.004143781,0.02921172,0.001574056,8.257955E-5,6.785708E-4,0.03908333,0.01160224,5.836304E-5,2.429571E-6,2.514122E-5,2.496461E-6,1.077651E-4,1.101646E-6,10.57029,9.24124E-5,666303.8,666303.8
5.977429E-5,15.68839,-3.340173E7,1393.905,1393.905,0.001449687,1.0,0.9055484,0.004070949,1.045355E-4,6.104385E-5,0.00304461,5.183657E-4,9.369956E-6,0.004290808,0.02928296,0.001575405,8.667735E-5,7.022262E-4,0.03897704,0.01144097,5.762537E-5,2.593852E-6,2.627433E-5,2.683863E-6,1.101005E-4,1.189213E-6,10.56932,9.24051E-5,666242.4,666242.4
6.0E-5,15.6885,-3.286776E7,1393.903,1393.903,0.001449687,1.0,0.9055256,0.004084018,1.044208E-4,6.12108E-5,0.003054037,5.200325E-4,9.424367E-6,0.004304466,0.02928962,0.001575487,8.706028E-5,7.044226E-4,0.03896715,0.01142602,5.755754E-5,2.609388E-6,2.638012E-5,2.701647E-6,1.103055E-4,1.197552E-6,10.56923,9.240441E-5,666236.8,666236.8
6.007614E-5,15.68854,-3.265239E7,1393.903,1393.903,0.001449687,1.0,0.9055179,0.004088423,1.043822E-4,6.126703E-5,0.003057214,5.205944E-4,9.442739E-6,0.00430907,0.02929186,0.001575514,8.718944E-5,7.051629E-4,0.03896382,0.01142098,5.753464E-5,2.614636E-6,2.641581E-5,2.707656E-6,1.103742E-4,1.20037E-6,10.5692,9.240418E-5,666234.9,666234.9
6.010909E-5,15.68856,-3.259332E7,1393.903,1393.903,0.001449687,1.0,0.9055146,0.004090328,1.043655E-4,6.129135E-5,0.003058588,5.208374E-4,9.45069E-6,0.004311061,0.02929283,0.001575525,8.724532E-5,7.054831E-4,0.03896238,0.0114188,5.752474E-5,2.616907E-6,2.643124E-5,2.710258E-6,1.104038E-4,1.201591E-6,10.56919,9.240408E-5,666234.0,666234.0
6.016958E-5,15.68859,-3.234138E7,1393.902,1393.902,0.001449687,1.0,0.9055085,0.004093826,1.043348E-4,6.133598E-5,0.00306111,5.212836E-4,9.465295E-6,0.004314717,0.02929462,0.001575545,8.734793E-5,7.060709E-4,0.03895973,0.01141481,5.750657E-5,2.621079E-6,2.645959E-5,2.715037E-6,1.104581E-4,1.203833E-6,10.56916,9.24039E-5,666232.5,666232.5
6.112404E-5,15.68908,-2.98578E7,1393.896,1393.896,0.001449687,1.0,0.9054125,0.004148868,1.038535E-4,6.203657E-5,0.003100791,5.283063E-4,9.696454E-6,0.004372251,0.02932275,0.001575795,8.896615E-5,7.153198E-4,0.03891806,0.01135193,5.722252E-5,2.687191E-6,2.690651E-5,2.790863E-6,1.112936E-4,1.239454E-6,10.56879,9.240099E-5,666208.7,666208.7
6.115919E-5,15.6891,-2.97604E7,1393.896,1393.896,0.001449687,1.0,0.905409,0.004150889,1.038359E-4,6.206224E-5,0.003102248,5.285643E-4,9.704989E-6,0.004374364,0.02932379,0.001575801,8.90257E-5,7.156595E-4,0.03891653,0.01134962,5.721211E-5,2.689635E-6,2.692295E-5,2.793669E-6,1.113236E-4,1.240774E-6,10.56877,9.240088E-5,666207.8,666207.8
6.118037E-5,15.68911,-2.965398E7,1393.896,1393.896,0.001449687,1.0,0.9054069,0.004152107,1.038253E-4,6.207771E-5,0.003103126,5.287198E-4,9.710135E-6,0.004375637,0.02932441,0.001575806,8.906159E-5,7.158641E-4,0.03891561,0.01134823,5.720584E-5,2.691108E-6,2.693286E-5,2.795361E-6,1.113417E-4,1.24157E-6,10.56876,9.240082E-5,666207.3,666207.3
6.128215E-5,15.68917,-2.938478E7,1393.895,1393.895,0.001449687,1.0,0.9053966,0.004157959,1.037742E-4,6.215199E-5,0.003107343,5.294666E-4,9.734872E-6,0.004381755,0.02932741,0.001575824,8.923406E-5,7.168473E-4,0.03891118,0.01134155,5.717574E-5,2.698191E-6,2.698048E-5,2.803497E-6,1.114282E-4,1.245398E-6,10.56872,9.240051E-5,666204.8,666204.8
6.16039E-5,15.68933,-2.862606E7,1393.893,1393.893,0.001449687,1.0,0.9053644,0.004176436,1.036131E-4,6.23863E-5,0.003120659,5.31825E-4,9.813159E-6,0.004401072,0.02933689,0.001575875,8.977912E-5,7.199517E-4,0.03889718,0.01132047,5.70809E-5,2.720619E-6,2.713098E-5,2.82927E-6,1.116991E-4,1.25753E-6,10.5686,9.239953E-5,666196.8,666196.8
6.164679E-5,15.68936,-2.843541E7,1393.893,1393.893,0.001449687,1.0,0.9053601,0.004178897,1.035916E-4,6.241748E-5,0.003122432,5.321391E-4,9.823606E-6,0.004403645,0.02933815,0.001575881,8.985176E-5,7.203651E-4,0.03889531,0.01131766,5.706829E-5,2.723613E-6,2.715103E-5,2.832712E-6,1.117349E-4,1.259151E-6,10.56858,9.239939E-5,666195.7,666195.7
