Time_Soln#29 (sec),Volume_Soln#29 (cm3),Volumetric_heat_production_rate_Soln#29 (erg/cm3-sec),Surface_temperature_Soln#29 (K),Temperature_Soln#29 (K),Mass_Soln#29 (g),Pressure_Soln#29 (atm),Mole_fraction_H2_Soln#29 (),Mole_fraction_H_Soln#29 (),Mole_fraction_CH4_Soln#29 (),Mole_fraction_CH3_Soln#29 (),Mole_fraction_C2H4_Soln#29 (),Mole_fraction_C2H2_Soln#29 (),Mole_fraction_C3H4-P_Soln#29 (),Mole_fraction_C3H4-A_Soln#29 (),Mole_fraction_C3H3_Soln#29 (),Mole_fraction_C4H4_Soln#29 (),Mole_fraction_C4H2_Soln#29 (),Mole_fraction_C6H6_Soln#29 (),Mole_fraction_C10H8_Soln#29 (),Mole_fraction_C7H8_Soln#29 (),Mole_fraction_C7H7_Soln#29 (),Mole_fraction_BENZYNE_Soln#29 (),Mole_fraction_C6H5C2H_Soln#29 (),Mole_fraction_C6H5C2H3_Soln#29 (),Mole_fraction_C6H5C2H5_Soln#29 (),Mole_fraction_BIN1B_Soln#29 (),Molecular_weight_Soln#29 (g/mole),Mass_density_Soln#29 (g/cm3),Unburned_hydrocarbons_Soln#29 (ppm),Volatile_organic_compounds_Soln#29 (ppm)
0.0,15.7,-5.738663E12,2400.0,2400.0,8.456507E-4,1.0,0.9128527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02851745,0.0,0.0,0.0,0.0421063,0.01652353,0.0,10.60769,5.38631E-5,668660.8,668660.8
2.247983E-11,15.69988,-5.740928E12,2399.96,2399.96,8.456507E-4,1.0,0.9128473,1.926265E-6,2.859899E-10,4.207806E-6,3.686052E-9,9.776369E-8,1.53242E-11,4.481621E-15,1.305085E-10,1.210443E-10,4.514952E-12,9.733765E-8,1.38955E-17,0.0285169,4.370919E-6,1.779547E-10,2.604518E-9,0.04210701,0.01651636,4.391017E-24,10.60759,5.386352E-5,668654.8,668654.8
5.670349E-10,15.69696,-5.75926E12,2398.988,2398.988,8.456507E-4,1.0,0.9127135,5.060902E-5,1.799876E-7,1.05353E-4,1.276348E-7,2.735271E-6,9.670765E-9,7.820843E-12,8.206698E-8,7.595647E-8,5.738029E-9,2.47223E-6,2.226634E-13,0.02850347,1.093876E-4,1.119355E-7,1.595506E-6,0.04212441,0.01634394,1.516993E-18,10.60527,5.387352E-5,668508.2,668508.2
2.276224E-9,15.68789,-5.743664E12,2395.939,2395.939,8.456507E-4,1.0,0.9122821,2.179562E-4,2.844763E-6,4.132479E-4,1.07309E-6,1.415585E-5,1.544992E-7,3.740872E-10,1.291953E-6,1.189423E-6,2.217612E-7,1.023584E-5,1.588934E-11,0.0284597,4.285488E-4,1.766678E-6,2.324432E-5,0.04217413,0.01581798,3.498543E-16,10.59791,5.390467E-5,668044.4,668044.4
1.234145E-8,15.63705,-5.333124E12,2378.585,2378.585,8.456507E-4,1.0,0.9096594,0.001357469,7.4937E-5,0.001968622,2.719459E-5,1.526523E-4,4.41987E-6,5.09136E-8,3.349953E-5,2.962534E-5,1.804503E-5,7.359937E-5,3.084484E-9,0.0281513,0.002033224,4.620085E-5,4.118193E-4,0.04231045,0.01313521,1.823345E-13,10.55536,5.407993E-5,665362.2,665362.2
2.229421E-8,15.59075,-4.824555E12,2362.956,2362.956,8.456507E-4,1.0,0.9072195,0.002420101,2.210695E-4,0.003164794,8.660837E-5,3.646785E-4,1.399812E-5,2.828951E-7,9.800027E-5,8.282753E-5,6.915434E-5,1.70049E-4,1.951032E-8,0.02776956,0.0032616,1.349948E-4,9.109925E-4,0.04224263,0.01104408,1.460627E-12,10.51714,5.424053E-5,662953.1,662953.2
2.312744E-8,15.58704,-4.784175E12,2361.718,2361.718,8.456507E-4,1.0,0.9070259,0.002501521,2.3598E-4,0.003252725,9.290769E-5,3.847295E-4,1.501556E-5,3.144141E-7,1.045478E-4,8.802999E-5,7.480474E-5,1.794924E-4,2.190447E-8,0.02773475,0.003351663,1.439608E-4,9.527018E-4,0.04222984,0.01088952,1.662452E-12,10.51413,5.425344E-5,662763.6,662763.7
2.584184E-8,15.57513,-4.656158E12,2357.759,2357.759,8.456507E-4,1.0,0.9064068,0.002758246,2.870317E-4,0.003527837,1.146912E-4,4.521274E-4,1.853658E-5,4.323948E-7,1.269263E-4,1.055839E-4,9.453297E-5,2.115628E-4,3.113327E-8,0.02761874,0.003633163,1.745253E-4,0.001087461,0.04218164,0.01040527,2.462086E-12,10.50454,5.429495E-5,662158.9,662159.0
2.720225E-8,15.56925,-4.594093E12,2355.815,2355.815,8.456507E-4,1.0,0.906103,0.002882048,3.139745E-4,0.003659499,1.263039E-4,4.870482E-4,2.041477E-5,5.007714E-7,1.387135E-4,1.146968E-4,1.051524E-4,2.283574E-4,3.66577E-8,0.02755918,0.003767712,1.905718E-4,0.001154267,0.04215393,0.01017317,2.954464E-12,10.49984,5.431545E-5,661862.8,661862.9
2.918277E-8,15.5608,-4.50627E12,2353.032,2353.032,8.456507E-4,1.0,0.9056683,0.003056581,3.547184E-4,0.003844192,1.439936E-4,5.3918E-4,2.327634E-5,6.119635E-7,1.565098E-4,1.282935E-4,1.214452E-4,2.536239E-4,4.588977E-8,0.02747091,0.003956238,2.14727E-4,0.001250564,0.04210962,0.009847241,3.796129E-12,10.49313,5.434494E-5,661439.7,661439.7
4.1512E-8,15.51097,-4.023398E12,2336.839,2336.839,8.456507E-4,1.0,0.9031452,0.004001929,6.429911E-4,0.004833037,2.721124E-4,8.946529E-4,4.392585E-5,1.650109E-6,2.815801E-4,2.191487E-4,2.425867E-4,4.300246E-4,1.434276E-7,0.02688747,0.004959598,3.817942E-4,0.001822661,0.04174434,0.008096216,1.360654E-11,10.45439,5.451951E-5,658997.8,658997.9
5.493309E-8,15.46156,-3.601313E12,2321.106,2321.106,8.456507E-4,1.0,0.9007013,0.004795496,0.001008345,0.005662186,4.383554E-4,0.001333225,7.021136E-5,3.547798E-6,4.384561E-4,3.237066E-4,4.058443E-4,6.52025E-4,3.57478E-7,0.02620808,0.005788235,5.839407E-4,0.002393875,0.04121688,0.006621918,3.851639E-11,10.41719,5.469374E-5,656653.1,656653.2
