Time_Soln#3 (sec),Volume_Soln#3 (cm3),Volumetric_heat_production_rate_Soln#3 (erg/cm3-sec),Surface_temperature_Soln#3 (K),Temperature_Soln#3 (K),Mass_Soln#3 (g),Pressure_Soln#3 (atm),Mole_fraction_H2_Soln#3 (),Mole_fraction_CH4_Soln#3 (),Mole_fraction_CH3_Soln#3 (),Mole_fraction_C2H6_Soln#3 (),Mole_fraction_C2H4_Soln#3 (),Mole_fraction_C2H2_Soln#3 (),Mole_fraction_C6H6_Soln#3 (),Mole_fraction_C7H8_Soln#3 (),Mole_fraction_C7H7_Soln#3 (),Mole_fraction_STILB_Soln#3 (),Mole_fraction_C6H5C2H_Soln#3 (),Mole_fraction_C6H5C2H3_Soln#3 (),Mole_fraction_C6H5C2H5_Soln#3 (),Mole_fraction_C6H5CHCH3_Soln#3 (),Mole_fraction_FLUORENE_Soln#3 (),Mole_fraction_C6H5CH2C6H5_Soln#3 (),Mole_fraction_C14H10_Soln#3 (),Mole_fraction_C16H10_Soln#3 (),Mole_fraction_C6H5C2H4C6H5_Soln#3 (),Mole_fraction_NPBENZ_Soln#3 (),Molecular_weight_Soln#3 (g/mole),Mass_density_Soln#3 (g/cm3),Unburned_hydrocarbons_Soln#3 (ppm),Volatile_organic_compounds_Soln#3 (ppm)
0.0,15.7,-4222013.0,1100.0,1100.0,0.001845056,1.0,0.9128527,0.0,0.0,0.0,0.0,0.0,0.0,0.02851745,0.0,0.0,0.0,0.0421063,0.01652353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.60769,1.175195E-4,668660.8,668660.8
2.201928E-6,15.69971,-3720395.0,1099.999,1099.999,0.001845056,1.0,0.9128525,4.19339E-8,2.076814E-7,6.871686E-11,6.182142E-9,6.536533E-10,9.845407E-9,0.02851744,2.525508E-7,1.452613E-10,5.384499E-10,0.04210628,0.01652326,2.411349E-8,7.653478E-12,1.320951E-11,3.355593E-11,6.267917E-12,5.704723E-12,1.198281E-14,10.60768,1.175196E-4,668660.6,668660.6
1.0E-5,15.69966,-2679199.0,1099.994,1099.994,0.001845056,1.0,0.9128514,6.059977E-7,5.577997E-7,3.780784E-9,1.427516E-7,9.364677E-9,2.06575E-7,0.02851731,1.202843E-6,4.139457E-9,1.701516E-8,0.04210577,0.01652225,4.269029E-7,2.06867E-10,3.570386E-10,8.385655E-10,1.936956E-10,1.501624E-10,2.970187E-12,10.60768,1.1752E-4,668660.2,668660.2
2.0E-5,15.69961,-2327259.0,1099.99,1099.99,0.001845056,1.0,0.9128499,1.697683E-6,6.756584E-7,1.563694E-8,4.859097E-7,3.022787E-8,6.666233E-7,0.02851706,2.470952E-6,1.425768E-8,5.732433E-8,0.04210467,0.0165209,1.250929E-6,6.955258E-10,1.200173E-9,2.934818E-9,6.510522E-10,7.484827E-10,2.394978E-11,10.60767,1.175204E-4,668659.9,668659.9
3.0E-5,15.69956,-2253825.0,1099.986,1099.986,0.001845056,1.0,0.9128482,2.898618E-6,7.065218E-7,3.155552E-8,9.292983E-7,5.642965E-8,1.249571E-6,0.02851677,3.746605E-6,2.739844E-8,1.078925E-7,0.04210341,0.01651953,2.165249E-6,1.324381E-9,2.284563E-9,5.847948E-9,1.224803E-9,2.02848E-9,7.08252E-11,10.60767,1.175207E-4,668659.5,668659.5
4.0E-5,15.69951,-2237142.0,1099.983,1099.983,0.001845056,1.0,0.9128465,4.134026E-6,7.199549E-7,4.992296E-8,1.444165E-6,8.632051E-8,1.923377E-6,0.02851648,5.01674E-6,4.270391E-8,1.656679E-7,0.04210206,0.01651814,3.10152E-6,2.055396E-9,3.544195E-9,9.460578E-9,1.880567E-9,4.226762E-9,1.470025E-10,10.60766,1.175211E-4,668659.2,668659.2
5.0E-5,15.69947,-2231438.0,1099.979,1099.979,0.001845056,1.0,0.9128446,5.388839E-6,7.298906E-7,7.035459E-8,2.023348E-6,1.195429E-7,2.680262E-6,0.02851617,6.278217E-6,5.994488E-8,2.299942E-7,0.04210064,0.01651673,4.044601E-6,2.878527E-9,4.961393E-9,1.374036E-8,2.611003E-9,7.574861E-9,2.563299E-10,10.60766,1.175214E-4,668658.8,668658.8
6.0E-5,15.69942,-2227361.0,1099.975,1099.975,0.001845056,1.0,0.9128427,6.660022E-6,7.390921E-7,9.276396E-8,2.66497E-6,1.560173E-7,3.518202E-6,0.02851585,7.530011E-6,7.90568E-8,3.007242E-7,0.04209916,0.0165153,4.990767E-6,3.790975E-9,6.530959E-9,1.867619E-8,3.414524E-9,1.229804E-8,4.030872E-10,10.60765,1.175217E-4,668658.5,668658.5
7.0E-5,15.69938,-2222938.0,1099.971,1099.971,0.001845056,1.0,0.9128407,7.946922E-6,7.481222E-7,1.171291E-7,3.368449E-6,1.957221E-7,4.436562E-6,0.02851552,8.771561E-6,1.00019E-7,3.778166E-7,0.04209762,0.01651385,5.938756E-6,4.791868E-9,8.250986E-9,2.426234E-8,4.290738E-9,1.861496E-8,5.916603E-10,10.60764,1.175221E-4,668658.1,668658.1
8.0E-5,15.69933,-2217756.0,1099.968,1099.968,0.001845056,1.0,0.9128387,9.249369E-6,7.570954E-7,1.434413E-7,4.133529E-6,2.386479E-7,5.435045E-6,0.02851518,1.000242E-5,1.228226E-7,4.612518E-7,0.04209602,0.01651239,6.887873E-6,5.880856E-9,1.012042E-8,3.049443E-8,5.239498E-9,2.673747E-8,8.264022E-10,10.60764,1.175224E-4,668657.7,668657.7
9.0E-5,15.69929,-2211730.0,1099.964,1099.964,0.001845056,1.0,0.9128365,1.056729E-5,7.660358E-7,1.716942E-7,4.960022E-6,2.847864E-7,6.513422E-6,0.02851483,1.122218E-5,1.474618E-7,5.510125E-7,0.04209436,0.01651091,7.837565E-6,7.057714E-9,1.213838E-8,3.736826E-8,6.26069E-9,3.687032E-8,1.111577E-9,10.60763,1.175227E-4,668657.3,668657.3
1.0E-4,15.69925,-2204866.0,1099.96,1099.96,0.001845056,1.0,0.9128343,1.190063E-5,7.749406E-7,2.018815E-7,5.847747E-6,3.341289E-7,7.671464E-6,0.02851447,1.243047E-5,1.739313E-7,6.470806E-7,0.04209264,0.01650941,8.787331E-6,8.322237E-9,1.430398E-8,4.487955E-8,7.354185E-9,4.9211E-8,1.451365E-9,10.60762,1.175231E-4,668656.9,668656.9
1.1E-4,15.6992,-2197178.0,1099.956,1099.956,0.001845056,1.0,0.912832,1.324932E-5,7.838106E-7,2.339959E-7,6.796495E-6,3.866654E-7,8.908908E-6,0.0285141,1.36269E-5,2.022252E-7,7.49435E-7,0.04209087,0.01650789,9.736678E-6,9.674186E-9,1.661623E-8,5.302382E-8,8.519823E-9,6.394947E-8,1.849831E-9,10.60762,1.175234E-4,668656.4,668656.4
1.2E-4,15.69916,-2188689.0,1099.953,1099.953,0.001845056,1.0,0.9128297,1.461331E-5,7.926421E-7,2.6803E-7,7.806036E-6,4.423844E-7,1.022546E-5,0.02851372,1.481115E-5,2.323371E-7,8.580521E-7,0.04208903,0.01650636,1.068513E-5,1.111329E-8,1.907402E-8,6.179638E-8,9.757417E-9,8.1268E-8,2.310931E-9,10.60761,1.175237E-4,668656.0,668656.0
1.3E-4,15.69912,-2179425.0,1099.949,1099.949,0.001845056,1.0,0.9128272,1.599252E-5,8.014323E-7,3.039751E-7,8.876115E-6,5.012731E-7,1.162079E-5,0.02851333,1.598287E-5,2.642598E-7,9.729054E-7,0.04208714,0.01650481,1.163222E-5,1.263925E-8,2.167618E-8,7.119232E-8,1.106675E-8,1.013411E-7,2.838497E-9,10.6076,1.17524E-4,668655.5,668655.5
1.4E-4,15.69908,-2169416.0,1099.945,1099.945,0.001845056,1.0,0.9128247,1.738687E-5,8.101772E-7,3.418221E-7,1.000645E-5,5.633174E-7,1.309455E-5,0.02851293,1.714176E-5,2.979855E-7,1.093966E-6,0.04208519,0.01650324,1.25775E-5,1.425171E-8,2.442139E-8,8.120652E-8,1.244757E-8,1.243353E-7,3.436244E-9,10.6076,1.175243E-4,668655.0,668655.0
1.5E-4,15.69904,-2158696.0,1099.942,1099.942,0.001845056,1.0,0.9128221,1.879629E-5,8.18872E-7,3.815612E-7,1.119674E-5,6.285019E-7,1.464634E-5,0.02851252,1.828752E-5,3.335059E-7,1.221202E-6,0.04208319,0.01650165,1.352052E-5,1.595031E-8,2.730828E-8,9.183367E-8,1.38996E-8,1.504092E-7,4.107758E-9,10.60759,1.175246E-4,668654.5,668654.5
1.6E-4,15.699,-2147292.0,1099.938,1099.938,0.001845056,1.0,0.9128195,2.022067E-5,8.27514E-7,4.231817E-7,1.244666E-5,6.968096E-7,1.627574E-5,0.0285121,1.941989E-5,3.70812E-7,1.35458E-6,0.04208114,0.01650005,1.446086E-5,1.773464E-8,3.033534E-8,1.030683E-7,1.542255E-8,1.797131E-7,4.856498E-9,10.60758,1.175249E-4,668654.0,668654.0
1.7E-4,15.69896,-2135237.0,1099.934,1099.934,0.001845056,1.0,0.9128168,2.165993E-5,8.361E-7,4.666724E-7,1.375584E-5,7.682228E-7,1.798229E-5,0.02851167,2.05386E-5,4.098941E-7,1.494064E-6,0.04207903,0.01649843,1.539808E-5,1.960424E-8,3.350099E-8,1.149046E-7,1.701607E-8,2.123891E-7,5.685789E-9,10.60757,1.175252E-4,668653.5,668653.5
1.8E-4,15.69892,-2122560.0,1099.931,1099.931,0.001845056,1.0,0.912814,2.311397E-5,8.446274E-7,5.120216E-7,1.512392E-5,8.427223E-7,1.976552E-5,0.02851123,2.164342E-5,4.507421E-7,1.639614E-6,0.04207686,0.0164968,1.633179E-5,2.155865E-8,3.680355E-8,1.273369E-7,1.867982E-8,2.485714E-7,6.598821E-9,10.60756,1.175255E-4,668653.0,668653.0
1.9E-4,15.69888,-2109294.0,1099.927,1099.927,0.001845056,1.0,0.9128111,2.458268E-5,8.530928E-7,5.592169E-7,1.655049E-5,9.202879E-7,2.162491E-5,0.02851078,2.273413E-5,4.933452E-7,1.79119E-6,0.04207465,0.01649515,1.726157E-5,2.359735E-8,4.024128E-8,1.403591E-7,2.04134E-8,2.883855E-7,7.598642E-9,10.60755,1.175258E-4,668652.4,668652.4
2.0E-4,15.69884,-2095471.0,1099.924,1099.924,0.001845056,1.0,0.9128082,2.606596E-5,8.614935E-7,6.082452E-7,1.803515E-5,1.000898E-6,2.355993E-5,0.02851032,2.381054E-5,5.376923E-7,1.948749E-6,0.04207238,0.01649348,1.818706E-5,2.571981E-8,4.381231E-8,1.53965E-7,2.221642E-8,3.319491E-7,8.688166E-9,10.60755,1.175261E-4,668651.9,668651.9
2.1E-4,15.69881,-2081121.0,1099.92,1099.92,0.001845056,1.0,0.9128052,2.756368E-5,8.698271E-7,6.590931E-7,1.957746E-5,1.084531E-6,2.557003E-5,0.02850985,2.487247E-5,5.837718E-7,2.112246E-6,0.04207006,0.01649179,1.910787E-5,2.792547E-8,4.751475E-8,1.681484E-7,2.408844E-8,3.793716E-7,9.870169E-9,10.60754,1.175264E-4,668651.3,668651.3
2.2E-4,15.69877,-2066277.0,1099.917,1099.917,0.001845056,1.0,0.9128021,2.907572E-5,8.78091E-7,7.117465E-7,2.117695E-5,1.171162E-6,2.76546E-5,0.02850937,2.591976E-5,6.315713E-7,2.281633E-6,0.0420677,0.01649009,2.002365E-5,3.021372E-8,5.134658E-8,1.829027E-7,2.602902E-8,4.307544E-7,1.114729E-8,10.60753,1.175266E-4,668650.7,668650.7
2.3E-4,15.69873,-2050970.0,1099.913,1099.913,0.001845056,1.0,0.912799,3.060197E-5,8.862828E-7,7.661907E-7,2.283315E-5,1.260768E-6,2.981304E-5,0.02850888,2.695225E-5,6.810783E-7,2.456862E-6,0.04206528,0.01648838,2.093405E-5,3.258395E-8,5.530573E-8,1.982214E-7,2.803767E-8,4.861907E-7,1.252202E-8,10.60752,1.175269E-4,668650.2,668650.2
2.4E-4,15.6987,-2035233.0,1099.91,1099.91,0.001845056,1.0,0.9127958,3.21423E-5,8.943999E-7,8.224109E-7,2.454557E-5,1.353323E-6,3.204473E-5,0.02850838,2.796985E-5,7.3228E-7,2.637883E-6,0.04206282,0.01648665,2.183873E-5,3.503552E-8,5.93901E-8,2.140978E-7,3.01139E-8,5.457661E-7,1.399672E-8,10.60751,1.175272E-4,668649.5,668649.5
2.5E-4,15.69867,-2019098.0,1099.906,1099.906,0.001845056,1.0,0.9127925,3.369656E-5,9.024401E-7,8.803916E-7,2.631371E-5,1.4488E-6,3.4349E-5,0.02850787,2.897242E-5,7.85163E-7,2.824642E-6,0.0420603,0.0164849,2.273737E-5,3.756776E-8,6.359747E-8,2.305251E-7,3.225721E-8,6.095578E-7,1.557358E-8,10.6075,1.175274E-4,668648.9,668648.9
2.6E-4,15.69863,-2002595.0,1099.903,1099.903,0.001845056,1.0,0.9127892,3.526464E-5,9.104013E-7,9.401168E-7,2.813704E-5,1.547174E-6,3.672518E-5,0.02850736,2.99599E-5,8.397135E-7,3.017086E-6,0.04205774,0.01648314,2.362967E-5,4.017997E-8,6.79256E-8,2.474964E-7,3.446705E-8,6.776355E-7,1.72547E-8,10.60749,1.175277E-4,668648.3,668648.3
2.7E-4,15.6986,-1985756.0,1099.9,1099.9,0.001845056,1.0,0.9127858,3.684638E-5,9.182818E-7,1.001571E-6,3.001502E-5,1.648417E-6,3.917259E-5,0.02850683,3.09322E-5,8.959176E-7,3.215161E-6,0.04205514,0.01648136,2.451533E-5,4.287145E-8,7.237221E-8,2.650048E-7,3.674288E-8,7.500622E-7,1.904199E-8,10.60748,1.175279E-4,668647.6,668647.6
2.8E-4,15.69857,-1968608.0,1099.896,1099.896,0.001845056,1.0,0.9127823,3.844165E-5,9.260797E-7,1.064736E-6,3.194711E-5,1.752498E-6,4.169051E-5,0.0285063,3.188929E-5,9.53761E-7,3.418808E-6,0.04205249,0.01647957,2.539407E-5,4.564146E-8,7.693491E-8,2.830432E-7,3.908412E-8,8.268916E-7,2.093725E-8,10.60747,1.175282E-4,668647.0,668647.0
2.9E-4,15.69853,-1951183.0,1099.893,1099.893,0.001845056,1.0,0.9127788,4.00503E-5,9.337934E-7,1.129596E-6,3.393273E-5,1.859391E-6,4.427822E-5,0.02850575,3.28311E-5,1.013229E-6,3.62797E-6,0.04204979,0.01647776,2.626562E-5,4.848926E-8,8.161133E-8,3.016044E-7,4.149021E-8,9.081722E-7,2.294214E-8,10.60746,1.175284E-4,668646.3,668646.3
3.0E-4,15.6985,-1933508.0,1099.89,1099.89,0.001845056,1.0,0.9127752,4.167218E-5,9.414214E-7,1.196134E-6,3.597132E-5,1.969065E-6,4.693497E-5,0.0285052,3.375764E-5,1.074307E-6,3.842589E-6,0.04204705,0.01647594,2.712972E-5,5.141407E-8,8.639905E-8,3.206814E-7,4.396054E-8,9.939446E-7,2.505819E-8,10.60745,1.175286E-4,668645.6,668645.6
3.1E-4,15.69847,-1915611.0,1099.886,1099.886,0.001845056,1.0,0.9127715,4.330715E-5,9.489623E-7,1.264332E-6,3.806227E-5,2.081489E-6,4.966002E-5,0.02850463,3.466888E-5,1.13698E-6,4.062602E-6,0.04204427,0.0164741,2.798614E-5,5.441511E-8,9.129555E-8,3.402668E-7,4.64945E-8,1.084241E-6,2.728677E-8,10.60744,1.175289E-4,668645.0,668645.0
3.2E-4,15.69844,-1897521.0,1099.883,1099.883,0.001845056,1.0,0.9127678,4.495505E-5,9.564146E-7,1.334172E-6,4.020502E-5,2.196633E-6,5.245259E-5,0.02850406,3.556485E-5,1.201232E-6,4.28795E-6,0.04204145,0.01647225,2.883463E-5,5.749158E-8,9.629838E-8,3.603534E-7,4.909147E-8,1.179091E-6,2.962916E-8,10.60742,1.175291E-4,668644.2,668644.2
3.3E-4,15.69842,-1879262.0,1099.88,1099.88,0.001845056,1.0,0.9127641,4.661572E-5,9.637773E-7,1.405637E-6,4.239894E-5,2.314465E-6,5.531191E-5,0.02850348,3.644555E-5,1.267049E-6,4.51857E-6,0.04203859,0.01647039,2.9675E-5,6.064267E-8,1.01405E-7,3.809339E-7,5.175081E-8,1.278514E-6,3.208648E-8,10.60741,1.175293E-4,668643.5,668643.5
3.4E-4,15.69839,-1860861.0,1099.877,1099.877,0.001845056,1.0,0.9127602,4.828901E-5,9.710492E-7,1.478707E-6,4.464341E-5,2.434953E-6,5.823717E-5,0.02850289,3.731104E-5,1.334414E-6,4.754397E-6,0.04203568,0.01646851,3.050702E-5,6.386755E-8,1.066128E-7,4.02001E-7,5.447187E-8,1.382523E-6,3.465973E-8,10.6074,1.175295E-4,668642.8,668642.8
3.5E-4,15.69836,-1842343.0,1099.874,1099.874,0.001845056,1.0,0.9127563,4.997476E-5,9.782293E-7,1.553365E-6,4.693781E-5,2.558065E-6,6.122758E-5,0.0285023,3.816135E-5,1.403312E-6,4.99537E-6,0.04203274,0.01646661,3.133052E-5,6.716537E-8,1.119192E-7,4.235472E-7,5.7254E-8,1.491128E-6,3.734981E-8,10.60739,1.175297E-4,668642.1,668642.1
3.6E-4,15.69833,-1823732.0,1099.871,1099.871,0.001845056,1.0,0.9127524,5.167281E-5,9.853167E-7,1.629592E-6,4.928152E-5,2.683768E-6,6.428232E-5,0.02850169,3.899656E-5,1.473726E-6,5.241421E-6,0.04202975,0.01646471,3.214531E-5,7.053529E-8,1.173216E-7,4.455652E-7,6.009653E-8,1.604331E-6,4.015747E-8,10.60738,1.175299E-4,668641.3,668641.3
3.7E-4,15.69831,-1805050.0,1099.867,1099.867,0.001845056,1.0,0.9127484,5.3383E-5,9.923106E-7,1.707369E-6,5.16739E-5,2.81203E-6,6.740058E-5,0.02850108,3.981673E-5,1.545642E-6,5.492486E-6,0.04202673,0.01646279,3.295122E-5,7.397645E-8,1.228175E-7,4.680476E-7,6.299878E-8,1.722129E-6,4.308337E-8,10.60737,1.175301E-4,668640.5,668640.5
