Time_Soln#19 (sec),Volume_Soln#19 (cm3),Volumetric_heat_production_rate_Soln#19 (erg/cm3-sec),Surface_temperature_Soln#19 (K),Temperature_Soln#19 (K),Mass_Soln#19 (g),Pressure_Soln#19 (atm),Mole_fraction_H2_Soln#19 (),Mole_fraction_H_Soln#19 (),Mole_fraction_CH4_Soln#19 (),Mole_fraction_CH3_Soln#19 (),Mole_fraction_C2H4_Soln#19 (),Mole_fraction_C2H2_Soln#19 (),Mole_fraction_C3H4-P_Soln#19 (),Mole_fraction_C4H2_Soln#19 (),Mole_fraction_C6H6_Soln#19 (),Mole_fraction_C10H8_Soln#19 (),Mole_fraction_C7H8_Soln#19 (),Mole_fraction_C7H7_Soln#19 (),Mole_fraction_BENZYNE_Soln#19 (),Mole_fraction_C6H5C2H_Soln#19 (),Mole_fraction_C6H5C2H3_Soln#19 (),Mole_fraction_C6H5C2H5_Soln#19 (),Mole_fraction_BIPHENYL_Soln#19 (),Mole_fraction_C14H10_Soln#19 (),Mole_fraction_BIN1B_Soln#19 (),Mole_fraction_BIN1A_Soln#19 (),Molecular_weight_Soln#19 (g/mole),Mass_density_Soln#19 (g/cm3),Unburned_hydrocarbons_Soln#19 (ppm),Volatile_organic_compounds_Soln#19 (ppm)
0.0,15.7,-4.257482E11,1900.0,1900.0,0.00106819,1.0,0.9128527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02851745,0.0,0.0,0.0,0.0421063,0.01652353,0.0,0.0,0.0,0.0,10.60769,6.80376E-5,668660.8,668660.8
5.274587E-10,15.69971,-4.255765E11,1899.942,1899.942,0.00106819,1.0,0.9128437,9.681356E-7,5.412826E-9,8.98037E-6,3.063806E-9,5.416018E-8,8.128364E-13,3.526313E-12,5.404177E-8,1.312141E-17,0.02851627,9.774698E-6,3.963102E-10,2.838062E-9,0.04210755,0.01651242,1.256531E-17,2.320723E-12,3.183109E-23,2.375625E-13,10.60756,6.803886E-5,668652.8,668652.8
1.305436E-8,15.69289,-4.193055E11,1898.583,1898.583,0.00106819,1.0,0.9126294,2.668246E-5,3.241105E-6,2.166462E-4,4.756839E-7,1.560665E-6,7.776304E-10,3.882853E-9,1.652076E-6,1.651357E-13,0.02848767,2.38895E-4,2.392797E-7,1.131745E-6,0.04213615,0.01625187,1.660644E-13,1.540566E-9,1.006082E-17,9.829983E-11,10.60458,6.806843E-5,668465.0,668465.0
7.234054E-8,15.66217,-3.868638E11,1892.457,1892.457,0.00106819,1.0,0.9116122,1.837181E-4,9.10982E-5,0.001066715,1.718159E-5,1.202905E-5,5.635104E-8,3.288777E-7,2.231329E-5,3.911733E-11,0.0283362,0.001253409,6.950356E-6,1.770773E-5,0.04223607,0.01509541,1.858692E-10,6.424623E-8,1.646547E-14,1.674017E-9,10.59109,6.820192E-5,667614.9,667614.9
3.690175E-7,15.54595,-2.511361E11,1868.39,1868.39,0.00106819,1.0,0.9067332,0.001037782,0.001600414,0.003224666,5.394334E-4,2.13878E-4,2.920562E-6,2.225405E-5,7.447099E-4,3.630449E-8,0.02718546,0.005100933,1.289553E-4,3.547659E-4,0.04183518,0.01068121,2.130853E-7,2.924316E-6,5.913398E-11,3.981299E-8,10.53457,6.87118E-5,664051.9,664051.9
5.162489E-7,15.50968,-1.93751E11,1860.06,1860.06,0.00106819,1.0,0.9045409,0.001278154,0.002644537,0.003608097,9.959778E-4,4.092431E-4,6.039314E-6,4.579454E-5,0.001490519,1.542391E-7,0.02652378,0.00640959,2.096017E-4,6.347177E-4,0.04122647,0.009090414,7.223913E-7,6.016685E-6,3.087702E-10,8.078759E-8,10.51214,6.887251E-5,662637.7,662637.7
5.248282E-7,15.50794,-1.907166E11,1859.639,1859.639,0.00106819,1.0,0.9044186,0.001288074,0.002707549,0.00362277,0.001024593,4.220107E-4,6.254097E-6,4.734689E-5,0.001539571,1.653866E-7,0.02648616,0.006475218,2.142745E-4,6.521522E-4,0.04118614,0.009007069,7.639807E-7,6.223482E-6,3.339742E-10,8.37094E-8,10.51094,6.888023E-5,662562.1,662562.1
5.610182E-7,15.50101,-1.78331E11,1857.937,1857.937,0.00106819,1.0,0.9039094,0.001325605,0.002974839,0.003677241,0.001146841,4.771813E-4,7.199207E-6,5.407126E-5,0.00175175,2.189885E-7,0.02632946,0.006740094,2.338266E-4,7.265397E-4,0.04101171,0.008665694,9.542351E-7,7.122679E-6,4.572601E-10,9.673938E-8,10.50601,6.8911E-5,662251.3,662251.3
6.675599E-7,15.48412,-1.458209E11,1853.547,1853.547,0.00106819,1.0,0.9024713,0.001400872,0.003769476,0.003778188,0.00151601,6.495412E-4,1.033964E-5,7.525974E-5,0.002415821,4.489418E-7,0.02589058,0.007414879,2.893051E-4,9.504874E-4,0.04046713,0.007749132,1.650685E-6,9.985637E-6,1.008873E-9,1.421371E-7,10.49262,6.898618E-5,661407.5,661407.5
6.78521E-7,15.48265,-1.42809E11,1853.144,1853.144,0.00106819,1.0,0.9023284,0.001406068,0.003851427,0.003784297,0.00155439,6.679297E-4,1.069227E-5,7.753794E-5,0.002486695,4.79617E-7,0.02584756,0.007476023,2.947982E-4,9.737283E-4,0.04040918,0.007661752,1.733499E-6,1.029559E-5,1.084088E-9,1.474404E-7,10.49133,6.899274E-5,661326.4,661326.4
