Time_Soln#6 (sec),Volume_Soln#6 (cm3),Volumetric_heat_production_rate_Soln#6 (erg/cm3-sec),Surface_temperature_Soln#6 (K),Temperature_Soln#6 (K),Mass_Soln#6 (g),Pressure_Soln#6 (atm),Mole_fraction_H2_Soln#6 (),Mole_fraction_CH4_Soln#6 (),Mole_fraction_C2H6_Soln#6 (),Mole_fraction_C2H4_Soln#6 (),Mole_fraction_C2H2_Soln#6 (),Mole_fraction_C4H6_Soln#6 (),Mole_fraction_C4H4_Soln#6 (),Mole_fraction_C6H6_Soln#6 (),Mole_fraction_C10H8_Soln#6 (),Mole_fraction_C7H8_Soln#6 (),Mole_fraction_C7H7_Soln#6 (),Mole_fraction_STILB_Soln#6 (),Mole_fraction_C6H5C2H_Soln#6 (),Mole_fraction_C6H5C2H3_Soln#6 (),Mole_fraction_C6H5C2H5_Soln#6 (),Mole_fraction_INDENE_Soln#6 (),Mole_fraction_BIPHENYL_Soln#6 (),Mole_fraction_C14H10_Soln#6 (),Mole_fraction_C16H10_Soln#6 (),Mole_fraction_BIN1A_Soln#6 (),Molecular_weight_Soln#6 (g/mole),Mass_density_Soln#6 (g/cm3),Unburned_hydrocarbons_Soln#6 (ppm),Volatile_organic_compounds_Soln#6 (ppm)
0.0,15.7,-1.632822E8,1250.0,1250.0,0.001623649,1.0,0.9128527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02851745,0.0,0.0,0.0,0.0421063,0.01652353,0.0,0.0,0.0,0.0,0.0,10.60769,1.034172E-4,668660.8,668660.8
2.011795E-7,15.69994,-1.609032E8,1249.994,1249.994,0.001623649,1.0,0.9128518,3.229077E-8,1.019907E-11,2.558687E-9,1.825603E-9,1.34036E-13,2.43665E-14,4.567025E-9,8.06903E-19,0.02851741,9.90743E-7,1.399963E-11,2.51631E-10,0.04210634,0.01652243,2.25831E-18,2.971796E-17,1.134923E-11,6.873035E-13,2.918231E-13,10.60768,1.034175E-4,668660.1,668660.1
1.915026E-6,15.69948,-1.359756E8,1249.947,1249.947,0.001623649,1.0,0.9128431,2.459679E-6,7.515583E-9,4.784816E-7,5.378591E-8,2.121349E-11,2.979489E-12,6.800502E-7,7.416073E-15,0.02851665,9.698634E-6,9.145117E-9,9.025526E-8,0.0421048,0.01651289,4.394295E-14,5.788563E-13,2.609073E-9,2.273895E-10,9.645464E-11,10.60759,1.034206E-4,668654.7,668654.7
1.027952E-5,15.69773,-1.10712E8,1249.766,1249.766,0.001623649,1.0,0.9127827,3.78893E-5,3.387641E-7,1.622043E-5,1.677929E-6,1.017579E-9,1.155599E-10,2.191438E-5,9.371698E-12,0.02850452,5.738917E-5,3.663567E-7,2.748171E-6,0.04207095,0.0164616,2.193595E-11,1.839039E-10,9.136046E-8,6.919049E-9,2.918649E-9,10.60724,1.034321E-4,668632.3,668632.3
4.456566E-5,15.69268,-8.69219E7,1249.103,1249.103,0.001623649,1.0,0.9123889,2.377736E-4,3.949806E-6,2.084071E-4,2.190793E-5,7.034876E-8,3.24111E-9,2.765026E-4,1.547361E-9,0.02841499,2.471056E-4,4.819502E-6,3.331996E-5,0.04184395,0.01621208,2.199104E-9,1.422322E-8,1.324971E-6,8.840122E-8,3.677008E-8,10.60502,1.034654E-4,668492.8,668492.8
1.483185E-4,15.69142,-2.288108E7,1248.241,1248.241,0.001623649,1.0,0.9110229,8.645904E-4,1.808667E-5,9.845874E-4,1.042885E-4,1.381133E-6,4.463351E-8,0.001309372,3.793472E-8,0.02836139,4.334186E-4,2.626921E-5,1.556457E-4,0.04110308,0.01543532,5.378584E-8,2.52089E-7,7.654118E-6,5.391844E-7,2.303244E-7,10.59855,1.034737E-4,668085.1,668085.1
2.876717E-4,15.69663,-1.310312E7,1247.81,1247.81,0.001623649,1.0,0.9092847,0.001656858,3.646694E-5,0.001967421,2.093058E-4,5.31856E-6,1.663229E-7,0.002632761,1.708288E-7,0.02848481,4.59485E-4,6.321417E-5,3.109206E-4,0.04016515,0.01447533,2.32543E-7,9.693065E-7,1.681487E-5,1.44175E-6,6.488551E-7,10.59138,1.034394E-4,667632.7,667632.7
3.291144E-4,15.69838,-1.187855E7,1247.714,1247.714,0.001623649,1.0,0.9087872,0.001882878,4.177347E-5,0.002244416,2.390528E-4,6.871179E-6,2.1627E-7,0.003008905,2.295214E-7,0.02853209,4.611461E-4,7.508558E-5,3.547745E-4,0.03989763,0.01420591,3.070427E-7,1.257812E-6,1.951673E-5,1.763315E-6,8.041316E-7,10.58938,1.034279E-4,667506.9,667506.9
3.435266E-4,15.69899,-1.151286E7,1247.682,1247.682,0.001623649,1.0,0.9086162,0.001960532,4.360344E-5,0.002339246,2.492524E-4,7.446258E-6,2.350796E-7,0.003138001,2.52014E-7,0.02854908,4.614643E-4,7.92561E-5,3.697967E-4,0.03980571,0.01411381,3.350472E-7,1.365461E-6,2.045208E-5,1.880156E-6,8.611705E-7,10.5887,1.034238E-4,667463.9,667464.0
3.444181E-4,15.69903,-1.152624E7,1247.68,1247.68,0.001623649,1.0,0.9086056,0.00196532,4.371639E-5,0.002345088,2.49881E-4,7.482404E-6,2.362674E-7,0.003145959,2.534408E-7,0.02855014,4.614801E-4,7.95146E-5,3.707222E-4,0.03980005,0.01410814,3.368142E-7,1.372241E-6,2.050986E-5,1.887466E-6,8.647493E-7,10.58866,1.034235E-4,667461.3,667461.3
