Time_Soln#11 (sec),Volume_Soln#11 (cm3),Volumetric_heat_production_rate_Soln#11 (erg/cm3-sec),Surface_temperature_Soln#11 (K),Temperature_Soln#11 (K),Mass_Soln#11 (g),Pressure_Soln#11 (atm),Mole_fraction_H2_Soln#11 (),Mole_fraction_CH4_Soln#11 (),Mole_fraction_CH3_Soln#11 (),Mole_fraction_C2H4_Soln#11 (),Mole_fraction_C2H2_Soln#11 (),Mole_fraction_C4H4_Soln#11 (),Mole_fraction_C4H2_Soln#11 (),Mole_fraction_C6H6_Soln#11 (),Mole_fraction_C10H8_Soln#11 (),Mole_fraction_C7H8_Soln#11 (),Mole_fraction_C7H7_Soln#11 (),Mole_fraction_STILB_Soln#11 (),Mole_fraction_C6H5C2H_Soln#11 (),Mole_fraction_C6H5C2H3_Soln#11 (),Mole_fraction_C6H5C2H5_Soln#11 (),Mole_fraction_BIPHENYL_Soln#11 (),Mole_fraction_C14H10_Soln#11 (),Mole_fraction_C16H10_Soln#11 (),Mole_fraction_BIN1B_Soln#11 (),Mole_fraction_BIN1A_Soln#11 (),Molecular_weight_Soln#11 (g/mole),Mass_density_Soln#11 (g/cm3),Unburned_hydrocarbons_Soln#11 (ppm),Volatile_organic_compounds_Soln#11 (ppm)
0.0,15.7,-1.000823E10,1500.0,1500.0,0.001353041,1.0,0.9128527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02851745,0.0,0.0,0.0,0.0421063,0.01652353,0.0,0.0,0.0,0.0,0.0,10.60769,8.618096E-5,668660.8,668660.8
1.297951E-8,15.69979,-9.981018E9,1499.972,1499.972,0.001353041,1.0,0.9128485,2.32305E-8,4.460669E-6,2.431751E-9,1.090651E-8,2.003556E-12,8.617944E-14,1.282548E-8,3.243362E-18,0.0285171,4.670607E-6,3.775981E-12,3.449685E-10,0.04210656,0.01651846,2.578649E-17,8.217058E-12,2.084515E-13,1.752836E-22,8.848637E-14,10.60763,8.618211E-5,668657.3,668657.3
1.860599E-7,15.69705,-9.692102E9,1499.608,1499.608,0.001353041,1.0,0.9127897,4.546837E-6,5.957771E-5,6.640674E-7,2.18312E-7,4.167327E-10,8.763167E-11,8.281861E-7,1.667209E-14,0.02851184,6.705518E-5,3.760709E-9,2.081584E-7,0.04210764,0.01645074,6.541935E-13,2.662208E-9,1.256825E-10,3.062812E-17,5.311309E-11,10.60691,8.619717E-5,668612.0,668612.0
1.293775E-6,15.68143,-8.381775E9,1497.467,1497.467,0.001353041,1.0,0.9123207,1.669399E-4,2.763271E-4,6.367127E-5,1.071573E-5,2.314995E-8,2.137135E-8,8.38464E-5,8.509726E-11,0.02843185,4.835907E-4,8.32905E-7,1.936297E-5,0.04201779,0.01600335,4.377949E-9,3.090237E-7,1.196862E-8,7.86072E-13,4.914275E-9,10.60231,8.628299E-5,668321.9,668321.9
4.647129E-6,15.65803,-3.759902E9,1493.247,1493.247,0.001353041,1.0,0.9105112,0.001145225,4.000392E-4,7.016187E-4,1.369948E-4,2.947384E-7,2.794559E-7,9.873113E-4,1.338095E-8,0.02811849,0.001572495,1.121838E-5,2.030487E-4,0.0413152,0.01460459,2.456355E-7,4.000302E-6,1.543128E-7,2.155846E-10,6.138206E-8,10.58824,8.641198E-5,667434.9,667434.9
1.407278E-5,15.6572,-6.55859E8,1489.845,1489.845,0.001353041,1.0,0.9062934,0.00374991,3.180434E-4,0.0023158,4.811774E-4,1.74997E-6,1.017047E-6,0.003366914,2.224793E-7,0.02856699,0.002657799,4.753902E-5,6.66715E-4,0.03963382,0.01151929,1.805136E-6,1.722772E-5,1.210403E-6,4.819885E-9,4.952317E-7,10.56467,8.641655E-5,665949.4,665949.4
2.366042E-5,15.67192,-4.434337E7,1489.256,1489.256,0.001353041,1.0,0.902997,0.005825495,2.606656E-4,0.003503936,7.464101E-4,3.540963E-6,1.704562E-6,0.005184039,7.206801E-7,0.02952977,0.002850431,8.596388E-5,0.001014587,0.03832023,0.009212814,3.87061E-6,3.050995E-5,3.29955E-6,1.675728E-8,1.393379E-6,10.55058,8.633539E-5,665060.8,665060.8
2.52566E-5,15.67467,3066267.0,1489.249,1489.249,0.001353041,1.0,0.90251,0.006131147,2.528696E-4,0.003677188,7.861155E-4,3.849609E-6,1.821575E-6,0.005453713,8.333092E-7,0.02969264,0.002853079,9.220784E-5,0.001065846,0.03812147,0.008883297,4.244104E-6,3.267851E-5,3.727165E-6,1.95776E-8,1.583276E-6,10.54867,8.632021E-5,664940.8,664940.8
2.817782E-5,15.67976,6.981992E7,1489.273,1489.273,0.001353041,1.0,0.9016564,0.006665589,2.394853E-4,0.00398018,8.562436E-4,4.417995E-6,2.039567E-6,0.005928262,1.06122E-6,0.02998545,0.002846171,1.033839E-4,0.001155822,0.03776901,0.008313606,4.943916E-6,3.660737E-5,4.557396E-6,2.541312E-8,1.957587E-6,10.54542,8.629221E-5,664735.8,664735.8
2.891671E-5,15.68105,8.318431E7,1489.285,1489.285,0.001353041,1.0,0.9014478,0.006795917,2.362627E-4,0.004054141,8.734984E-4,4.562267E-6,2.095594E-6,0.006044668,1.123288E-6,0.03005815,0.002842453,1.061523E-4,0.001177849,0.03768201,0.008175952,5.1239E-6,3.759249E-5,4.776369E-6,2.703107E-8,2.057523E-6,10.54464,8.628512E-5,664686.7,664686.7
