Time_Soln#3 (sec),Volume_Soln#3 (cm3),Volumetric_heat_production_rate_Soln#3 (erg/cm3-sec),Surface_temperature_Soln#3 (K),Temperature_Soln#3 (K),Mass_Soln#3 (g),Pressure_Soln#3 (atm),Mole_fraction_H2_Soln#3 (),Mole_fraction_CH4_Soln#3 (),Mole_fraction_C2H6_Soln#3 (),Mole_fraction_C2H4_Soln#3 (),Mole_fraction_C2H2_Soln#3 (),Mole_fraction_C4H6_Soln#3 (),Mole_fraction_C6H6_Soln#3 (),Mole_fraction_C7H8_Soln#3 (),Mole_fraction_C7H7_Soln#3 (),Mole_fraction_STILB_Soln#3 (),Mole_fraction_C6H5C2H_Soln#3 (),Mole_fraction_C6H5C2H3_Soln#3 (),Mole_fraction_C6H5C2H5_Soln#3 (),Mole_fraction_C6H5CHCH3_Soln#3 (),Mole_fraction_BIPHENYL_Soln#3 (),Mole_fraction_FLUORENE_Soln#3 (),Mole_fraction_C14H10_Soln#3 (),Mole_fraction_C16H10_Soln#3 (),Mole_fraction_C6H5C2H4C6H5_Soln#3 (),Mole_fraction_NPBENZ_Soln#3 (),Molecular_weight_Soln#3 (g/mole),Mass_density_Soln#3 (g/cm3),Unburned_hydrocarbons_Soln#3 (ppm),Volatile_organic_compounds_Soln#3 (ppm)
0.0,15.7,-4222013.0,1100.0,1100.0,0.001845056,1.0,0.9128527,0.0,0.0,0.0,0.0,0.0,0.0,0.02851745,0.0,0.0,0.0,0.0421063,0.01652353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.60769,1.175195E-4,668660.8,668660.8
2.201928E-6,15.69971,-3720395.0,1099.999,1099.999,0.001845056,1.0,0.9128525,4.19339E-8,6.871686E-11,6.182142E-9,6.536533E-10,2.945218E-14,9.845407E-9,0.02851744,2.525508E-7,1.452613E-10,5.384499E-10,0.04210628,0.01652326,2.411349E-8,2.146099E-16,7.653478E-12,3.355593E-11,6.267917E-12,5.704723E-12,1.198281E-14,10.60768,1.175196E-4,668660.6,668660.6
2.168909E-5,15.6996,-2305773.0,1099.99,1099.99,0.001845056,1.0,0.9128496,1.896418E-6,1.811299E-8,5.550647E-7,3.435583E-8,2.939933E-12,7.579223E-7,0.02851701,2.686495E-6,1.630315E-8,6.528862E-8,0.04210447,0.01652067,1.402217E-6,2.302899E-13,7.935996E-10,3.374756E-9,7.414061E-10,9.103259E-10,2.995352E-11,10.60767,1.175204E-4,668659.8,668659.8
9.963773E-5,15.69925,-2205130.0,1099.96,1099.96,0.001845056,1.0,0.9128344,1.185206E-5,2.007542E-7,5.814521E-6,3.322856E-7,8.664363E-11,7.628124E-6,0.02851449,1.23869E-5,1.729405E-7,6.434905E-7,0.04209271,0.01650946,8.752929E-6,1.103976E-11,8.2749E-9,4.459636E-8,7.313311E-9,4.872319E-8,1.438055E-9,10.60762,1.175231E-4,668656.9,668656.9
1.0E-4,15.69925,-2204866.0,1099.96,1099.96,0.001845056,1.0,0.9128343,1.190063E-5,2.018815E-7,5.847747E-6,3.341289E-7,8.749099E-11,7.671464E-6,0.02851447,1.243047E-5,1.739313E-7,6.470806E-7,0.04209264,0.01650941,8.787331E-6,1.115343E-11,8.322237E-9,4.487955E-8,7.354185E-9,4.9211E-8,1.451365E-9,10.60762,1.175231E-4,668656.9,668656.9
2.0E-4,15.69884,-2095471.0,1099.924,1099.924,0.001845056,1.0,0.9128082,2.606596E-5,6.082452E-7,1.803515E-5,1.000898E-6,6.674537E-10,2.355993E-5,0.02851032,2.381054E-5,5.376923E-7,1.948749E-6,0.04207238,0.01649348,1.818706E-5,8.944217E-11,2.571981E-8,1.53965E-7,2.221642E-8,3.319491E-7,8.688166E-9,10.60755,1.175261E-4,668651.9,668651.9
3.0E-4,15.6985,-1933508.0,1099.89,1099.89,0.001845056,1.0,0.9127752,4.167218E-5,1.196134E-6,3.597132E-5,1.969065E-6,2.495372E-9,4.693497E-5,0.0285052,3.375764E-5,1.074307E-6,3.842589E-6,0.04204705,0.01647594,2.712972E-5,3.336037E-10,5.141407E-8,3.206814E-7,4.396054E-8,9.939446E-7,2.505819E-8,10.60745,1.175286E-4,668645.6,668645.6
4.0E-4,15.69823,-1748798.0,1099.858,1099.858,0.001845056,1.0,0.9127361,5.858475E-5,1.94981E-6,5.91366E-5,3.211828E-6,6.570682E-9,7.712816E-5,0.02849919,4.218795E-5,1.770231E-6,6.275104E-6,0.04201744,0.01645695,3.531422E-5,8.711484E-10,8.471861E-8,5.382076E-7,7.205701E-8,2.102988E-6,5.25754E-8,10.60733,1.175306E-4,668638.2,668638.2
5.0E-4,15.69804,-1564554.0,1099.831,1099.831,0.001845056,1.0,0.9126916,7.664481E-5,2.850798E-6,8.690661E-5,4.696769E-6,1.399948E-8,1.133352E-4,0.02849239,4.916264E-5,2.609705E-6,9.182082E-6,0.0419843,0.01643671,4.25657E-5,1.841441E-9,1.247901E-7,7.992513E-7,1.058444E-7,3.661711E-6,9.198673E-8,10.60719,1.175321E-4,668629.6,668629.6
6.0E-4,15.6979,-1395163.0,1099.806,1099.806,0.001845056,1.0,0.9126427,9.568665E-5,3.879877E-6,1.186234E-4,6.389582E-6,2.587182E-8,1.547077E-4,0.02848491,5.48336E-5,3.576475E-6,1.24959E-5,0.04194832,0.01641541,4.881932E-5,3.38094E-9,1.707274E-7,1.096719E-6,1.446089E-7,5.628662E-6,1.430579E-7,10.60704,1.175331E-4,668620.1,668620.1
