Time_Soln#21 (sec),Volume_Soln#21 (cm3),Volumetric_heat_production_rate_Soln#21 (erg/cm3-sec),Surface_temperature_Soln#21 (K),Temperature_Soln#21 (K),Mass_Soln#21 (g),Pressure_Soln#21 (atm),Mole_fraction_H2_Soln#21 (),Mole_fraction_H_Soln#21 (),Mole_fraction_CH4_Soln#21 (),Mole_fraction_CH3_Soln#21 (),Mole_fraction_C2H4_Soln#21 (),Mole_fraction_C2H2_Soln#21 (),Mole_fraction_C3H4-P_Soln#21 (),Mole_fraction_C3H3_Soln#21 (),Mole_fraction_C4H2_Soln#21 (),Mole_fraction_C6H6_Soln#21 (),Mole_fraction_C10H8_Soln#21 (),Mole_fraction_C7H8_Soln#21 (),Mole_fraction_C7H7_Soln#21 (),Mole_fraction_BENZYNE_Soln#21 (),Mole_fraction_C6H5C2H_Soln#21 (),Mole_fraction_C6H5C2H3_Soln#21 (),Mole_fraction_C6H5C2H5_Soln#21 (),Mole_fraction_C14H10_Soln#21 (),Mole_fraction_BIN1B_Soln#21 (),Mole_fraction_BIN1A_Soln#21 (),Molecular_weight_Soln#21 (g/mole),Mass_density_Soln#21 (g/cm3),Unburned_hydrocarbons_Soln#21 (ppm),Volatile_organic_compounds_Soln#21 (ppm)
0.0,15.7,-7.802833E11,2000.0,2000.0,0.001014781,1.0,0.9128527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02851745,0.0,0.0,0.0,0.0421063,0.01652353,0.0,0.0,0.0,10.60769,6.463572E-5,668660.8,668660.8
3.58687E-10,15.69966,-7.802332E11,1999.925,1999.925,0.001014781,1.0,0.9128411,1.304E-6,5.873676E-9,1.156326E-5,4.858118E-9,9.091371E-8,3.732771E-12,1.78635E-10,8.749865E-12,9.008884E-8,3.688257E-17,0.02851602,1.246058E-5,7.762242E-10,6.324023E-9,0.04210829,0.01650864,2.690116E-12,6.697591E-23,4.947439E-13,10.60752,6.463711E-5,668650.1,668650.1
7.473433E-9,15.69303,-7.713508E11,1998.448,1998.448,0.001014781,1.0,0.9126097,3.090738E-5,2.505868E-6,2.357092E-4,3.733822E-7,2.261708E-6,1.936435E-9,7.673945E-8,6.87224E-9,2.085078E-6,2.834926E-13,0.02848721,2.559894E-4,3.324558E-7,1.972303E-6,0.04214713,0.01621715,1.225842E-9,9.57534E-18,1.556662E-10,10.60417,6.466443E-5,668438.8,668438.8
2.92959E-8,15.67332,-7.327017E11,1994.063,1994.063,0.001014781,1.0,0.9119015,1.409068E-4,3.660139E-5,8.649614E-4,5.773252E-6,1.087505E-5,4.342779E-8,1.135468E-6,2.116014E-7,1.171781E-5,1.62897E-11,0.02839383,9.629731E-4,4.907694E-6,1.618635E-5,0.04225096,0.01536757,2.14699E-8,2.096027E-15,1.317033E-9,10.5942,6.474574E-5,667810.8,667810.8
1.374011E-7,15.58889,-5.801081E11,1975.278,1975.278,0.001014781,1.0,0.9085727,8.064141E-4,6.38032E-4,0.002997496,1.528138E-4,9.684362E-5,1.740379E-6,2.204861E-5,1.174259E-5,1.947655E-4,5.782233E-9,0.02779367,0.003787748,8.814994E-5,1.658312E-4,0.04242178,0.01194487,7.012472E-7,2.381534E-12,1.508981E-8,10.55124,6.509644E-5,665102.6,665102.6
4.999898E-7,15.42541,-2.675606E11,1936.113,1936.113,0.001014781,1.0,0.8994354,0.002097893,0.004554956,0.004963843,0.001701948,0.001048756,2.540757E-5,2.565473E-4,2.071435E-4,0.002785352,1.271818E-6,0.02491301,0.008661502,5.928398E-4,0.001334123,0.04018404,0.00571055,1.161238E-5,1.373597E-9,1.909868E-7,10.45163,6.57863E-5,658823.9,658823.9
9.087449E-7,15.36417,-1.170045E11,1916.716,1916.716,0.001014781,1.0,0.8920634,0.002105479,0.008993645,0.004665549,0.00369107,0.002584116,7.398182E-5,6.064068E-4,5.388068E-4,0.006966698,1.100146E-5,0.02228256,0.01004148,9.969516E-4,0.002759995,0.03641083,0.002806145,3.123206E-5,1.508155E-8,7.444968E-7,10.38817,6.604853E-5,654823.5,654823.5
9.609444E-7,15.36054,-1.069936E11,1915.171,1915.171,0.001014781,1.0,0.8912829,0.002076284,0.00949979,0.004579412,0.003915961,0.002778589,8.127493E-5,6.459082E-4,5.825651E-4,0.007477072,1.31881E-5,0.02201899,0.01007134,0.001032238,0.002920268,0.03595554,0.00257914,3.385241E-5,1.83184E-8,8.456929E-7,10.38225,6.606413E-5,654450.1,654450.1
1.005272E-6,15.35788,-9.951477E10,1913.961,1913.961,0.001014781,1.0,0.8906433,0.002049903,0.00991774,0.004503194,0.004101107,0.002942123,8.760375E-5,6.782241E-4,6.197304E-4,0.007901948,1.522422E-5,0.02180561,0.01008109,0.001059945,0.003052204,0.0355769,0.002403087,3.608037E-5,2.135783E-8,9.368013E-7,10.37749,6.607559E-5,654150.0,654150.0
1.100902E-6,15.3532,-8.605903E10,1911.62,1911.62,0.001014781,1.0,0.8893305,0.001989998,0.0107827,0.00433279,0.004482752,0.003289335,1.016188E-4,7.441437E-4,6.997948E-4,0.008790389,2.017184E-5,0.02137483,0.01006153,0.001113422,0.003324216,0.03478587,0.002068648,4.088595E-5,2.883107E-8,1.148863E-6,10.36795,6.609572E-5,653549.0,653549.0
1.109939E-6,15.35282,-8.49534E10,1911.416,1911.416,0.001014781,1.0,0.8892109,0.001984208,0.01086186,0.004316427,0.004517583,0.00332173,1.02966E-4,7.501079E-4,7.073477E-4,0.008872293,2.067865E-5,0.02133607,0.01005718,0.001118066,0.003349049,0.03471297,0.002039947,4.133966E-5,2.960313E-8,1.169976E-6,10.3671,6.609734E-5,653495.2,653495.2
1.38168E-6,15.34491,-6.122556E10,1906.256,1906.256,0.001014781,1.0,0.8859306,0.001810242,0.01304571,0.003826818,0.005473677,0.004260472,1.447563E-4,9.099129E-4,9.325626E-4,0.01116915,3.890412E-5,0.02029924,0.009786539,0.001231273,0.004031626,0.03266725,0.001357504,5.489287E-5,5.810037E-8,1.882731E-6,10.34445,6.613145E-5,652067.6,652067.6
1.432366E-6,15.34393,-5.831636E10,1905.455,1905.455,0.001014781,1.0,0.8853788,0.001778948,0.01341327,0.003738873,0.00563398,0.004427953,1.527444E-4,9.35903E-4,9.740662E-4,0.01156283,4.290892E-5,0.02012924,0.009714579,0.001247694,0.004146306,0.03231586,0.001261457,5.739592E-5,6.455061E-8,2.030976E-6,10.34076,6.613563E-5,651834.7,651834.7
